Subject_ID,Age,Gender,Education,Language,Country,Socioeconomic
41,61.0,f,bachelor,english_british,uk,7.0
43,63.0,f,master,english_british,uk,7.0
44,64.0,m,bachelor,english_british,uk,7.0
46,62.0,m,high_school,english_british,uk,2.0
49,73.0,m,bachelor,english_british,uk,3.0
50,65.0,m,vocational,english_british,uk,4.0
54,62.0,f,bachelor,english_british,uk,6.0
56,76.0,f,bachelor,english_british,uk,3.0
59,63.0,m,bachelor,english_british,uk,7.0
61,72.0,m,bachelor,english_british,uk,5.0
83,66.0,f,high_school,english_british,uk,6.0
84,72.0,f,bachelor,english_british,uk,4.0
85,60.0,f,bachelor,english_british,uk,7.0
86,60.0,f,high_school,english_british,uk,4.0
88,68.0,m,high_school,english_british,uk,7.0
89,69.0,m,high_school,english_british,uk,7.0
90,64.0,f,high_school,english_british,uk,4.0
91,60.0,m,high_school,english_british,uk,3.0
92,72.0,m,bachelor,english_british,uk,7.0
93,71.0,f,less_than_highschool,english_british,uk,3.0
97,63.0,m,bachelor,english_american,usa,9.0
98,60.0,m,master,english_british,uk,8.0
99,63.0,f,high_school,english_british,uk,1.0
101,89.0,f,vocational,english_british,uk,6.0
102,66.0,f,vocational,english_american,usa,7.0
103,60.0,m,bachelor,english_british,uk,6.0
104,63.0,f,master,english_british,uk,4.0
105,61.0,m,vocational,english_british,uk,6.0
107,71.0,f,bachelor,english_british,uk,5.0
109,66.0,m,high_school,english_british,uk,5.0
110,68.0,m,bachelor,english_british,uk,4.0
111,76.0,m,vocational,english_american,usa,7.0
112,61.0,f,bachelor,english_american,usa,5.0
115,75.0,f,high_school,english_american,usa,7.0
119,60.0,f,bachelor,english_british,usa,5.0
120,60.0,f,bachelor,english_american,usa,3.0
122,69.0,f,vocational,english_american,usa,6.0
123,64.0,m,bachelor,english_american,usa,5.0
124,73.0,m,high_school,english_british,uk,7.0
127,70.0,f,high_school,english_american,usa,5.0
128,74.0,f,bachelor,english_british,uk,6.0
129,65.0,m,high_school,english_british,uk,5.0
130,65.0,f,bachelor,english_british,uk,5.0
132,70.0,m,bachelor,english_british,uk,6.0
133,60.0,m,high_school,english_british,uk,3.0
134,61.0,m,less_than_highschool,english_british,uk,4.0
135,79.0,f,bachelor,english_british,uk,5.0
136,62.0,m,vocational,english_british,uk,3.0
137,63.0,f,high_school,english_british,uk,4.0
138,65.0,f,vocational,english_other,usa,3.0
139,66.0,f,master,english_american,usa,4.0
140,77.0,m,bachelor,english_american,usa,3.0
141,60.0,f,master,english_american,usa,8.0
142,61.0,m,phd,english_other,usa,3.0
143,71.0,f,high_school,english_american,usa,4.0
145,64.0,m,master,english_other,uk,5.0
146,60.0,m,high_school,english_american,usa,5.0
147,68.0,f,bachelor,english_american,usa,7.0
149,60.0,f,bachelor,english_american,usa,4.0
150,61.0,f,bachelor,english_american,usa,5.0
151,62.0,m,bachelor,english_british,uk,7.0
152,63.0,f,master,english_american,usa,7.0
153,75.0,m,master,english_american,usa,8.0
154,63.0,f,high_school,english_american,usa,4.0
157,60.0,m,vocational,english_american,usa,2.0
158,61.0,m,bachelor,english_american,usa,5.0
160,64.0,f,master,english_american,usa,4.0
162,69.0,m,bachelor,english_american,usa,7.0
163,62.0,m,bachelor,english_american,usa,7.0
165,66.0,f,bachelor,english_american,usa,6.0
169,62.0,other,master,english_american,usa,3.0
170,61.0,f,bachelor,english_american,usa,6.0
172,63.0,f,no_answer,english_british,no_answer,3.0
173,72.0,m,less_than_highschool,english_british,uk,7.0
174,67.0,m,high_school,english_british,uk,8.0
175,65.0,m,bachelor,english_american,usa,4.0
176,70.0,m,bachelor,english_american,usa,7.0
177,66.0,f,bachelor,english_american,usa,6.0
179,63.0,m,vocational,english_american,usa,6.0
183,64.0,f,vocational,english_american,usa,2.0
184,65.0,f,bachelor,english_british,uk,3.0
185,63.0,f,bachelor,english_american,usa,3.0
186,69.0,f,bachelor,english_american,usa,7.0
188,67.0,f,high_school,english_american,usa,6.0
189,72.0,f,bachelor,english_american,usa,7.0
190,67.0,m,bachelor,english_american,usa,3.0
193,68.0,f,high_school,english_british,uk,6.0
195,62.0,f,vocational,english_british,uk,2.0
196,68.0,m,high_school,english_british,uk,6.0
197,62.0,f,vocational,english_british,uk,6.0
198,62.0,f,high_school,english_british,uk,4.0
199,71.0,m,high_school,english_british,uk,5.0
200,69.0,f,high_school,english_british,uk,5.0
201,76.0,m,bachelor,english_british,uk,5.0
202,67.0,f,high_school,english_british,uk,8.0
203,67.0,f,bachelor,english_british,uk,6.0
204,61.0,m,high_school,english_british,uk,2.0
205,79.0,m,high_school,english_british,uk,7.0
206,63.0,m,bachelor,english_british,uk,7.0
207,63.0,f,high_school,english_british,uk,5.0
208,63.0,m,bachelor,english_british,uk,4.0
209,65.0,m,bachelor,english_british,uk,4.0
210,65.0,f,high_school,english_british,uk,6.0
211,69.0,f,high_school,english_british,uk,7.0
212,75.0,f,phd,english_british,uk,7.0
213,61.0,m,bachelor,english_british,uk,4.0
214,63.0,m,master,english_british,uk,7.0
215,62.0,f,bachelor,english_british,uk,4.0
216,58.0,f,high_school,english_british,uk,7.0
217,69.0,m,bachelor,english_british,uk,5.0
218,78.0,f,bachelor,english_british,uk,8.0
219,70.0,f,vocational,english_british,uk,6.0
220,68.0,m,bachelor,english_british,uk,7.0
222,62.0,m,high_school,english_british,uk,4.0
224,61.0,m,less_than_highschool,english_british,uk,3.0
225,61.0,m,less_than_highschool,english_british,uk,4.0
226,77.0,m,high_school,english_british,uk,7.0
228,68.0,m,phd,english_british,uk,9.0
229,69.0,f,phd,english_british,uk,7.0
230,70.0,m,high_school,english_british,uk,6.0
232,68.0,f,high_school,english_british,uk,5.0
233,63.0,f,high_school,english_british,uk,6.0
234,60.0,m,high_school,english_british,uk,6.0
237,63.0,f,high_school,english_british,uk,3.0
239,63.0,m,high_school,english_british,uk,5.0
241,80.0,f,high_school,english_british,uk,5.0
242,71.0,f,high_school,english_british,uk,8.0
243,60.0,f,bachelor,english_british,uk,6.0
244,67.0,m,less_than_highschool,english_british,uk,6.0
247,65.0,f,high_school,english_british,uk,6.0
248,60.0,f,bachelor,english_british,uk,6.0
249,63.0,m,bachelor,english_british,uk,6.0
250,63.0,m,bachelor,english_british,uk,6.0
251,66.0,m,bachelor,english_british,uk,3.0
252,74.0,f,high_school,english_british,uk,8.0
253,60.0,f,high_school,english_british,uk,7.0
254,65.0,f,vocational,english_american,usa,7.0
257,71.0,m,high_school,english_american,usa,5.0
258,62.0,m,vocational,english_american,usa,3.0
260,66.0,m,bachelor,english_british,uk,7.0
261,63.0,f,vocational,english_american,usa,4.0
262,61.0,f,master,english_american,usa,7.0
263,63.0,m,master,english_american,usa,5.0
264,71.0,f,vocational,english_american,usa,7.0
266,65.0,f,bachelor,english_american,usa,7.0
267,62.0,f,master,english_british,usa,3.0
268,68.0,f,master,english_american,usa,3.0
269,62.0,f,bachelor,english_american,usa,8.0
270,61.0,f,bachelor,english_american,usa,4.0
271,65.0,f,master,english_american,usa,8.0
272,63.0,f,vocational,english_american,usa,2.0
274,60.0,f,vocational,english_american,usa,3.0
275,60.0,m,high_school,english_american,usa,3.0
276,72.0,m,high_school,english_american,usa,5.0
277,63.0,m,high_school,english_american,usa,5.0
278,65.0,f,vocational,english_american,usa,
279,62.0,f,high_school,english_american,usa,3.0
282,60.0,m,less_than_highschool,english_american,usa,3.0
283,65.0,m,bachelor,english_american,usa,5.0
284,62.0,m,high_school,english_american,usa,5.0
288,61.0,f,bachelor,english_american,usa,7.0
289,60.0,f,high_school,english_american,usa,4.0
290,68.0,f,master,english_american,usa,9.0
291,66.0,m,high_school,english_american,usa,7.0
292,60.0,f,bachelor,english_british,uk,4.0
293,60.0,f,high_school,english_american,usa,3.0
294,60.0,f,vocational,english_american,usa,7.0
295,70.0,m,master,english_american,usa,6.0
297,69.0,f,vocational,english_american,usa,4.0
298,64.0,m,bachelor,english_american,usa,8.0
300,63.0,f,high_school,english_american,usa,4.0
301,69.0,f,high_school,english_american,usa,4.0
303,61.0,m,phd,english_other,usa,5.0
304,67.0,f,high_school,english_american,usa,5.0
305,65.0,m,high_school,english_american,usa,3.0
306,64.0,f,high_school,english_american,usa,6.0
311,66.0,m,bachelor,english_american,usa,8.0
312,66.0,f,bachelor,english_american,usa,6.0
314,66.0,f,bachelor,english_american,usa,5.0
315,64.0,f,high_school,english_american,usa,3.0
318,73.0,m,bachelor,english_american,usa,5.0
319,72.0,f,bachelor,english_american,usa,6.0
321,67.0,f,high_school,english_british,uk,6.0
322,66.0,f,bachelor,english_british,uk,5.0
324,61.0,f,master,english_british,uk,6.0
325,63.0,f,high_school,english_british,uk,3.0
