Subject_ID,PhonemicFluencyScore,PictureNamingScore,SemanticFluencyScore
41,13.0,,25.0
43,,,34.0
44,23.0,,35.0
46,14.0,,17.0
49,16.0,,25.0
50,14.0,,29.0
54,10.0,,21.0
56,11.0,,13.0
59,20.0,,26.0
61,18.0,,18.0
83,21.0,16.0,19.0
84,26.0,19.0,27.0
85,16.0,16.0,23.0
86,15.0,19.0,21.0
88,12.0,20.0,21.0
89,20.0,19.0,24.0
90,21.0,17.0,24.0
91,21.0,19.0,14.0
92,9.0,20.0,14.0
93,17.0,19.0,23.0
97,13.0,18.0,21.0
98,11.0,16.0,13.0
99,11.0,19.0,
101,12.0,20.0,22.0
102,13.0,18.0,23.0
103,17.0,20.0,24.0
104,23.0,18.0,31.0
105,13.0,17.0,26.0
107,13.0,17.0,20.0
109,16.0,14.0,34.0
110,30.0,19.0,27.0
111,19.0,19.0,21.0
112,18.0,20.0,25.0
115,4.0,17.0,16.0
119,22.0,19.0,25.0
120,16.0,17.0,17.0
122,9.0,17.0,18.0
123,11.0,20.0,23.0
124,17.0,18.0,22.0
127,20.0,17.0,26.0
128,9.0,15.0,18.0
129,22.0,19.0,1.0
130,13.0,18.0,19.0
132,13.0,18.0,22.0
133,21.0,18.0,24.0
134,21.0,18.0,17.0
135,16.0,18.0,22.0
136,11.0,17.0,28.0
137,17.0,19.0,21.0
138,13.0,14.0,6.0
139,20.0,16.0,24.0
140,11.0,19.0,14.0
141,11.0,11.0,11.0
142,15.0,10.0,15.0
143,10.0,17.0,15.0
145,15.0,11.0,17.0
146,16.0,18.0,18.0
147,12.0,17.0,25.0
149,15.0,18.0,25.0
150,13.0,18.0,25.0
151,13.0,19.0,29.0
152,8.0,19.0,25.0
153,20.0,18.0,19.0
154,17.0,13.0,22.0
157,12.0,14.0,13.0
158,16.0,,18.0
160,13.0,19.0,20.0
162,15.0,18.0,21.0
163,14.0,12.0,19.0
165,17.0,16.0,18.0
169,6.0,20.0,14.0
170,23.0,19.0,21.0
172,19.0,17.0,19.0
173,5.0,12.0,11.0
174,18.0,20.0,28.0
175,15.0,18.0,20.0
176,20.0,19.0,18.0
177,14.0,15.0,15.0
179,16.0,16.0,13.0
183,19.0,20.0,29.0
184,18.0,20.0,30.0
185,23.0,18.0,24.0
186,17.0,,23.0
188,9.0,18.0,13.0
189,19.0,19.0,33.0
190,9.0,19.0,19.0
193,12.0,19.0,27.0
195,13.0,17.0,24.0
196,9.0,18.0,25.0
197,18.0,,19.0
198,14.0,16.0,14.0
199,13.0,17.0,9.0
200,15.0,17.0,25.0
201,11.0,18.0,19.0
202,23.0,14.0,24.0
203,17.0,18.0,21.0
204,17.0,17.0,20.0
205,15.0,19.0,27.0
206,10.0,13.0,12.0
207,13.0,14.0,24.0
208,13.0,18.0,19.0
209,16.0,20.0,21.0
210,18.0,13.0,24.0
211,18.0,18.0,23.0
212,15.0,20.0,22.0
213,23.0,20.0,22.0
214,20.0,17.0,27.0
215,21.0,20.0,30.0
216,20.0,16.0,24.0
217,7.0,19.0,16.0
218,16.0,19.0,22.0
219,18.0,13.0,17.0
220,18.0,12.0,14.0
222,11.0,16.0,18.0
224,11.0,19.0,23.0
225,9.0,16.0,21.0
226,11.0,18.0,14.0
228,18.0,17.0,32.0
229,18.0,19.0,23.0
230,18.0,17.0,23.0
232,15.0,18.0,22.0
233,16.0,14.0,23.0
234,5.0,,14.0
237,11.0,18.0,24.0
239,16.0,19.0,19.0
241,25.0,15.0,18.0
242,14.0,18.0,17.0
243,18.0,20.0,22.0
244,17.0,18.0,24.0
247,14.0,20.0,24.0
248,14.0,20.0,28.0
249,11.0,20.0,15.0
250,10.0,20.0,21.0
251,20.0,17.0,22.0
252,23.0,17.0,30.0
253,17.0,,26.0
254,14.0,19.0,17.0
257,18.0,17.0,22.0
258,12.0,19.0,21.0
260,23.0,17.0,20.0
261,10.0,17.0,20.0
262,23.0,20.0,29.0
263,11.0,13.0,14.0
264,11.0,14.0,13.0
266,15.0,14.0,25.0
267,15.0,13.0,15.0
268,12.0,20.0,17.0
269,16.0,18.0,20.0
270,12.0,17.0,20.0
271,21.0,18.0,32.0
272,15.0,14.0,20.0
274,15.0,20.0,21.0
275,18.0,20.0,18.0
276,5.0,16.0,19.0
277,19.0,15.0,16.0
278,11.0,14.0,14.0
279,16.0,18.0,24.0
282,12.0,19.0,23.0
283,17.0,20.0,23.0
284,15.0,18.0,25.0
288,20.0,18.0,23.0
289,26.0,16.0,27.0
290,12.0,20.0,24.0
291,20.0,19.0,18.0
292,21.0,17.0,29.0
293,25.0,14.0,14.0
294,12.0,18.0,22.0
295,17.0,18.0,9.0
297,10.0,14.0,13.0
298,23.0,17.0,20.0
300,10.0,19.0,13.0
301,16.0,17.0,23.0
303,13.0,,27.0
304,17.0,19.0,25.0
305,16.0,18.0,27.0
306,16.0,17.0,19.0
311,20.0,19.0,28.0
312,23.0,15.0,18.0
314,23.0,18.0,25.0
315,17.0,18.0,18.0
318,18.0,16.0,17.0
319,10.0,20.0,18.0
321,23.0,15.0,15.0
