Subject_ID,Age,Gender,Education,Language,Country,Socioeconomic,age_group,edu_group,ses_group,strat_group,fold
41,61.0,f,bachelor,english_british,uk,7.0,under65,high,middle,f_uk_under65_high_middle,2
43,63.0,f,master,english_british,uk,7.0,under65,high,middle,f_uk_under65_high_middle,1
44,64.0,m,bachelor,english_british,uk,7.0,under65,high,middle,m_uk_under65_high_middle,5
46,62.0,m,high_school,english_british,uk,2.0,under65,medium,low,m_uk_under65_medium_low,4
49,73.0,m,bachelor,english_british,uk,3.0,65to75,high,low,m_uk_65to75_high_low,5
50,65.0,m,vocational,english_british,uk,4.0,65to75,medium,middle,m_uk_65to75_medium_middle,3
54,62.0,f,bachelor,english_british,uk,6.0,under65,high,middle,f_uk_under65_high_middle,4
56,76.0,f,bachelor,english_british,uk,3.0,over75,high,low,f_uk_over75_high_low,1
59,63.0,m,bachelor,english_british,uk,7.0,under65,high,middle,m_uk_under65_high_middle,1
61,72.0,m,bachelor,english_british,uk,5.0,65to75,high,middle,m_uk_65to75_high_middle,3
83,66.0,f,high_school,english_british,uk,6.0,65to75,medium,middle,f_uk_65to75_medium_middle,4
84,72.0,f,bachelor,english_british,uk,4.0,65to75,high,middle,f_uk_65to75_high_middle,3
85,60.0,f,bachelor,english_british,uk,7.0,under65,high,middle,f_uk_under65_high_middle,1
86,60.0,f,high_school,english_british,uk,4.0,under65,medium,middle,f_uk_under65_medium_middle,2
88,68.0,m,high_school,english_british,uk,7.0,65to75,medium,middle,m_uk_65to75_medium_middle,2
89,69.0,m,high_school,english_british,uk,7.0,65to75,medium,middle,m_uk_65to75_medium_middle,2
90,64.0,f,high_school,english_british,uk,4.0,under65,medium,middle,f_uk_under65_medium_middle,2
91,60.0,m,high_school,english_british,uk,3.0,under65,medium,low,m_uk_under65_medium_low,1
92,72.0,m,bachelor,english_british,uk,7.0,65to75,high,middle,m_uk_65to75_high_middle,5
93,71.0,f,less_than_highschool,english_british,uk,3.0,65to75,low,low,f_uk_65to75_low_low,5
97,63.0,m,bachelor,english_american,usa,9.0,under65,high,high,m_usa_under65_high_high,4
99,63.0,f,high_school,english_british,uk,1.0,under65,medium,low,f_uk_under65_medium_low,5
101,89.0,f,vocational,english_british,uk,6.0,over75,medium,middle,f_uk_over75_medium_middle,4
102,66.0,f,vocational,english_american,usa,7.0,65to75,medium,middle,f_usa_65to75_medium_middle,4
103,60.0,m,bachelor,english_british,uk,6.0,under65,high,middle,m_uk_under65_high_middle,4
104,63.0,f,master,english_british,uk,4.0,under65,high,middle,f_uk_under65_high_middle,4
105,61.0,m,vocational,english_british,uk,6.0,under65,medium,middle,m_uk_under65_medium_middle,5
107,71.0,f,bachelor,english_british,uk,5.0,65to75,high,middle,f_uk_65to75_high_middle,4
109,66.0,m,high_school,english_british,uk,5.0,65to75,medium,middle,m_uk_65to75_medium_middle,5
110,68.0,m,bachelor,english_british,uk,4.0,65to75,high,middle,m_uk_65to75_high_middle,1
111,76.0,m,vocational,english_american,usa,7.0,over75,medium,middle,m_usa_over75_medium_middle,4
112,61.0,f,bachelor,english_american,usa,5.0,under65,high,middle,f_usa_under65_high_middle,1
115,75.0,f,high_school,english_american,usa,7.0,65to75,medium,middle,f_usa_65to75_medium_middle,4
119,60.0,f,bachelor,english_british,usa,5.0,under65,high,middle,f_usa_under65_high_middle,2
120,60.0,f,bachelor,english_american,usa,3.0,under65,high,low,f_usa_under65_high_low,4
122,69.0,f,vocational,english_american,usa,6.0,65to75,medium,middle,f_usa_65to75_medium_middle,5
123,64.0,m,bachelor,english_american,usa,5.0,under65,high,middle,m_usa_under65_high_middle,1
124,73.0,m,high_school,english_british,uk,7.0,65to75,medium,middle,m_uk_65to75_medium_middle,1
127,70.0,f,high_school,english_american,usa,5.0,65to75,medium,middle,f_usa_65to75_medium_middle,3
128,74.0,f,bachelor,english_british,uk,6.0,65to75,high,middle,f_uk_65to75_high_middle,3
129,65.0,m,high_school,english_british,uk,5.0,65to75,medium,middle,m_uk_65to75_medium_middle,4
130,65.0,f,bachelor,english_british,uk,5.0,65to75,high,middle,f_uk_65to75_high_middle,1
132,70.0,m,bachelor,english_british,uk,6.0,65to75,high,middle,m_uk_65to75_high_middle,5
133,60.0,m,high_school,english_british,uk,3.0,under65,medium,low,m_uk_under65_medium_low,2
134,61.0,m,less_than_highschool,english_british,uk,4.0,under65,low,middle,m_uk_under65_low_middle,4
135,79.0,f,bachelor,english_british,uk,5.0,over75,high,middle,f_uk_over75_high_middle,4
136,62.0,m,vocational,english_british,uk,3.0,under65,medium,low,m_uk_under65_medium_low,5
137,63.0,f,high_school,english_british,uk,4.0,under65,medium,middle,f_uk_under65_medium_middle,4
138,65.0,f,vocational,english_other,usa,3.0,65to75,medium,low,f_usa_65to75_medium_low,1
139,66.0,f,master,english_american,usa,4.0,65to75,high,middle,f_usa_65to75_high_middle,2
140,77.0,m,bachelor,english_american,usa,3.0,over75,high,low,m_usa_over75_high_low,2
141,60.0,f,master,english_american,usa,8.0,under65,high,high,f_usa_under65_high_high,3
142,61.0,m,phd,english_other,usa,3.0,under65,high,low,m_usa_under65_high_low,5
143,71.0,f,high_school,english_american,usa,4.0,65to75,medium,middle,f_usa_65to75_medium_middle,1
145,64.0,m,master,english_other,uk,5.0,under65,high,middle,m_uk_under65_high_middle,5
146,60.0,m,high_school,english_american,usa,5.0,under65,medium,middle,m_usa_under65_medium_middle,3
147,68.0,f,bachelor,english_american,usa,7.0,65to75,high,middle,f_usa_65to75_high_middle,4
149,60.0,f,bachelor,english_american,usa,4.0,under65,high,middle,f_usa_under65_high_middle,1
150,61.0,f,bachelor,english_american,usa,5.0,under65,high,middle,f_usa_under65_high_middle,3
151,62.0,m,bachelor,english_british,uk,7.0,under65,high,middle,m_uk_under65_high_middle,3
152,63.0,f,master,english_american,usa,7.0,under65,high,middle,f_usa_under65_high_middle,5
153,75.0,m,master,english_american,usa,8.0,65to75,high,high,m_usa_65to75_high_high,3
154,63.0,f,high_school,english_american,usa,4.0,under65,medium,middle,f_usa_under65_medium_middle,5
157,60.0,m,vocational,english_american,usa,2.0,under65,medium,low,m_usa_under65_medium_low,2
158,61.0,m,bachelor,english_american,usa,5.0,under65,high,middle,m_usa_under65_high_middle,5
160,64.0,f,master,english_american,usa,4.0,under65,high,middle,f_usa_under65_high_middle,3
162,69.0,m,bachelor,english_american,usa,7.0,65to75,high,middle,m_usa_65to75_high_middle,1
163,62.0,m,bachelor,english_american,usa,7.0,under65,high,middle,m_usa_under65_high_middle,5
165,66.0,f,bachelor,english_american,usa,6.0,65to75,high,middle,f_usa_65to75_high_middle,4
170,61.0,f,bachelor,english_american,usa,6.0,under65,high,middle,f_usa_under65_high_middle,1
173,72.0,m,less_than_highschool,english_british,uk,7.0,65to75,low,middle,m_uk_65to75_low_middle,4
174,67.0,m,high_school,english_british,uk,8.0,65to75,medium,high,m_uk_65to75_medium_high,3
175,65.0,m,bachelor,english_american,usa,4.0,65to75,high,middle,m_usa_65to75_high_middle,2
176,70.0,m,bachelor,english_american,usa,7.0,65to75,high,middle,m_usa_65to75_high_middle,5
177,66.0,f,bachelor,english_american,usa,6.0,65to75,high,middle,f_usa_65to75_high_middle,4
179,63.0,m,vocational,english_american,usa,6.0,under65,medium,middle,m_usa_under65_medium_middle,4
183,64.0,f,vocational,english_american,usa,2.0,under65,medium,low,f_usa_under65_medium_low,3
184,65.0,f,bachelor,english_british,uk,3.0,65to75,high,low,f_uk_65to75_high_low,2
185,63.0,f,bachelor,english_american,usa,3.0,under65,high,low,f_usa_under65_high_low,3
186,69.0,f,bachelor,english_american,usa,7.0,65to75,high,middle,f_usa_65to75_high_middle,3
188,67.0,f,high_school,english_american,usa,6.0,65to75,medium,middle,f_usa_65to75_medium_middle,2
189,72.0,f,bachelor,english_american,usa,7.0,65to75,high,middle,f_usa_65to75_high_middle,4
190,67.0,m,bachelor,english_american,usa,3.0,65to75,high,low,m_usa_65to75_high_low,2
193,68.0,f,high_school,english_british,uk,6.0,65to75,medium,middle,f_uk_65to75_medium_middle,4
195,62.0,f,vocational,english_british,uk,2.0,under65,medium,low,f_uk_under65_medium_low,2
196,68.0,m,high_school,english_british,uk,6.0,65to75,medium,middle,m_uk_65to75_medium_middle,3
197,62.0,f,vocational,english_british,uk,6.0,under65,medium,middle,f_uk_under65_medium_middle,5
198,62.0,f,high_school,english_british,uk,4.0,under65,medium,middle,f_uk_under65_medium_middle,5
199,71.0,m,high_school,english_british,uk,5.0,65to75,medium,middle,m_uk_65to75_medium_middle,5
200,69.0,f,high_school,english_british,uk,5.0,65to75,medium,middle,f_uk_65to75_medium_middle,5
