Subject_ID,Age,Gender,Education,Language,Country,Socioeconomic,age_group,edu_group,ses_group,strat_group,fold
41,61.0,f,bachelor,english_british,uk,7.0,under65,high,middle,f_uk_under65_high_middle,1
43,63.0,f,master,english_british,uk,7.0,under65,high,middle,f_uk_under65_high_middle,1
44,64.0,m,bachelor,english_british,uk,7.0,under65,high,middle,m_uk_under65_high_middle,2
46,62.0,m,high_school,english_british,uk,2.0,under65,medium,low,m_uk_under65_medium_low,2
49,73.0,m,bachelor,english_british,uk,3.0,65to75,high,low,m_uk_65to75_high_low,2
50,65.0,m,vocational,english_british,uk,4.0,65to75,medium,middle,m_uk_65to75_medium_middle,2
54,62.0,f,bachelor,english_british,uk,6.0,under65,high,middle,f_uk_under65_high_middle,2
56,76.0,f,bachelor,english_british,uk,3.0,over75,high,low,f_uk_over75_high_low,1
59,63.0,m,bachelor,english_british,uk,7.0,under65,high,middle,m_uk_under65_high_middle,1
61,72.0,m,bachelor,english_british,uk,5.0,65to75,high,middle,m_uk_65to75_high_middle,1
83,66.0,f,high_school,english_british,uk,6.0,65to75,medium,middle,f_uk_65to75_medium_middle,2
84,72.0,f,bachelor,english_british,uk,4.0,65to75,high,middle,f_uk_65to75_high_middle,2
85,60.0,f,bachelor,english_british,uk,7.0,under65,high,middle,f_uk_under65_high_middle,1
86,60.0,f,high_school,english_british,uk,4.0,under65,medium,middle,f_uk_under65_medium_middle,1
88,68.0,m,high_school,english_british,uk,7.0,65to75,medium,middle,m_uk_65to75_medium_middle,1
89,69.0,m,high_school,english_british,uk,7.0,65to75,medium,middle,m_uk_65to75_medium_middle,1
90,64.0,f,high_school,english_british,uk,4.0,under65,medium,middle,f_uk_under65_medium_middle,1
91,60.0,m,high_school,english_british,uk,3.0,under65,medium,low,m_uk_under65_medium_low,1
92,72.0,m,bachelor,english_british,uk,7.0,65to75,high,middle,m_uk_65to75_high_middle,2
93,71.0,f,less_than_highschool,english_british,uk,3.0,65to75,low,low,f_uk_65to75_low_low,2
97,63.0,m,bachelor,english_american,usa,9.0,under65,high,high,m_usa_under65_high_high,2
98,60.0,m,master,english_british,uk,8.0,under65,high,high,m_uk_under65_high_high,1
99,63.0,f,high_school,english_british,uk,1.0,under65,medium,low,f_uk_under65_medium_low,1
101,89.0,f,vocational,english_british,uk,6.0,over75,medium,middle,f_uk_over75_medium_middle,2
102,66.0,f,vocational,english_american,usa,7.0,65to75,medium,middle,f_usa_65to75_medium_middle,2
