WORD	AoA (Yrs)	AoA (100-700)	IMG	FAM
arch	6.5	351	604	463
bath	3.6	200	664	587
blame	5.6	309	352	559
coach	5.6	300	624	513
cock	7.7	389	611	484
craft	6.6	360	413	468
cure	6.8	363	346	496
delight	6.3	347	429	502
dress	4.1	227	661	592
drug	7.9	424	580	546
ease	7.3	387	302	524
envy	7.8	412	366	500
escape	6	331	379	520
flame	5.3	282	647	518
gain	6.6	358	352	530
gasp	6.8	366	486	467
golf	5.8	325	621	489
grade	6.9	382	426	553
guard	5.9	317	590	497
guide	6.2	331	450	514
hammer	5	274	668	472
harbour	6.7	350	614	455
harm	5.6	299	376	515
harvest	6	320	537	450
hate	4.5	251	406	597
hint	7.1	382	322	539
honour	7.5	398	342	474
humour	7.2	379	369	572
hurt	4	221	450	573
iron	5.9	307	651	535
joke	5	274	413	601
lecture	9.2	495	570	684
liquid	5.6	303	587	545
loan	8.2	431	419	564
measure	5.8	316	450	549
minute	4.9	267	453	674
moral	8.3	455	309	514
note	5.5	294	557	595
notice	6.3	338	433	590
nurse	4.8	261	654	509
park	4.2	233	607	582
pause	6.5	361	359	539
payment	7.3	387	446	554
pity	7.4	382	346	513
poison	5.9	327	584	459
polish	6.4	341	533	490
post	5	277	607	606
pound	5.1	277	584	652
pump	6.3	339	503	500
punch	5.3	290	607	516
record	6.1	324	584	566
rent	7.7	417	389	516
reward	5.9	321	413	516
seal	5.8	320	607	458
shame	6.9	366	356	539
shape	4.5	255	493	561
signal	6.5	350	490	520
silence	4.8	277	413	559
sink	4.5	244	611	574
sketch	6.5	357	496	490
skill	6.6	365	305	549
slave	6.4	349	580	461
slice	5.3	287	547	566
smile	3.8	218	647	640
spell	4.9	269	429	552
split	6	325	453	519
style	7.1	382	399	567
swallow	4.9	274	523	547
sweep	5.6	295	547	486
swim	4.3	248	627	543
thrill	7.3	392	403	502
trick	5.4	294	423	522
trust	6	336	359	581
type	6	327	423	586
wound	6.4	341	570	479
wreck	6.5	348	570	490
abbey	7.8	480	575	429
abide	8.9	533	160	397
able	5.9	322	200	599
aboard	6	345	362	456
abrupt	9.1	557	242	484
absorb	7.4	438	334	501
absurd	8.6	526	142	503
accent	6.3	353	316	560
access	7.7	467	256	543
accuse	7.3	440	239	514
ache	5.4	302	311	575
active	6.6	386	343	551
actor	5.8	324	469	550
actress	5.6	307	562	543
actual	7.1	407	169	607
acute	9.7	609	238	441
adapt	8	480	225	523
addict	8.6	532	430	509
address	5.5	299	399	628
adjust	8.1	495	275	513
adopt	6.9	415	274	453
adverse	10	607	174	459
afar	7.5	452	250	430
affect	7.5	442	100	597
afford	7.5	452	274	639
agent	7.7	466	405	452
aide	9.1	553	250	394
airport	5	252	650	503
aisle	7	407	530	478
alive	5.1	283	295	531
allow	5.5	305	170	586
aloft	10.1	619	285	393
aloud	6	353	288	514
altar	6.8	407	575	450
alter	6.7	394	238	477
amber	8.1	495	490	449
amongst	6.8	406	235	539
amuse	7.2	422	255	531
anchor	6.5	387	620	436
ancient	7.1	430	409	503
angry	4.5	247	440	592
anguish	8.7	533	184	431
annual	7.4	438	232	469
anthem	8.6	516	330	456
anxious	8.2	488	305	521
apex	11.8	700	226	380
appear	5.7	335	307	542
approve	7.1	415	215	520
apron	5	261	541	436
archer	7.7	459	522	400
argue	5	291	395	584
arise	8.4	517	255	464
arouse	10.4	658	317	468
arrest	6.5	374	473	479
arrive	5.1	291	274	607
arrow	5.7	317	463	462
artist	5.3	283	538	488
ascent	9.1	570	265	395
ashore	8	477	317	431
askew	10.1	638	129	408
assist	7.5	433	258	508
assure	8.6	527	230	501
asthma	7.9	473	405	505
atom	10.7	692	390	428
attract	6.6	373	226	565
auction	8.7	532	455	422
august	4.5	245	385	527
avenge	9.3	570	225	418
await	7.9	495	260	465
aware	7.3	437	190	562
away	4.4	218	205	642
awesome	7.7	466	260	510
awkward	7.6	460	265	558
axle	9.2	567	395	391
bacon	4.6	252	650	553
badge	4.8	268	481	473
baggage	6.8	393	602	490
bail	8.5	512	251	437
bait	7.3	430	395	422
bake	5.5	313	481	517
bald	5.6	310	547	472
bamboo	6.8	376	552	419
banger	6.4	380	331	425
banner	6.4	368	548	480
barely	6.7	393	261	562
bark	4.8	261	540	492
baroque	10.9	667	243	375
barrage	9.1	551	331	398
bass	8	493	429	454
bastard	9.3	560	305	611
beach	4.4	232	660	541
beagle	9.9	594	362	398
beak	5.2	263	579	450
beaker	5.2	298	570	449
beard	4.9	260	631	480
become	5.8	331	105	614
beech	7.7	459	430	414
beef	5.1	276	625	551
beer	6.5	361	627	642
befall	10.1	640	190	392
behalf	8.1	493	174	486
behind	4.4	243	384	603
bell	4.5	241	566	495
belly	4.9	255	590	529
belt	4.9	268	585	577
bend	4.7	252	468	546
bent	5.2	299	371	533
beware	6.1	349	290	503
bike	4	199	649	591
billion	7.1	428	317	506
bishop	6.9	415	585	402
bitch	8.5	518	352	580
bitter	6.7	400	404	530
bizarre	8.8	546	263	520
bland	8.2	487	256	478
blank	6.2	354	384	537
blast	5.8	335	445	468
blaze	7.1	414	481	456
blazer	7.8	470	499	445
bleak	8.2	502	395	432
blend	6.4	367	315	501
bless	6.1	366	299	503
blew	6.2	361	327	494
blind	5.2	275	396	495
bliss	8.2	507	377	489
bloke	8	459	571	617
blond	5.6	303	579	606
blonde	5.3	289	632	606
bloody	6	342	540	546
blouse	5.6	313	605	468
blow	4.9	259	399	536
blown	5.6	308	343	535
bluff	8	493	217	462
blunder	9.3	587	274	413
blunt	6.3	393	395	502
board	5.6	299	442	529
boiler	6.9	407	530	504
bold	6.5	387	384	493
bomber	8.3	523	455	435
bondage	11.2	675	473	442
bone	4.8	261	625	525
bonus	7.7	459	325	523
boom	5.5	315	449	465
boost	7.1	406	278	469
bore	7.2	428	214	473
boredom	6.5	386	305	562
boring	5.1	275	293	641
born	4.6	245	427	532
borne	9.8	631	191	413
boss	6.6	380	468	527
bottom	4.4	227	505	608
bought	5.3	283	283	630
bounce	4.8	266	481	508
bouncy	4.9	261	475	494
bound	7.3	433	282	476
bout	10.6	665	195	412
bowel	8.8	538	396	434
boxing	6.2	342	630	472
boycott	10	600	235	434
bracket	7.7	480	435	469
brand	7.8	477	260	534
brave	4.6	241	329	517
brazen	10.8	683	269	395
brazier	10.3	623	196	379
breach	9.5	590	238	421
bread	3.5	183	650	636
breast	9.7	428	590	555
brewer	7	570	396	411
bribe	9.3	531	269	471
bride	8.5	330	668	501
brink	8.7	523	246	421
brisk	7.1	414	257	479
broad	7.6	439	315	514
broke	11.4	283	358	584
bronze	6.8	401	511	433
broom	5.5	313	595	499
brow	7.8	473	425	449
brute	8.2	491	299	425
buck	8.5	524	425	392
build	4.4	240	400	562
bulb	5.5	293	611	510
bulge	7.5	444	475	460
bulk	7.2	407	372	459
bullet	6.5	376	608	443
bumble	6.7	393	300	423
bump	4.2	221	446	495
bundle	5.8	333	459	476
bunk	5.5	303	341	440
burglar	4.9	282	591	486
burner	7.1	433	403	433
burnt	5.4	310	463	543
burst	5.7	308	388	514
bury	5.3	282	402	488
bust	7.1	422	430	482
busy	5.2	282	305	621
butch	9.6	600	433	456
butler	7.1	414	517	415
butt	7.6	466	510	492
caddie	9	544	368	381
caddy	9.6	566	426	418
calcium	8.9	540	293	465
calf	5.7	331	559	454
calm	5.9	331	366	562
camel	5.5	315	648	426
camper	7.1	426	482	424
campus	10.5	634	421	540
cancer	8.3	500	429	527
candy	4.3	236	575	447
cane	6.2	348	543	443
cannon	6.1	333	615	427
canyon	8.6	520	566	415
cape	5.7	319	520	428
captive	7.8	467	360	453
capture	6.4	366	338	464
carat	9.5	585	283	384
carbon	10.3	656	390	443
card	4.6	245	576	562
careful	5.1	293	252	610
carol	5.3	289	372	422
carp	9.1	553	360	373
carry	4.7	248	341	586
carver	8.8	564	285	402
cash	6.1	342	575	666
cashier	7.3	435	493	514
casual	7.3	426	323	580
catch	6.8	256	425	561
cathode	12.1	700	400	371
caution	7.2	426	269	513
cave	5.5	291	589	457
cease	9.1	562	214	449
ceiling	5.5	308	587	504
cell	8.1	500	469	503
cello	6.8	392	613	406
cement	6.6	393	525	473
cereal	4.5	245	608	621
cervix	11.5	700	465	404
chalice	10.2	623	372	382
chalk	4.8	260	603	432
chaos	6.9	401	426	499
charge	6.5	366	257	583
cheap	5.6	322	311	631
cheer	5.4	305	365	520
cheque	7.9	463	559	565
chess	6.9	407	590	438
chest	5.6	302	551	509
chew	4.3	230	429	543
chin	4.6	237	585	513
chip	4.6	247	595	567
choose	5.5	313	239	624
choral	9	537	343	412
chubby	5.5	315	530	513
cigar	7.4	439	644	447
circus	5.1	261	595	418
clan	9.1	564	335	408
clause	11.1	700	260	419
clement	9.9	607	178	338
clergy	9.5	597	490	397
click	5.8	320	320	576
client	8.7	546	405	485
climate	7.6	453	382	486
climax	9.1	551	360	466
climb	4.8	240	485	540
cling	6.5	380	421	486
cloak	5.5	315	543	433
clobber	8.1	492	282	412
clock	4.1	210	640	636
closure	9	553	269	453
cloth	4.9	255	487	529
cloud	4.3	223	624	558
clue	5.8	322	339	520
clumsy	5.9	338	402	510
clung	7.1	418	270	447
cluster	8	480	430	463
clutch	8.4	510	415	486
clutter	7	414	487	501
coarse	8.8	531	302	443
coaster	7.3	439	465	449
cockney	9.9	626	325	438
cocoa	6	341	563	476
code	6.3	359	299	510
coerce	11.5	700	145	389
coin	4.6	241	626	588
cola	5.3	307	608	542
collect	5.8	322	279	570
colonel	8.9	544	433	398
colour	3.6	183	552	650
combat	7.7	460	464	463
comet	8	492	525	426
comma	7.1	429	555	516
command	7.1	413	300	488
comment	7.7	480	245	557
compare	7.1	401	166	594
compass	7.2	422	600	445
compete	6.5	380	299	511
complex	9.1	553	263	543
conceal	8.4	477	274	460
concept	9.3	570	197	536
concoct	9.4	573	266	421
confer	9.7	614	226	425
confess	7.1	433	291	472
confide	9.2	567	238	511
conform	9.6	581	172	471
confuse	6.6	380	262	580
conquer	7.2	420	364	405
consent	8.5	527	226	501
contain	6.4	378	250	560
contend	9.5	570	201	445
contest	6.9	426	278	497
context	9.4	570	213	506
convene	10.9	661	205	402
convent	8.5	532	465	434
convert	8.9	546	245	508
convict	8.7	526	384	427
convoy	9.2	564	396	422
cook	4.5	237	529	614
copy	5.3	295	388	575
cord	6.5	384	455	443
cork	6.5	386	619	458
corn	5.3	299	580	469
corpse	8.3	498	534	464
corrupt	8.9	533	220	482
cortex	12.2	700	293	460
couch	5.5	310	511	525
cough	4.7	252	497	584
count	4.2	220	390	558
counter	5.3	305	465	479
county	7.4	433	317	483
coup	11.8	700	195	385
coward	6.8	401	251	471
crap	9	553	335	638
crash	4.9	268	534	513
