Subject_ID,PhonemicFluencyScore,PictureNamingScore,SemanticFluencyScore
41,13,,25
43,,,34
44,23,,35
46,14,,17
49,16,,25
50,14,,29
54,10,,21
56,11,,13
59,20,,26
61,18,,18
83,21,16,19
84,26,19,27
85,16,16,23
86,15,19,21
88,12,20,21
89,20,19,24
90,21,17,24
91,21,19,14
92,9,20,14
93,17,19,23
97,13,18,21
98,11,16,13
99,11,19,
101,12,20,22
102,13,18,23
103,17,20,24
104,23,18,31
105,13,17,26
107,13,17,20
109,16,14,34
110,30,19,27
111,19,19,21
112,18,20,25
115,4,17,16
119,22,19,25
120,16,17,17
122,9,17,18
123,11,20,23
124,17,18,22
127,20,17,26
128,9,15,18
129,22,19,1
130,13,18,19
132,13,18,22
133,21,18,24
134,21,18,17
135,16,18,22
136,11,17,28
137,17,19,21
138,13,14,6
139,20,16,24
140,11,19,14
141,11,11,11
142,15,10,15
143,10,17,15
145,15,11,17
146,16,18,18
147,12,17,25
149,15,18,25
150,13,18,25
151,13,19,29
152,8,19,25
153,20,18,19
154,17,13,22
157,12,14,13
158,16,8,18
160,13,19,20
162,15,18,21
163,14,12,19
165,17,16,18
169,6,20,14
170,23,19,21
172,19,17,19
173,5,12,11
174,18,20,28
175,15,18,20
176,20,19,18
177,14,15,15
179,16,16,13
183,19,20,29
184,18,20,30
185,23,18,24
186,17,8,23
188,9,18,13
189,19,19,33
190,9,19,19
193,12,19,27
195,13,17,24
196,9,18,25
197,18,6,19
198,14,16,14
199,13,17,9
200,15,17,25
201,11,18,19
202,23,14,24
203,17,18,21
204,17,17,20
205,15,19,27
206,10,13,12
207,13,14,24
208,13,18,19
209,16,20,21
210,18,13,24
211,18,18,23
212,15,20,22
213,23,20,22
214,20,17,27
215,21,20,30
216,20,16,24
217,7,19,16
218,16,19,22
219,18,13,17
220,18,12,14
222,11,16,18
224,11,19,23
225,9,16,21
226,11,18,14
228,18,17,32
229,18,19,23
230,18,17,23
232,15,18,22
233,16,14,23
234,5,9,14
237,11,18,24
239,16,19,19
241,25,15,18
242,14,18,17
243,18,20,22
244,17,18,24
247,14,20,24
