feature,mean_abs_shap
speech_rate_phonemes,0.02211200312428637
aoa_content,0.01653837054138524
total_pause_duration,0.012678999904524733
guirauds_statistic,0.012095869188374464
aoa_nouns,0.01021105673912302
n_words,0.009984823505465657
avg_pause_duration,0.009227070363889436
honores_statistic,0.009114064835008241
aux_verb_ratio,0.008800107763750294
aoa_verbs,0.00850694382238259
ADP,0.00816512872181567
phonation_rate,0.008148877704671653
noun_verb_ratio,0.008057692424580154
information_words_ratio,0.008037139490597622
ADV,0.007909184736763445
mattr_30,0.0077522996969609905
CCONJ,0.007595142083238113
DET,0.0074580637556373765
concr_verbs,0.007337961321747352
total_speech_duration,0.007310221107600575
nid_ratio,0.006878240845754153
eGeMAPS_F3amplitudeLogRelF0_sma3nz_stddevNorm,0.0068681277929496295
concr_nouns,0.00680909811866649
AUX,0.006754574277627248
light_verb_ratio,0.006603581227731915
eGeMAPS_loudness_sma3_percentile20.0,0.006496783163060247
eGeMAPS_logRelF0-H1-A3_sma3nz_amean,0.006423116656165764
VERB,0.0064008034821501645
concr_content,0.006357573471677545
eGeMAPS_jitterLocal_sma3nz_amean,0.006344527949880867
pause_rate,0.006249639722941734
n_pauses,0.006171636097281589
PRON,0.006109519411517062
freq_nouns,0.006012992462841495
eGeMAPS_loudness_sma3_amean,0.005827630975926854
freq_verbs,0.005763980948622065
pronoun_noun_ratio,0.005624563044195758
brunets_index,0.005614604770333372
eGeMAPS_slopeUV0-500_sma3nz_amean,0.005543334254888724
ADJ,0.00553667349718314
eGeMAPS_shimmerLocaldB_sma3nz_amean,0.005492632919148632
determiner_noun_ratio,0.005431712077130147
avg_word_length,0.005339739055235595
filler_word_ratio,0.005305781197044639
eGeMAPS_F0semitoneFrom27.5Hz_sma3nz_percentile50.0,0.005157839259801609
eGeMAPS_mfcc3V_sma3nz_amean,0.005001649015486476
freq_content,0.004901328242595851
mattr_10,0.004845543530690928
eGeMAPS_F0semitoneFrom27.5Hz_sma3nz_percentile20.0,0.004801048982818275
NOUN,0.004756137396220214
content_density,0.004671544546644268
eGeMAPS_slopeV0-500_sma3nz_amean,0.004561487033213649
Age,0.004318803072930711
INTJ,0.004110088153614284
article_pause_contentword,0.0037879899709673454
Socioeconomic,0.0028297626950109242
Country,0.0012728029473220897
Gender,0.0010705862846944782
Education_level,0.0009864623367850773
