target,model,threshold_type,auroc_mean,auroc_ci_low,auroc_ci_high,auprc_mean,auprc_ci_low,auprc_ci_high,sensitivity_mean,sensitivity_ci_low,sensitivity_ci_high,specificity_mean,specificity_ci_low,specificity_ci_high,accuracy_mean,accuracy_ci_low,accuracy_ci_high,precision_mean,precision_ci_low,precision_ci_high,f1_mean,f1_ci_low,f1_ci_high,mcc_mean,mcc_ci_low,mcc_ci_high,threshold,task
PhonemicFluencyScore,demographics,baseline_0.50,0.5470920544336779,0.496815092895488,0.5978815729711763,0.17084890015428267,0.13734860505574276,0.21207784480945008,0.19461582988092352,0.13332167832167832,0.2611781180828477,0.8442547805926772,0.8210001635074352,0.8684921453054334,0.749341784989858,0.7231237322515213,0.7758620689655172,0.17613322114218397,0.12116195063214935,0.2384251738931234,0.184417576045991,0.12880076750879438,0.24333791705869579,0.037270217803863255,-0.026664552835949665,0.10318934219422628,0.5,picnicScene
PhonemicFluencyScore,demographics,max_f1,,,,,,,0.8484985980036832,0.2631265664160401,1.0,0.22636713691708935,0.027488175675675686,0.8169892076976422,0.31822671550197623,0.15289100265086542,0.7373802541544476,0.15961850206266084,0.12367066152642754,0.22523975588491715,0.26414710786511353,0.21769970056257942,0.31630232384924767,0.07206484214532233,-0.01815596128198174,0.17995565821457468,,picnicScene
PhonemicFluencyScore,demographics,recall>=0.80,,,,,,,0.8668560409410252,0.7605492957746479,0.9411977834612105,0.21443913598672357,0.13441049184832388,0.39493124684770775,0.3111985923571326,0.24352720177073625,0.4503904974303442,0.1430490914805497,0.11158521760272308,0.18159149035108113,0.2717276735856519,0.21852264830046988,0.3277519625039537,0.07046839535776465,-0.020393121651700218,0.15700369129724587,,picnicScene
PhonemicFluencyScore,acoustic,baseline_0.50,0.5422881595711431,0.4925968807171744,0.5870845707493861,0.18334570403019046,0.1450206001403371,0.22799957609876487,0.006806015582515553,0.0,0.02273160999306037,0.9906049995679087,0.9836055953205572,0.9964201544058872,0.8468600405679514,0.8235294117647058,0.8681795131845842,0.11065465620980326,0.0,0.3639204545454543,0.012741800023898405,0.0,0.04167395104895104,-0.009542262710705117,-0.0458452867629683,0.05416001277970348,0.5,picnicScene
PhonemicFluencyScore,acoustic,max_f1,,,,,,,0.5504621939303905,0.11474238875878222,1.0,0.49270212877304903,0.007189213664033813,0.935044100178732,0.501517631648484,0.1491000676024337,0.8168807248108323,0.19866992539098208,0.13142513285401689,0.3405214509940704,0.2813354548220685,0.22701637598189323,0.3456868260665729,0.04089222209838641,-0.051537252174737196,0.13634081021392452,,picnicScene
PhonemicFluencyScore,acoustic,recall>=0.80,,,,,,,0.8275612795768333,0.6567047574626866,0.9722587719298246,0.2420607264203894,0.10046021068001672,0.35036021020106434,0.3288081481302061,0.22330975128721195,0.4088288546204378,0.15143148942505258,0.11696951345222142,0.18717832002408566,0.2669422079076563,0.2107778637770898,0.3225913502711961,0.061272763315044936,-0.037580308509292996,0.14051721306209014,,picnicScene
PhonemicFluencyScore,linguistic,baseline_0.50,0.5696503061967176,0.5164356697697866,0.6234530846269879,0.20305982407276874,0.15676484657918188,0.2555225849971155,0.006680454710533815,0.0,0.021739130434782608,0.9988819895052212,0.9963723206783175,1.0,0.8539066937119676,0.8316430020283976,0.8752535496957403,0.5123080472499076,0.0,1.0,0.013103977700862746,0.0,0.04225352112676056,0.040462803926908764,-0.02191811717938685,0.1304581600774645,0.5,picnicScene
PhonemicFluencyScore,linguistic,max_f1,,,,,,,0.7380570035112166,0.2948529411764706,1.0,0.3605217697469727,0.013888086989992303,0.832607070207268,0.41653374842015173,0.14193001094585025,0.7567581732676073,0.17516714323132015,0.12474404644105812,0.2602241931510224,0.2698938745031287,0.21650871884963238,0.329231381919554,0.08875155870935054,0.0034434488544612535,0.19677344518276244,,picnicScene
PhonemicFluencyScore,linguistic,recall>=0.80,,,,,,,0.9161560295025276,0.7970369267421085,0.982158251231527,0.17784946203873153,0.1042616733415191,0.279823415732246,0.28732857590263894,0.22058823529411764,0.3684361477307034,0.1423598607080317,0.10917888563049855,0.18184789067142007,0.27565647296102974,0.22168663382868595,0.32750223674485546,0.09001333117713407,0.0030774681820498217,0.16787727973037614,,picnicScene
PhonemicFluencyScore,linguistic+acoustic,baseline_0.50,0.5875442113405029,0.5331957225150407,0.6415860326965961,0.2211116512314306,0.16911866908594983,0.2790569935863457,0.020885444517614246,0.0,0.04896950875211743,0.9988529765568299,0.9963721002923187,1.0,0.8559614604462474,0.8336713995943205,0.8772819472616633,0.7599300489973273,0.0,1.0,0.04039247959430679,0.0,0.09333918128654971,0.10600538668109584,-0.011926732320393417,0.19817500355106119,0.5,picnicScene
PhonemicFluencyScore,linguistic+acoustic,max_f1,,,,,,,0.6784196684382086,0.1856868131868132,1.0,0.46138837353419143,0.010386939538610493,0.9271866725507503,0.49372539519818787,0.1425697389991933,0.8207739307535642,0.19418898111128732,0.1275944203437979,0.3243622836319465,0.27651696546380056,0.21835908260221595,0.33725364603862823,0.11299045904207199,-0.04833286529204502,0.2387229602488334,,picnicScene
PhonemicFluencyScore,linguistic+acoustic,recall>=0.80,,,,,,,0.9176095234162931,0.8218922510734001,0.9857142857142858,0.16684582146664875,0.048540750840405274,0.31858713646303827,0.2781694784429934,0.1799914518916137,0.3995948099649925,0.14625380621401235,0.1097231853521277,0.18520036429872494,0.2738670281292438,0.21765698968151007,0.3313401445696178,0.07946121303929786,-0.03256708153867123,0.16991299996887269,,picnicScene
PhonemicFluencyScore,full,baseline_0.50,0.5823438928752431,0.5321235095104573,0.6357153781083809,0.21332537596423637,0.16447966812395517,0.27005716343016867,0.020885444517614246,0.0,0.04896950875211743,0.9988529765568299,0.9963721002923187,1.0,0.8559614604462474,0.8336713995943205,0.8772819472616633,0.7599300489973273,0.0,1.0,0.04039247959430679,0.0,0.09333918128654971,0.10600538668109584,-0.011926732320393417,0.19817500355106119,0.5,picnicScene
PhonemicFluencyScore,full,max_f1,,,,,,,0.6792268459269389,0.3538028169014085,1.0,0.45974822106366664,0.004962779156327543,0.7785478461377212,0.49249885153555867,0.14343414221900277,0.7359505666653773,0.18662068733805343,0.12733953010570967,0.2647058823529412,0.2765674941081976,0.21999645390070924,0.3333720930232558,0.11249395765162495,0.010554573599365047,0.23329728319198723,,picnicScene
PhonemicFluencyScore,full,recall>=0.80,,,,,,,0.9004586738790292,0.7760712566201252,0.9846153846153847,0.17870766937580926,0.08856212882594794,0.34874442405643963,0.2857147191998592,0.2138610836643746,0.4193641979160167,0.14507035653146216,0.11240407133849757,0.18271837349397588,0.2719663323787925,0.21889400086943922,0.326076500637431,0.0755121723184177,-0.001652257805240162,0.15112658605528034,,picnicScene
