feature,mean_abs_shap
guirauds_statistic,0.03845361542646304
aoa_nouns,0.031008279516864114
aoa_content,0.024209441193267234
total_speech_duration,0.02203132283956675
n_words,0.01991590249355701
mattr_30,0.013952924980904386
VERB,0.012120831287941012
phonation_rate,0.011894816949215826
pause_rate,0.011255174818162345
eGeMAPS_loudness_sma3_amean,0.010495010733432088
avg_pause_duration,0.009856144842627364
eGeMAPS_F3amplitudeLogRelF0_sma3nz_stddevNorm,0.00957627680749856
ADP,0.009481032765319595
speech_rate_phonemes,0.009342538129891664
freq_nouns,0.009157793691660749
ADJ,0.008361660197102671
NOUN/VERB,0.008239510533531242
freq_content,0.007810164609481462
eGeMAPS_slopeUV0-500_sma3nz_amean,0.007263734875986799
concr_verbs,0.007204522166933358
mattr_10,0.006954033513518443
CCONJ,0.006766497301687053
nid_ratio,0.006685190859650456
article_pause_contentword,0.006564195529622308
honores_statistic,0.0062430880620217245
concr_nouns,0.00608628466879845
total_pause_duration,0.006021355829453835
eGeMAPS_slopeV0-500_sma3nz_amean,0.005898013527408929
filler_word_ratio,0.005839393025483493
eGeMAPS_loudness_sma3_percentile20.0,0.005718135958018033
eGeMAPS_mfcc3_sma3_amean,0.005697073635308233
aoa_verbs,0.005673965443879374
AUX/VERB,0.005617144407085404
information_words,0.005500870450006499
eGeMAPS_F0semitoneFrom27.5Hz_sma3nz_percentile20.0,0.005490113152486578
brunets_index,0.00547826766023232
ADV,0.005209157318383882
eGeMAPS_F0semitoneFrom27.5Hz_sma3nz_percentile50.0,0.005045165922937577
average_word_length,0.004946204550154234
eGeMAPS_logRelF0-H1-A3_sma3nz_amean,0.004895231321168902
eGeMAPS_shimmerLocaldB_sma3nz_amean,0.0048745816698601676
AUX,0.0048587784949632225
OPEN/CLOSED,0.004757152059218187
NOUN,0.0046922583076269495
eGeMAPS_mfcc3V_sma3nz_amean,0.004588344072872717
eGeMAPS_jitterLocal_sma3nz_amean,0.004317993445805534
DET,0.004240287916446592
light_verb_ratio,0.004234267524866978
concr_content,0.0041214797235380575
INTJ,0.003953966105486266
PRON,0.0038897808081123303
freq_verbs,0.0038256064852663398
PRON/NOUN,0.0038217126625190367
DET/NOUN,0.0037678554152950393
n_pauses,0.003479504833394586
Age,0.002965025574506698
Socioeconomic,0.0022738008041055927
Country,0.0019800002670922446
Education_level,0.0013031013441636337
Gender,0.0006623869831482568
