feature,mean_abs_shap
guirauds_statistic,0.04690325368027467
aoa_nouns,0.03162481254781225
aoa_content,0.028587145792958357
n_words,0.020683411947182786
total_speech_duration,0.020175019845010245
mattr_30,0.015335704865748246
avg_pause_duration,0.013216937412520821
VERB,0.012662896833648171
pause_rate,0.011127378893613578
eGeMAPS_loudness_sma3_amean,0.01094021163384142
ADP,0.010598065146923545
phonation_rate,0.010453683297727768
speech_rate_phonemes,0.010337157203456106
freq_nouns,0.009190541475396939
ADJ,0.009163797091316145
eGeMAPS_F3amplitudeLogRelF0_sma3nz_stddevNorm,0.008992563101913806
nid_ratio,0.007909785359051298
noun_verb_ratio,0.007672674333461152
freq_content,0.007656062079062581
eGeMAPS_slopeUV0-500_sma3nz_amean,0.0071926922423921425
eGeMAPS_loudness_sma3_percentile20.0,0.006598651611088445
filler_word_ratio,0.006578236556860886
mattr_10,0.006552462188462018
aux_verb_ratio,0.006246547369911501
concr_verbs,0.006157013393176655
eGeMAPS_slopeV0-500_sma3nz_amean,0.006097667840023014
concr_nouns,0.005994126208469597
article_pause_contentword,0.005991260925814062
CCONJ,0.005802324255015017
brunets_index,0.005782071278501402
avg_word_length,0.005644065747126924
honores_statistic,0.005592267522224276
total_pause_duration,0.005535268611422222
eGeMAPS_mfcc3V_sma3nz_amean,0.005456271704875238
aoa_verbs,0.00545334165786073
information_words_ratio,0.005424883719186233
ADV,0.0052845833456881194
content_density,0.005234634893766088
eGeMAPS_logRelF0-H1-A3_sma3nz_amean,0.005150795023160797
AUX,0.005136560388335972
eGeMAPS_F0semitoneFrom27.5Hz_sma3nz_percentile50.0,0.00512051702083927
eGeMAPS_shimmerLocaldB_sma3nz_amean,0.005093883052731351
eGeMAPS_F0semitoneFrom27.5Hz_sma3nz_percentile20.0,0.005030241274913056
light_verb_ratio,0.005010794302669529
NOUN,0.004568268358394608
concr_content,0.004440187602198051
eGeMAPS_jitterLocal_sma3nz_amean,0.004404156069850543
DET,0.004381512793810749
PRON,0.004323308248795292
freq_verbs,0.003964045250638904
determiner_noun_ratio,0.003892119063593229
pronoun_noun_ratio,0.003883885931468862
n_pauses,0.0033915189037164333
Age,0.003197726645087794
INTJ,0.0026610819013627098
Socioeconomic,0.0024030367217811074
Country,0.001990022763864394
Education_level,0.0012617344557383833
Gender,0.0006848770481426794
