feature,mean_abs_shap
guirauds_statistic,0.027181189175729162
speech_rate_phonemes,0.02571319165495942
aoa_content,0.018631188355891892
n_words,0.018521179565618315
phonation_rate,0.013609558973859459
VERB,0.012377883924563281
NOUN/VERB,0.011338412463750598
total_speech_duration,0.011293928962987844
aoa_nouns,0.01107262057195211
total_pause_duration,0.010906626970048697
aoa_verbs,0.0107710461361133
pause_rate,0.00910749604967593
mattr_30,0.008990965877484871
ADJ,0.008905383340108331
ADP,0.008335887918106842
eGeMAPS_logRelF0-H1-A3_sma3nz_amean,0.007778945080329009
n_pauses,0.007635064246203913
freq_content,0.007489141097182401
Age,0.0072640681872682585
concr_nouns,0.006978750371337154
light_verb_ratio,0.00694209897954922
honores_statistic,0.006713484267743521
concr_verbs,0.006441420237694885
AUX,0.006260047220322434
concr_content,0.006246436706573199
brunets_index,0.006232430802579036
average_word_length,0.006157504254408028
eGeMAPS_F0semitoneFrom27.5Hz_sma3nz_percentile20.0,0.006059968987459126
mattr_10,0.0060547946108667995
AUX/VERB,0.0059718097942773355
eGeMAPS_F0semitoneFrom27.5Hz_sma3nz_percentile50.0,0.005892747464650465
eGeMAPS_F3amplitudeLogRelF0_sma3nz_stddevNorm,0.0058536926949100945
freq_nouns,0.0057238027551240155
filler_word_ratio,0.005472590774475987
eGeMAPS_loudness_sma3_amean,0.005444483905825283
eGeMAPS_slopeUV0-500_sma3nz_amean,0.005422748707669518
avg_pause_duration,0.005368335506568997
CCONJ,0.005232171981328502
eGeMAPS_shimmerLocaldB_sma3nz_amean,0.004967175647546387
PRON,0.004719228395729989
ADV,0.004686198600078894
DET,0.00461314240186555
information_words,0.004606162497355904
nid_ratio,0.004569833166321853
eGeMAPS_mfcc3_sma3_amean,0.004476895983610914
Country,0.004461516253778595
Socioeconomic,0.00445999572057764
eGeMAPS_slopeV0-500_sma3nz_amean,0.004457573186212202
PRON/NOUN,0.004418271737311361
NOUN,0.004416446574420892
DET/NOUN,0.004383783510267127
freq_verbs,0.0042205001652585675
INTJ,0.004009610299512678
eGeMAPS_jitterLocal_sma3nz_amean,0.003999447705466203
eGeMAPS_loudness_sma3_percentile20.0,0.003999254708395865
eGeMAPS_mfcc3V_sma3nz_amean,0.0036912096649600185
OPEN/CLOSED,0.0035711811828613668
article_pause_contentword,0.0033553405002999304
Gender,0.0021000386431725476
Education_level,0.0012458346167034395
