score,PictureNamingScore,PictureNamingScore,PictureNamingScore,SemanticFluencyScore,SemanticFluencyScore,SemanticFluencyScore,PhonemicFluencyScore,PhonemicFluencyScore,PhonemicFluencyScore
task,cookieTheft,picnicScene,journaling,cookieTheft,picnicScene,journaling,cookieTheft,picnicScene,journaling
phonation_rate,7.154123435575677e-22,7.607997419016353e-26,3.60607599418283e-14,7.073085909877762e-20,3.7055234877175886e-20,7.714511498241375e-20,7.667438561305956e-07,3.129404092817379e-07,3.33016048283419e-06
speech_rate_phonemes,3.143702840199403e-17,5.104751736635923e-16,1.525324916368133e-08,1.300540980735873e-22,6.079662398567125e-22,9.859064497975226e-22,8.393653911364143e-09,8.557185318026929e-12,1.0730517948579775e-08
pause_word_ratio,5.8866615987457946e-27,,1.653906294587275e-14,6.493883369019235e-16,,3.3081878438142595e-17,1.5713882686441192e-05,,5.490655619593913e-06
guirauds_statistic,9.7142444270056e-24,2.782687260834891e-34,8.458397101789657e-14,1.5319435011628168e-19,5.651745227952234e-20,3.7409281961701904e-10,0.0025338400547978406,6.131871342597692e-05,0.16514823776623408
pause_rate,1.7432801026369325e-10,1.7120394076602092e-12,2.0812211881473198e-10,1.068539476983044e-14,5.809575881711079e-16,2.70902817261939e-13,6.839292092507649e-05,9.825280892855264e-05,0.01708016002122407
aoa_content,1.0073482601834205e-10,7.648747598631248e-26,7.621762551120969e-06,7.47381131749059e-09,9.17771887462184e-12,0.6236116864325102,0.000418591632835875,0.0004188636958156595,0.28037334522551677
eGeMAPS_F3amplitudeLogRelF0_sma3nz_stddevNorm,9.836614729262153e-12,8.222742187506242e-09,4.042074219118557e-06,1.1625600468174675e-06,0.000117263327103978,5.917094679442833e-08,0.017133955776621874,0.04276699196923931,0.016228933449701118
total_pause_duration,0.00014942080713575628,0.015830544602389956,2.3069443261600085e-05,6.038258802802203e-08,4.3315916489264946e-07,1.4288579537410766e-11,0.002033686525326021,0.012118433449615497,2.7697147123567434e-05
n_words,1.5135391050557181e-12,3.2224518796865145e-13,0.00018529717732249408,2.9571242143059406e-08,0.0002324918656988886,0.007841980478771434,0.07583366479089451,1.0,1.0
VERB,8.115409890354537e-08,2.0405540473447682e-18,0.2682434074900603,2.74585807810548e-06,9.965949315643717e-08,0.005673528568682553,0.005336536808820994,0.026307048837026684,1.0
brunets_index,7.613625169566347e-12,8.824674718252584e-11,0.1417879274623074,3.896050112107896e-06,0.010187639758077682,0.003987875578219034,0.17955212432769752,0.35631212067121043,1.0
aoa_nouns,1.4211600751596405e-06,3.935437545421555e-21,0.00014554020526997682,0.023236043680792438,1.6607710066325448e-08,1.0,1.0,0.09288490506376533,1.0
mattr_30,9.132871876457414e-11,1.2232744914218439e-10,5.255484303559134e-06,6.675090224157874e-05,9.772819362249836e-06,0.02385112797515365,1.0,0.8983684301490481,1.0
eGeMAPS_loudness_sma3_amean,1.7116669630676879e-09,5.964807529296547e-08,5.331981735792254e-05,7.374073220156412e-05,0.0013794162750541043,7.614831944571392e-05,1.0,1.0,1.0
ADP,1.1350252758526253e-13,7.0486868435393944e-12,1.0,3.3552920731912255e-05,3.781385893102628e-05,0.012739166083485073,0.2072784543317109,0.20663453705292678,1.0
avg_pause_duration,2.531528237773086e-06,3.6283346863296372e-12,0.5959392650257668,3.016744314729902e-05,4.266415554833204e-05,1.0,0.1076977965970722,0.055319714341592295,1.0
total_speech_duration,,2.817658534309664e-11,,,0.015108800422197319,,,1.0,
aoa_verbs,4.124806557892538e-05,0.00010319235143292048,0.2164171475767205,0.00030291332351585617,0.012928878707727413,1.0,1.644501727513424e-05,0.008715504506751135,0.5696301528446206
mattr_10,6.706560345770435e-10,1.0850870076285564e-07,2.1542494484439985e-05,0.029650688557181906,0.0006661761291965315,0.010053600823639187,1.0,1.0,1.0
freq_content,0.04842571327851597,2.1265817018974131e-07,0.004205159555780484,0.5672049851094378,0.0018523606726776939,0.0011874320638676124,0.00625774769613272,1.0,1.0
n_pauses,1.0,1.0,0.03489628636698137,0.002085458113039218,0.0004130958938816311,3.1303550721223634e-06,0.10902589229545989,0.16823956951166585,0.027244348614346287
article_pause_contentword,4.523363731109806e-05,1.9364232712292177e-06,,0.8484165819494771,0.29284027914082095,,1.0,1.0,
ttr,0.0018707679923459248,,,0.11201062400403523,,,1.0,,
OPEN/CLOSED,4.1588907218178636e-10,2.279946243353195e-05,1.0,0.0012847404237896589,0.7026920433293902,1.0,0.30620841539228455,1.0,1.0
average_word_length,0.45819804529546715,2.6646693233434006e-06,0.2682434074900603,0.01033759115662452,0.00442005918763916,1.0,1.0,1.0,1.0
NOUN/VERB,1.0,1.0,0.2682434074900603,0.06742910462033289,0.019630091561139228,1.3598940953116672e-05,0.26798233263143006,1.0,1.0
freq_nouns,0.0026431452943899013,0.000968701799687982,0.0009283353503495052,1.0,1.0,1.0,1.0,1.0,1.0
eGeMAPS_loudness_sma3_percentile20.0,1.0,1.0,1.0,0.036121107400860684,0.018354780782747725,0.13344718172828182,0.041517643810397103,0.14042022258322656,0.5363841889402341
ADJ,0.01933346303805013,0.005114984447997815,1.0,0.04133544745964285,0.1071944527838728,1.0,1.0,1.0,1.0
information_words,0.0047909231113723244,3.412035215549208e-06,1.0,0.4506574306498001,0.9639817609713803,1.0,1.0,1.0,1.0
honores_statistic,1.0,1.0,0.03186015101829041,1.0,0.12206123928671991,0.6122885484753308,1.0,1.0,1.0
PRON/NOUN,1.0,1.0,2.2484886327427224e-05,1.0,1.0,1.8958406210178312e-08,1.0,1.0,1.0
eGeMAPS_mfcc3_sma3_amean,0.004370147653334962,0.022878679803189576,0.0995663836105918,1.0,1.0,1.0,1.0,1.0,1.0
concr_content,1.0,0.2127438069004542,5.746425419991057e-05,1.0,1.0,0.0009592770844535299,1.0,1.0,1.0
PRON,1.0,1.0,2.0622107281697935e-08,1.0,1.0,0.0011874320638676124,1.0,1.0,1.0
DET,1.0,1.0,0.00343777861157044,1.0,1.0,0.005673528568682553,1.0,1.0,1.0
NOUN,1.0,1.0,0.7693086318193011,1.0,1.0,6.185713556789003e-05,1.0,1.0,1.0
eGeMAPS_F0semitoneFrom27.5Hz_sma3nz_percentile20.0,1.0,1.0,1.0,0.7636616851846281,0.8141166165360358,0.13659473842081707,1.0,1.0,1.0
eGeMAPS_F0semitoneFrom27.5Hz_sma3nz_percentile50.0,1.0,1.0,1.0,0.48228191843275586,0.3210854735984291,0.16414761468784753,1.0,1.0,1.0
filler_word_ratio,1.0,0.21101483392105666,0.019783576895323046,1.0,1.0,1.0,1.0,1.0,1.0
nid_ratio,1.0,1.0,0.042307002534194,0.05424381117338176,1.0,1.0,1.0,1.0,1.0
light_verb_ratio,1.0,0.4097776099926472,1.0,1.0,1.0,1.0,1.0,0.03353189517146957,1.0
freq_verbs,1.0,1.0,1.0,1.0,1.0,1.0,0.834534042117095,1.0,1.0
concr_nouns,1.0,1.0,0.002021321735388296,1.0,1.0,1.0,1.0,1.0,1.0
concr_verbs,1.0,0.5766515428914558,0.5655203309514044,1.0,1.0,0.2264354867044228,1.0,1.0,1.0
eGeMAPS_slopeV0-500_sma3nz_amean,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DET/NOUN,1.0,1.0,0.16033024026123152,1.0,1.0,1.0,1.0,1.0,1.0
SCONJ,1.0,,1.0,1.0,,1.0,1.0,,1.0
AUX/VERB,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
eGeMAPS_shimmerLocaldB_sma3nz_amean,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
eGeMAPS_mfcc3V_sma3nz_amean,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ADV,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AUX,1.0,1.0,1.0,1.0,1.0,0.37068014296542584,1.0,1.0,1.0
INTJ,,1.0,,,1.0,,,1.0,
PART,1.0,,1.0,1.0,,1.0,1.0,,1.0
eGeMAPS_logRelF0-H1-A3_sma3nz_amean,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CCONJ,1.0,1.0,0.6135414216035247,1.0,1.0,1.0,1.0,1.0,1.0
eGeMAPS_slopeUV0-500_sma3nz_amean,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
eGeMAPS_jitterLocal_sma3nz_amean,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
