score,PictureNamingScore,PictureNamingScore,PictureNamingScore,SemanticFluencyScore,SemanticFluencyScore,SemanticFluencyScore,PhonemicFluencyScore,PhonemicFluencyScore,PhonemicFluencyScore
task,cookieTheft,picnicScene,journaling,cookieTheft,picnicScene,journaling,cookieTheft,picnicScene,journaling
phonation_rate,0.3118473356829844,0.3366359142745681,0.2540663454162082,0.29811028439705645,0.29940313114948336,0.29816574397879864,0.1798252801348047,0.18398308167949828,0.1718713187163936
speech_rate_phonemes,0.2784435144064948,0.2681630258042448,0.1994517058951581,0.31688772533646825,0.31171954245694605,0.3113608266016067,0.2025255525804189,0.23206008399895162,0.20149542989553926
pause_word_ratio,-0.3441396009594271,,-0.25700846763053853,-0.2681195213751761,,-0.2786203999341782,-0.16281936917914744,,-0.1689432763999475
guirauds_statistic,0.32417642777886513,0.3839597279741756,0.2508097927632462,0.2956595050872879,0.2980523487658766,0.21643393996531393,0.1288787417580471,0.15405715686198923,0.09336215587361663
pause_rate,-0.2191807274437137,-0.2379722887231245,-0.2191773852544952,-0.2580866000850191,-0.26785017811430467,-0.24631147359023647,-0.15368830095801567,-0.15098943975390505,-0.11417879109617796
aoa_content,0.22163942597898822,0.3365721364926887,0.16637246750222232,0.20264002633381878,0.23146713869607358,0.07256789295206695,0.1418349473139655,0.14141446728568668,0.08777767296409834
eGeMAPS_F3amplitudeLogRelF0_sma3nz_stddevNorm,-0.23156119022496685,-0.20077602420136498,-0.17023544993688558,-0.17686960813239044,-0.14880174547380304,-0.19251576505183632,-0.11346687681238654,-0.10523009647005799,-0.11476417240004524
total_pause_duration,-0.1465844037881577,-0.11041520142207918,-0.15944563393833538,-0.19232888552621108,-0.18167030081364471,-0.23045180871112309,-0.1306354230300472,-0.11640970277771043,-0.15935054254585249
n_words,0.2392481208924333,0.2445676417520778,0.1457318173824682,0.19594652108005586,0.14420104879251527,0.11806724490909619,0.10005003339307444,0.06767157884094321,0.042909998165802585
VERB,-0.1900928151411156,-0.2866619938584073,-0.08169408049782989,-0.1720315279676314,-0.1893368131856496,-0.12105204617424561,-0.12311538516377504,-0.1098149918033425,0.005601444961013623
brunets_index,0.23268834884734385,0.22139408274580785,0.09017637860098454,0.169951099801964,0.11554003536280916,0.1239822713764413,0.09105445066821446,0.08321560276743961,0.07038338074300964
aoa_nouns,0.1749342615368978,0.3060534512225766,0.1474738102276971,0.10909995581648593,0.1982522530992594,0.047279486752227,0.04143306873786118,0.09774080994266895,0.058924696170725877
mattr_30,0.22214800801050244,0.21989266337870955,0.16862803958104536,0.1526766511033394,0.16434969952543166,0.10807802853941581,0.06426405053717972,0.07234254820270436,0.006965987251380871
eGeMAPS_loudness_sma3_amean,0.20870916314639515,0.1910175135874399,0.15416979887001014,0.151905873271463,0.13142372338795294,0.15207838360786252,0.06296857883757068,0.06457717420642738,0.056556049784688
ADP,0.2493298125810121,0.23212208218512637,0.055381912092235266,0.1570704655230008,0.15615978118297769,0.11365287278334761,0.08935163542412665,0.0892024399380555,0.00691250648436996
avg_pause_duration,-0.1716053120035459,-0.2348931320266758,-0.07115714081520466,-0.15785155832496917,-0.15528545854810805,-0.0648787325563557,-0.0965306417982031,-0.10273315732717922,-0.06647950423104143
total_speech_duration,,0.2263177343535896,,,0.111830329925682,,,0.035269378725887555,
