feature,r_PictureNamingScore,p_PictureNamingScore,r_SemanticFluencyScore,p_SemanticFluencyScore,r_PhonemicFluencyScore,p_PhonemicFluencyScore
n_words,0.23924812089243327,1.5135391050557181e-12,0.1959465210800559,2.9571242143059406e-08,0.10005003339307444,0.07583366479089451
ttr,-0.1288955712325457,0.0018707679923459248,-0.09304975550578812,0.11201062400403523,-0.048624453943351034,1.0
mattr_10,0.2130495891988139,6.706560345770103e-10,0.10675259786265207,0.029650688557181906,0.022884681498655645,1.0
mattr_30,0.22214800801050247,9.132871876457414e-11,0.15267665110333942,6.675090224157673e-05,0.06426405053717973,1.0
filler_word_ratio,0.06743386760849575,1.0,-0.03119909293435445,1.0,-0.05290163001492089,1.0
average_word_length,0.07773214600236833,0.45819804529546715,0.11608329331973655,0.010337591156624087,0.02254321260699279,1.0
brunets_index,0.23268834884734393,7.613625169566347e-12,0.16995109980196405,3.896050112107896e-06,0.09105445066821449,0.17955212432769752
honores_statistic,-0.03321681397349337,1.0,0.01593445011235026,1.0,0.04911326627748481,1.0
guirauds_statistic,0.32417642777886513,9.7142444270056e-24,0.29565950508728794,1.5319435011628168e-19,0.12887874175804706,0.0025338400547978406
light_verb_ratio,0.06176781628699472,1.0,0.011852287956515873,1.0,-0.005805953057120122,1.0
nid_ratio,-0.04043250330191724,1.0,-0.10055718378795762,0.05424381117338176,-0.0467703069430646,1.0
aoa_content,0.22163942597898825,1.0073482601834205e-10,0.20264002633381872,7.47381131749059e-09,0.14183494731396543,0.000418591632835875
aoa_nouns,0.1749342615368979,1.4211600751596405e-06,0.10909995581648592,0.023236043680792438,0.04143306873786119,1.0
aoa_verbs,0.1550797712088948,4.124806557892538e-05,0.14257317556092317,0.00030291332351585617,0.16244307798053978,1.644501727513459e-05
freq_content,-0.10104444321175965,0.04842571327851597,-0.07445690569431228,0.5672049851094378,-0.12172364114611327,0.00625774769613272
freq_nouns,-0.1261165106341152,0.0026431452943899013,-0.010972886072770398,1.0,-0.06666019329987508,1.0
freq_verbs,-0.01631231050262507,1.0,-0.013753349403968284,1.0,-0.07306792602049676,0.834534042117095
concr_content,0.01812547790193667,1.0,-0.016264789082348123,1.0,0.0239985715449048,1.0
concr_nouns,0.0009923989469494661,1.0,-0.01414293156279455,1.0,-0.004102212767260399,1.0
concr_verbs,0.02169778304711089,1.0,-0.032447446342919004,1.0,0.009545030701175383,1.0
ADJ,0.10946719467560187,0.01933346303805013,0.10330379746897876,0.04133544745964285,0.036863635957824374,1.0
ADP,0.24932981258101203,1.135025275852693e-13,0.15707046552300083,3.3552920731912255e-05,0.08935163542412662,0.2072784543317109
ADV,-0.05228545588950911,1.0,0.014750206488451894,1.0,0.012969716124467533,1.0
AUX,-0.005544526757505814,1.0,-0.025256134952450167,1.0,-0.0002634175964707971,1.0
CCONJ,-0.027526185577453798,1.0,-0.03521083037890944,1.0,-0.0015099838787526966,1.0
DET,-0.029970981789080597,1.0,0.03220167835541694,1.0,0.04500893343754211,1.0
NOUN,-0.06617486360301551,1.0,-0.015163441182952942,1.0,0.017966383191501407,1.0
PART,0.015582394707420795,1.0,-0.03172065887273558,1.0,-0.00873910904566539,1.0
PRON,0.02719890826599655,1.0,0.0073213596444674425,1.0,-0.03845450674469985,1.0
SCONJ,0.015369210153370633,1.0,0.03811737172925501,1.0,0.016879351842857934,1.0
VERB,-0.1900928151411156,8.115409890354537e-08,-0.17203152796763146,2.74585807810548e-06,-0.123115385163775,0.005336536808820994
NOUN/VERB,0.03135633148207763,1.0,0.0982469623296708,0.06742910462033289,0.0864289861031751,0.26798233263143006
PRON/NOUN,0.03624019162374458,1.0,-0.002488246558089031,1.0,-0.034738329303472364,1.0
DET/NOUN,0.03566611226929246,1.0,0.05371106084498519,1.0,0.03286213312011957,1.0
AUX/VERB,0.03481658226653705,1.0,0.04140823579340842,1.0,0.039819235927512506,1.0
OPEN/CLOSED,-0.21527422421474174,4.1588907218173663e-10,-0.13237988569426112,0.0012847404237896589,-0.08474473313938591,0.30620841539228455
information_words,-0.12111750152039977,0.0047909231113723244,-0.07792267292701578,0.4506574306498001,-0.03749656240091926,1.0
phonation_rate,0.3118473356829844,7.154123435575677e-22,0.2981102843970565,7.073085909877762e-20,0.1798252801348047,7.667438561305956e-07
speech_rate_phonemes,0.2784435144064948,3.143702840199403e-17,0.3168877253364683,1.3005409807357724e-22,0.2025255525804189,8.393653911364143e-09
n_pauses,-0.042642010801581136,1.0,-0.12866913544342448,0.002085458113039218,-0.0961925237478124,0.10902589229545989
total_pause_duration,-0.14658440378815765,0.00014942080713575628,-0.19232888552621105,6.038258802802203e-08,-0.1306354230300472,0.002033686525326021
avg_pause_duration,-0.1716053120035459,2.531528237773086e-06,-0.15785155832496914,3.016744314729902e-05,-0.09653064179820314,0.1076977965970722
pause_word_ratio,-0.34413960095942714,5.8866615987457946e-27,-0.26811952137517603,6.493883369019655e-16,-0.16281936917914736,1.5713882686441765e-05
pause_rate,-0.21918072744371364,1.7432801026369325e-10,-0.25808660008501916,1.068539476983044e-14,-0.1536883009580156,6.839292092507649e-05
eGeMAPS_jitterLocal_sma3nz_amean,-0.002169654479681841,1.0,0.011829403653497755,1.0,0.03536118782332873,1.0
eGeMAPS_shimmerLocaldB_sma3nz_amean,-0.0533002704247492,1.0,-0.012253499972412887,1.0,0.05408936308076309,1.0
article_pause_contentword,0.15435188282052975,4.523363731109806e-05,0.06863421349926818,0.8484165819494771,0.07049563465357563,1.0
eGeMAPS_F0semitoneFrom27.5Hz_sma3nz_percentile20.0,0.05819338095834241,1.0,0.07041301912606197,0.7636616851846281,-0.022248338790302618,1.0
eGeMAPS_F0semitoneFrom27.5Hz_sma3nz_percentile50.0,0.04603076372646193,1.0,0.07676161321624077,0.48228191843275586,-0.019659725212519626,1.0
eGeMAPS_F3amplitudeLogRelF0_sma3nz_stddevNorm,-0.23156119022496682,9.836614729262153e-12,-0.17686960813239047,1.1625600468174675e-06,-0.11346687681238656,0.017133955776621874
eGeMAPS_logRelF0-H1-A3_sma3nz_amean,-0.03693644049442656,1.0,0.012463403542946281,1.0,0.011287333149196747,1.0
eGeMAPS_loudness_sma3_amean,0.20870916314639507,1.7116669630676879e-09,0.15190587327146296,7.374073220156412e-05,0.06296857883757072,1.0
eGeMAPS_loudness_sma3_percentile20.0,0.03709370519177881,1.0,0.10476581029441417,0.036121107400860684,0.10570577851675994,0.041517643810397103
eGeMAPS_mfcc3_sma3_amean,0.1220590265864393,0.004370147653334903,0.052528100586872586,1.0,-0.009352450823620014,1.0
eGeMAPS_mfcc3V_sma3nz_amean,0.06358929109566598,1.0,0.014429398678813578,1.0,-0.018022705679138315,1.0
eGeMAPS_slopeUV0-500_sma3nz_amean,0.040628094271042824,1.0,0.007141335030544853,1.0,0.008536657640140638,1.0
eGeMAPS_slopeV0-500_sma3nz_amean,0.036758867293293904,1.0,0.05872552931876354,1.0,-0.03672933334950031,1.0
