feature,r_PictureNamingScore,r2_PictureNamingScore,p_PictureNamingScore,r_SemanticFluencyScore,r2_SemanticFluencyScore,p_SemanticFluencyScore,r_PhonemicFluencyScore,r2_PhonemicFluencyScore,p_PhonemicFluencyScore
n_words,0.10248085838190328,0.010502326334691716,0.042680550483967024,0.09148300432846111,0.008369140080961235,0.13109236783616782,0.04644036463195641,0.0021567074671490676,1.0
mattr_10,0.21278583628377426,0.045277812122985185,7.271482380993338e-10,0.10646222894482404,0.01133420619190013,0.030648190798866503,0.02274893578311044,0.0005175140792640826,1.0
mattr_30,0.221878239773915,0.049229953285170915,9.924956287193139e-11,0.15235734555143088,0.023212760743478115,7.02331485488103e-05,0.06410664601513492,0.004109662063309815,1.0
filler_word_ratio,0.06734119542480646,0.004534836601241974,1.0,-0.03130523638599815,0.0009800178251832224,1.0,-0.0529503770458509,0.0028037424292977737,1.0
avg_word_length,0.07813413547541977,0.00610494312649125,0.4424163458447697,0.11658986723300024,0.013593197141408624,0.009711577582877074,0.02281583804354448,0.0005205624656292515,1.0
brunets_index,0.23137743818312892,0.053535518900187644,1.0493618093424217e-11,0.17014033558517944,0.028947733793037476,3.767496104649195e-06,0.09105435056252298,0.008290894756362828,0.1795539086987611
honores_statistic,-0.033057158542816496,0.0010927757309249057,1.0,0.01614644402513905,0.00026070765465694855,1.0,0.04922369851582617,0.0024229724955769473,1.0
guirauds_statistic,0.32208787845730213,0.10374060144912584,2.0108866238885707e-23,0.29436201627934183,0.0866489966280395,2.3213151707155977e-19,0.12844259238736466,0.016497499539186708,0.002634178352623724
light_verb_ratio,0.06136174319932838,0.0037652635284603224,1.0,0.011328207995583749,0.0001283282963912076,1.0,-0.006067222921114209,3.681119397449364e-05,1.0
nid_ratio,-0.04051174361438037,0.0016412013706772887,1.0,-0.1006535284997542,0.010131132799450831,0.05368105343277608,-0.04681861141442074,0.0021919823747745277,1.0
aoa_content,0.22183316454693072,0.04920995289290564,9.924956287193139e-11,0.20340460694354484,0.04137343412585797,6.231169546176798e-09,0.14195719061219636,0.02015184396650745,0.00041106008549342976
aoa_nouns,0.17545496370450783,0.03078444428855016,1.2922021995603501e-06,0.11024945332658274,0.012154941958810346,0.020314604888008764,0.04205863029364052,0.0017689283821771362,1.0
