score,PictureNamingScore,PictureNamingScore,PictureNamingScore,SemanticFluencyScore,SemanticFluencyScore,SemanticFluencyScore,PhonemicFluencyScore,PhonemicFluencyScore,PhonemicFluencyScore
task,picnicScene,cookieTheft,journaling,picnicScene,cookieTheft,journaling,picnicScene,cookieTheft,journaling
phonation_rate,7.326219736830562e-26,7.02307704827913e-22,3.672855179260072e-14,3.7055234877175886e-20,7.128144338301193e-20,7.857372822282883e-20,3.071452165172613e-07,7.655083801362237e-07,3.3918301214051936e-06
pause_word_ratio,,5.7833868338555176e-27,1.683977318125474e-14,,6.493883369019655e-16,3.370606482376792e-17,,1.5713882686441765e-05,5.59425289543492e-06
guirauds_statistic,2.530580985933133e-33,2.0108866238885707e-23,1.2618320813341759e-13,2.0116474365820722e-19,2.3213151707155977e-19,6.101998566563157e-10,9.752478729196861e-05,0.002634178352623724,0.18289475423626567
speech_rate_phonemes,3.125814897851302e-14,2.2925186713813388e-07,8.16530825951026e-09,5.160851905486699e-19,8.756704720417776e-10,4.398562970628161e-21,1.153687139200942e-09,0.0014531321078346995,1.944000439775099e-08
pause_rate,1.7120394076603059e-12,1.7804953684496545e-10,2.1212446725347685e-10,5.697853268601619e-16,1.0674011687922758e-14,2.761124868247047e-13,9.752478729196861e-05,6.84125280419584e-05,0.017421763221648554
aoa_content,7.201436778653408e-26,9.924956287193139e-11,8.447758167330904e-06,1.0049759161017896e-11,6.231169546176798e-09,0.6368753660469286,0.0004667056336599966,0.00041106008549342976,0.29230944515860013
eGeMAPS_F3amplitudeLogRelF0_sma3nz_stddevNorm,8.026962611613236e-09,1.023007931843264e-11,4.124565529712964e-06,0.00011459825148798079,1.1625600468174675e-06,6.040367485264558e-08,0.041837274752516716,0.01676940352605545,0.016547147831067806
total_pause_duration,0.015319881873280605,0.00014942080713575628,2.4118054318945543e-05,4.241350156240526e-07,6.038258802802203e-08,1.4568747763635284e-11,0.011871118481255997,0.001993810318947079,2.8229784568251424e-05
VERB,1.7592281362294614e-18,7.57628904213754e-08,0.2877354339932335,6.975035451677607e-08,2.4324459700533507e-06,0.006070576725283332,0.022476875559791696,0.005032166508907147,1.0
