score,PictureNamingScore,PictureNamingScore,PictureNamingScore,SemanticFluencyScore,SemanticFluencyScore,SemanticFluencyScore,PhonemicFluencyScore,PhonemicFluencyScore,PhonemicFluencyScore
task,picnicScene,cookieTheft,journaling,picnicScene,cookieTheft,journaling,picnicScene,cookieTheft,journaling
phonation_rate,0.11332373877947431,0.09724901298579537,0.06454970787314808,0.08964223494211473,0.08885548371261269,0.08890281088243049,0.033849774344284926,0.032340223647546615,0.029539750197312142
pause_word_ratio,,0.11843206494851374,0.06605335243379754,,0.07188807774245348,0.07762932725948143,,0.02651014697989548,0.028541830640749083
guirauds_statistic,0.14358557839139838,0.10374060144912584,0.062185274879204964,0.08650744065057259,0.0866489966280395,0.045946218873804,0.02281199618253489,0.016497499539186708,0.008566217183470712
speech_rate_phonemes,0.0641915095967578,0.03414536749598847,0.041016717121402105,0.08474159967418943,0.0451571696910417,0.09423866362521524,0.04452568532926862,0.017705531419840357,0.039495085306798274
pause_rate,0.0566308102001221,0.04804005847546957,0.04803872620699744,0.0717437179158647,0.06661069365065882,0.060669342022193734,0.022797810917198125,0.02361954473588029,0.01303679633618465
aoa_content,0.11338845344650018,0.04920995289290564,0.02752236722633996,0.05336815151424614,0.04137343412585797,0.005228914621499291,0.019754583647253552,0.02015184396650745,0.007667171399058393
eGeMAPS_F3amplitudeLogRelF0_sma3nz_stddevNorm,0.04031101189410711,0.05362058481840327,0.028980108415213868,0.022141959456050447,0.031282858280905365,0.03706231979349383,0.011073373203097708,0.012874732133557306,0.013170815266667303
total_pause_duration,0.012191516705078316,0.021486987433929648,0.025422910181997632,0.03300409819772017,0.0369904002077544,0.05310803613822804,0.013551218900794889,0.017065613750239385,0.025392595409657534
VERB,0.08241200262538297,0.03631099048298103,0.006581382663822164,0.036489919359854434,0.02982731248359564,0.014573256669765248,0.01231428727984722,0.015229628877062737,3.1276549843205915e-05
brunets_index,0.048855895014117065,0.053535518900187644,0.008384858859074367,0.01338726619044034,0.028947733793037476,0.01541887400659693,0.00670563387979276,0.008290894756362828,0.00497607788264128
aoa_nouns,0.09371774089813559,0.03078444428855016,0.02164866888522978,0.03909643459788432,0.012154941958810346,0.0021899953010346127,0.009147045045257327,0.0017689283821771362,0.0034452054997033974
mattr_30,0.048263679010124655,0.049229953285170915,0.028407686595153855,0.02665675982076447,0.023212760743478115,0.011560290134611247,0.005109922627503191,0.004109662063309815,4.797441566998111e-05
eGeMAPS_loudness_sma3_amean,0.03648769049712778,0.04355951478126855,0.023768326883619382,0.017272195069153184,0.023075394334365763,0.023127834760780206,0.004170211428487266,0.003965041920823359,0.003198586767248108
ADP,0.054015215496523,0.06213191111347423,0.0030207423624877285,0.02465585468958429,0.024633304825230747,0.01297528533732524,0.007909432005638449,0.007973427555221442,5.5033507135980243e-05
avg_pause_duration,0.05517478347330135,0.029448383107834333,0.005063338688994871,0.02411357363649621,0.024917114465621133,0.004209249938119132,0.010554101614410945,0.009318164805973004,0.004419524482805056
aoa_verbs,0.02202406904273939,0.024213624213130357,0.007162760211151215,0.012833680213825622,0.020623674170295234,0.0023931311725784174,0.014471162917607206,0.0263664451576625,0.006309100049800804
mattr_10,0.035132878635323696,0.045277812122985185,0.025576953031137366,0.01840776654383714,0.01133420619190013,0.013350031733704611,0.004057283984066721,0.0005175140792640826,0.00022639692357478026
freq_content,0.03384625922284982,0.010293469601476138,0.014839152992029956,0.016663820125188133,0.00562739484314795,0.017646745060153513,0.0015244265015938838,0.014873327741141364,0.0044993048124131445
total_speech_duration,0.051219716882941975,,0.020180155228810105,0.012506022691286882,,0.008804158730040356,0.0012439290757100888,,0.0002204636448457545
n_words,0.04243020529032753,0.010502326334691716,0.020216835099348324,0.01539493592964086,0.008369140080961235,0.012503244436373094,0.0029808787820107094,0.0021567074671490676,0.0017456236718115792
n_pauses,0.00022899596692546674,0.0018183410852021622,0.010911027481997482,0.019655022808856844,0.016555746415758313,0.02939168849022716,0.008376324784029077,0.009253001624973452,0.012118071568865801
article_pause_contentword,0.02815146436247705,0.023660666026239993,,0.006395401908427057,0.004623511736803417,,0.0023755096663798506,0.004434129201205482,
