feature,r_PictureNamingScore,r2_PictureNamingScore,p_PictureNamingScore,r_SemanticFluencyScore,r2_SemanticFluencyScore,p_SemanticFluencyScore,r_PhonemicFluencyScore,r2_PhonemicFluencyScore,p_PhonemicFluencyScore
n_words,0.14218591737351602,0.020216835099348324,0.00032346754999626487,0.11181790749416255,0.012503244436373094,0.01631541775843549,0.041780661457324716,0.0017456236718115792,1.0
mattr_10,0.1599279620052021,0.025576953031137366,2.2745176823897328e-05,0.11554233740800214,0.013350031733704611,0.010998541657121831,0.015046492068744139,0.00022639692357478026,1.0
mattr_30,0.16854579969596944,0.028407686595153855,5.4428637508633595e-06,0.10751878968167028,0.011560290134611247,0.0261800632140607,0.00692635659419735,4.797441566998111e-05,1.0
filler_word_ratio,0.1096553165244694,0.012024288442081572,0.020454399315927546,-0.01830289003612966,0.0003349957836746544,1.0,0.008940849807934347,7.993879528803965e-05,1.0
avg_word_length,0.081813087877454,0.006693381348044011,0.28084514439213526,0.044494770545255004,0.0019797846058748924,1.0,0.0058624778949760295,3.436864706908258e-05,1.0
brunets_index,0.09156887494708214,0.008384858859074367,0.12355891520285525,0.12417275871380538,0.01541887400659693,0.003987230585710732,0.07054132039196091,0.00497607788264128,1.0
honores_statistic,0.10531482326430004,0.011091211999190753,0.03265636585479073,0.0734065760597317,0.005388525408813176,0.6034790643499388,0.055061145659050875,0.0030317297612872172,1.0
guirauds_statistic,0.24936975534175143,0.062185274879204964,1.2618320813341759e-13,0.2143506913303617,0.045946218873804,6.101998566563157e-10,0.09255386098629657,0.008566217183470712,0.18289475423626567
light_verb_ratio,-0.02002648085817218,0.00040105993556273665,1.0,-0.0028479474363129515,8.110804600001512e-06,1.0,-0.04434385020255974,0.0019663770507870573,1.0
nid_ratio,0.10240536346199912,0.010486858465784144,0.042453588857826664,0.004069097448982446,1.6557554049315447e-05,1.0,0.00900404196710394,8.107277174536898e-05,1.0
aoa_content,0.16589866553513913,0.02752236722633996,8.447758167330904e-06,0.07231123440724332,0.005228914621499291,0.6368753660469286,0.08756238575472,0.007667171399058393,0.29230944515860013
aoa_nouns,0.14713486631396985,0.02164866888522978,0.00015705322207037713,0.04679738562179102,0.0021899953010346127,1.0,0.0586958729358666,0.0034452054997033974,1.0
aoa_verbs,0.08463309170266212,0.007162760211151215,0.22483678511621288,0.04891963994735057,0.0023931311725784174,1.0,0.07942984357154938,0.006309100049800804,0.5920895152232709
freq_content,-0.12181606212659296,0.014839152992029956,0.0047495512644603515,-0.1328410518633209,0.017646745060153513,0.001299603060377684,-0.0670768575025183,0.0044993048124131445,1.0
freq_nouns,-0.13368716595163088,0.017872258340178894,0.0010474750914196691,-0.06580744912122578,0.00433062035984272,1.0,0.009765891627029977,9.537263927089422e-05,1.0
freq_verbs,-0.05142313134814829,0.0026443384376489115,1.0,-0.04213266419509399,0.001775161392176555,1.0,-0.05346155245706527,0.0028581375911195415,1.0
concr_content,0.1528312506775226,0.023357391183655752,6.603553454493387e-05,0.13464048038144785,0.018128058957347044,0.001033725238208086,0.031037458518121775,0.0009633238312641299,1.0
concr_nouns,0.1286489709146776,0.016550557717405566,0.002039783068428424,0.05597136667288567,0.003132793887230617,1.0,0.017637362482176774,0.0003110765553276969,1.0
concr_verbs,0.07137847950503226,0.0050948873364503105,0.6108067276863087,0.08437274628542682,0.007118760315745005,0.24679678947829725,0.019848508190183294,0.0003939632773757733,1.0
ADJ,-0.041466056613942634,0.0017194338511106956,1.0,-0.04075990277365555,0.0016613696741178533,1.0,-0.028369950154098884,0.0008048540717460553,1.0
