feature,r_PictureNamingScore,r2_PictureNamingScore,p_PictureNamingScore,r_SemanticFluencyScore,r2_SemanticFluencyScore,p_SemanticFluencyScore,r_PhonemicFluencyScore,r2_PhonemicFluencyScore,p_PhonemicFluencyScore
n_words,0.20598593469052087,0.04243020529032753,2.7011289193456624e-09,0.12407633106133038,0.01539493592964086,0.0035331512292189897,0.05459742468295285,0.0029808787820107094,1.0
mattr_10,0.1874376659994562,0.035132878635323696,1.1540507714830368e-07,0.13567522450262295,0.01840776654383714,0.0007772264808476046,0.06369681298202227,0.004057283984066721,1.0
mattr_30,0.21968996110456357,0.048263679010124655,1.2821388876176248e-10,0.1632689799709806,0.02665675982076447,1.1512753769440224e-05,0.07148372281508002,0.005109922627503191,0.939239113952381
filler_word_ratio,0.08532391863071415,0.007280171090500729,0.21218182111302272,-0.03747006650710268,0.0014040058840466983,1.0,0.006487192045430952,4.208366063430262e-05,1.0
avg_word_length,0.17031887441305804,0.029008518981331038,2.7039160709145683e-06,0.12167520091604218,0.014804854517959232,0.004702571862639515,0.04005705910325314,0.0016045679840015154,1.0
brunets_index,0.22103369655805213,0.048855895014117065,9.599262664459658e-11,0.115703354274802,0.01338726619044034,0.009715014632167313,0.0818879348853832,0.00670563387979276,0.39240785823670354
honores_statistic,0.05911617317005605,0.0034947219302720544,1.0,0.09144956609993894,0.008363023139867101,0.12104836005756184,0.06806594215528367,0.004632972481486422,1.0
guirauds_statistic,0.3789268773673865,0.14358557839139838,2.530580985933133e-33,0.2941214726105059,0.08650744065057259,2.0116474365820722e-19,0.15103640681151975,0.02281199618253489,9.752478729196861e-05
light_verb_ratio,0.07761803962132088,0.006024560074656939,0.3975651128712201,0.04919082841587906,0.002419737600240455,1.0,0.10742673044796591,0.011540502414739926,0.03328431314977244
nid_ratio,0.03442944336107466,0.001185386570153448,1.0,-0.03918117958699923,0.0015351648338286852,1.0,-0.012386747019400906,0.00015343150172263725,1.0
aoa_content,0.33673202022751,0.11338845344650018,7.201436778653408e-26,0.23101547894945512,0.05336815151424614,1.0049759161017896e-11,0.14055100016454367,0.019754583647253552,0.0004667056336599966
aoa_nouns,0.30613353442270186,0.09371774089813559,3.757321683121674e-21,0.19772818362055603,0.03909643459788432,1.8148047698137466e-08,0.09564018530543177,0.009147045045257327,0.11316227463487229
aoa_verbs,0.1484050842887109,0.02202406904273939,9.355769865134179e-05,0.11328583412689171,0.012833680213825622,0.012685233541896334,0.12029614672801123,0.014471162917607206,0.007433412544027669
freq_content,-0.18397352859270222,0.03384625922284982,2.2062312674096408e-07,-0.12908841979506966,0.016663820125188133,0.0018540547986715466,-0.03904390479439632,0.0015244265015938838,1.0
freq_nouns,-0.13223678208683268,0.017486566536680473,0.0009855802918566701,-0.062235451548829944,0.0038732514294867594,1.0,-0.06461446561598803,0.0041750291668397,1.0
freq_verbs,-0.055793730101767046,0.0031129403186688264,1.0,-0.03318567416358672,0.001101288969691747,1.0,0.03584511894922609,0.0012848725524841672,1.0
concr_content,0.08437838289029535,0.007119711499181287,0.22388044394863277,0.04539042054035252,0.002060290276830056,1.0,-0.012553602514606674,0.00015759293609473901,1.0
