feature,r_PictureNamingScore,p_PictureNamingScore,r_SemanticFluencyScore,p_SemanticFluencyScore,r_PhonemicFluencyScore,p_PhonemicFluencyScore
n_words,0.2445676417520778,3.2224518796865145e-13,0.14420104879251527,0.0002324918656988886,0.06767157884094321,1.0
mattr_10,0.187879753071041,1.0850870076286268e-07,0.1367503623572714,0.0006661761291965315,0.0643230574738531,1.0
mattr_30,0.2198926633787096,1.2232744914218439e-10,0.1643496995254316,9.772819362249836e-06,0.07234254820270439,0.8983684301490481
filler_word_ratio,0.08538238028243442,0.21101483392105666,-0.03712844562251289,1.0,0.006934468313576929,1.0
average_word_length,0.1704008608198721,2.6646693233434006e-06,0.12236040268171755,0.00442005918763916,0.040470977147411526,1.0
brunets_index,0.2213940827458079,8.824674718252584e-11,0.11554003536280914,0.010187639758077682,0.08321560276743957,0.35631212067121043
honores_statistic,0.05909125728921245,1.0,0.09169381894150869,0.12206123928671991,0.06834756773198081,1.0
guirauds_statistic,0.38395972797417555,2.782687260834891e-34,0.29805234876587683,5.651745227951827e-20,0.1540571568619893,6.131871342597692e-05
light_verb_ratio,0.07727053340783593,0.4097776099926472,0.048172635191920755,1.0,0.10754905082861492,0.03353189517146957
nid_ratio,0.03443674208292953,1.0,-0.03942284295464001,1.0,-0.012130996120518487,1.0
aoa_content,0.3365721364926885,7.648747598631248e-26,0.23146713869607363,9.17771887462184e-12,0.14141446728568663,0.0004188636958156595
aoa_nouns,0.30605345122257666,3.935437545421555e-21,0.19825225309925948,1.6607710066325448e-08,0.09774080994266895,0.09288490506376533
aoa_verbs,0.14796665750883198,0.00010319235143292048,0.11336150616863841,0.012928878707727413,0.1192033505469321,0.008715504506751135
freq_content,-0.18429882848361304,2.1265817018972435e-07,-0.12909512603353018,0.0018523606726776663,-0.03770501452174564,1.0
freq_nouns,-0.1325809274988655,0.0009687017996880114,-0.06037118391020438,1.0,-0.06097482134306814,1.0
freq_verbs,-0.05603695162081659,1.0,-0.03429176853205576,1.0,0.03604940285733949,1.0
concr_content,0.0849229990812043,0.2127438069004542,0.04549226908281463,1.0,-0.012257822848134037,1.0
concr_nouns,-0.06313828227218218,1.0,-0.0595284649164168,1.0,-0.031235726761616442,1.0
concr_verbs,0.07280087023314083,0.5766515428914558,0.02661335678882896,1.0,-0.03352115615584819,1.0
ADJ,0.11988600700335163,0.005114984447997815,0.0932941684854493,0.1071944527838728,0.05194190614985847,1.0
ADP,0.23212208218512637,7.0486868435393944e-12,0.15615978118297769,3.781385893102628e-05,0.0892024399380555,0.20663453705292678
ADV,-0.017127312095851895,1.0,0.0476976064631973,1.0,0.027361235900151194,1.0
AUX,-0.015312290406617178,1.0,-0.026204532734952837,1.0,0.020457793560719383,1.0
CCONJ,-0.0061665301133027005,1.0,-0.0393375986022606,1.0,-0.008619601276256175,1.0
DET,-0.031664826554679185,1.0,-0.033199000236232,1.0,-0.012394761239949854,1.0
