feature_1,feature_2,correlation
mattr_30,mattr_20,0.9625
mattr_40,mattr_30,0.9802
mattr_50,mattr_40,0.9859
speech_rate_words,speech_rate_phonemes,0.9709
long_pause_count,n_pauses,0.9664
pause_ratio,phonation_rate,-1.0
eGeMAPS_loudness_sma3_percentile80.0,eGeMAPS_loudness_sma3_amean,0.9689
eGeMAPS_loudness_sma3_pctlrange0-2,eGeMAPS_loudness_sma3_percentile80.0,0.9767
eGeMAPS_F1amplitudeLogRelF0_sma3nz_stddevNorm,eGeMAPS_F1amplitudeLogRelF0_sma3nz_amean,-0.9556
eGeMAPS_F2amplitudeLogRelF0_sma3nz_amean,eGeMAPS_F1amplitudeLogRelF0_sma3nz_amean,0.9747
eGeMAPS_F3amplitudeLogRelF0_sma3nz_amean,eGeMAPS_F1amplitudeLogRelF0_sma3nz_amean,0.9617
eGeMAPS_F3amplitudeLogRelF0_sma3nz_amean,eGeMAPS_F2amplitudeLogRelF0_sma3nz_amean,0.9945
eGeMAPS_F3amplitudeLogRelF0_sma3nz_stddevNorm,eGeMAPS_F2amplitudeLogRelF0_sma3nz_stddevNorm,0.9696
eGeMAPS_mfcc4V_sma3nz_amean,eGeMAPS_mfcc4_sma3_amean,0.9568
eGeMAPS_StddevVoicedSegmentLengthSec,eGeMAPS_MeanVoicedSegmentLengthSec,0.965
