feature_1,feature_2,correlation
mattr_30,mattr_20,0.9684
mattr_40,mattr_30,0.9838
mattr_50,mattr_30,0.9549
mattr_50,mattr_40,0.9892
brunets_index,ttr,-0.9566
speech_rate_words,speech_rate_phonemes,0.9666
long_pause_count,n_pauses,0.9718
pause_word_ratio,phonation_rate,-0.9611
pause_ratio,phonation_rate,-1.0
pause_ratio,pause_word_ratio,0.9611
eGeMAPS_loudness_sma3_percentile80.0,eGeMAPS_loudness_sma3_amean,0.9663
eGeMAPS_loudness_sma3_pctlrange0-2,eGeMAPS_loudness_sma3_percentile80.0,0.9734
eGeMAPS_F2amplitudeLogRelF0_sma3nz_amean,eGeMAPS_F1amplitudeLogRelF0_sma3nz_amean,0.9745
eGeMAPS_F3amplitudeLogRelF0_sma3nz_amean,eGeMAPS_F1amplitudeLogRelF0_sma3nz_amean,0.9602
eGeMAPS_F3amplitudeLogRelF0_sma3nz_amean,eGeMAPS_F2amplitudeLogRelF0_sma3nz_amean,0.9935
eGeMAPS_F3amplitudeLogRelF0_sma3nz_stddevNorm,eGeMAPS_F2amplitudeLogRelF0_sma3nz_stddevNorm,0.9641
eGeMAPS_mfcc3V_sma3nz_amean,eGeMAPS_mfcc3_sma3_amean,0.9511
eGeMAPS_mfcc4V_sma3nz_amean,eGeMAPS_mfcc4_sma3_amean,0.9622
