,missing_count,missing_percent,zero_count,zero_percent
filler_word_ratio,0,0.0,151,15.14543630892678
SCONJ,0,0.0,147,14.744232698094283
ADV,0,0.0,68,6.820461384152457
article_pause_contentword,0,0.0,66,6.619859578736209
PART,0,0.0,46,4.613841524573721
light_verb_ratio,0,0.0,45,4.513540621865597
ADJ,0,0.0,31,3.1093279839518555
CCONJ,0,0.0,18,1.8054162487462388
AUX,0,0.0,9,0.9027081243731194
PRON,0,0.0,9,0.9027081243731194
PRON/NOUN,0,0.0,9,0.9027081243731194
AUX/VERB,0,0.0,9,0.9027081243731194
nid_ratio,0,0.0,8,0.802407221664995
ADP,0,0.0,1,0.10030090270812438
n_pauses,0,0.0,1,0.10030090270812438
total_pause_duration,0,0.0,1,0.10030090270812438
avg_pause_duration,0,0.0,1,0.10030090270812438
pause_word_ratio,0,0.0,1,0.10030090270812438
pause_rate,0,0.0,1,0.10030090270812438
n_words,0,0.0,0,0.0
ttr,0,0.0,0,0.0
mattr_10,0,0.0,0,0.0
mattr_30,0,0.0,0,0.0
average_word_length,0,0.0,0,0.0
brunets_index,0,0.0,0,0.0
honores_statistic,0,0.0,0,0.0
guirauds_statistic,0,0.0,0,0.0
aoa_content,0,0.0,0,0.0
aoa_nouns,0,0.0,0,0.0
aoa_verbs,0,0.0,0,0.0
freq_content,0,0.0,0,0.0
freq_nouns,0,0.0,0,0.0
freq_verbs,0,0.0,0,0.0
concr_content,0,0.0,0,0.0
concr_nouns,0,0.0,0,0.0
concr_verbs,0,0.0,0,0.0
DET,0,0.0,0,0.0
NOUN,0,0.0,0,0.0
VERB,0,0.0,0,0.0
NOUN/VERB,0,0.0,0,0.0
DET/NOUN,0,0.0,0,0.0
OPEN/CLOSED,0,0.0,0,0.0
information_words,0,0.0,0,0.0
phonation_rate,0,0.0,0,0.0
speech_rate_phonemes,0,0.0,0,0.0
eGeMAPS_jitterLocal_sma3nz_amean,0,0.0,0,0.0
eGeMAPS_shimmerLocaldB_sma3nz_amean,0,0.0,0,0.0
