,missing_count,missing_percent,zero_count,zero_percent
mattr_50,36,3.6108324974924777,0,0.0
mattr_40,18,1.8054162487462388,0,0.0
mattr_30,5,0.5015045135406219,0,0.0
article_pause_contentword,1,0.10030090270812438,66,6.619859578736209
er_ratio,0,0.0,997,100.0
ah_ratio,0,0.0,993,99.5987963891675
OTHER,0,0.0,992,99.49849548645938
empty_word_ratio,0,0.0,934,93.68104312938816
PROPN,0,0.0,866,86.8605817452357
adjacent_repetitions,0,0.0,650,65.19558676028085
uh_ratio,0,0.0,485,48.64593781344032
um_ratio,0,0.0,373,37.412236710130394
NUM,0,0.0,327,32.79839518555667
INTJ,0,0.0,210,21.063189568706118
filler_word_ratio,0,0.0,151,15.14543630892678
SCONJ,0,0.0,147,14.744232698094283
ADV,0,0.0,68,6.820461384152457
PART,0,0.0,46,4.613841524573721
light_verb_ratio,0,0.0,45,4.513540621865597
ADJ,0,0.0,31,3.1093279839518555
CCONJ,0,0.0,18,1.8054162487462388
AUX,0,0.0,9,0.9027081243731194
PRON,0,0.0,9,0.9027081243731194
pronoun_noun_ratio,0,0.0,9,0.9027081243731194
aux_verb_ratio,0,0.0,9,0.9027081243731194
long_pause_count,0,0.0,9,0.9027081243731194
nid_ratio,0,0.0,8,0.802407221664995
ADP,0,0.0,1,0.10030090270812438
n_pauses,0,0.0,1,0.10030090270812438
total_pause_duration,0,0.0,1,0.10030090270812438
avg_pause_duration,0,0.0,1,0.10030090270812438
pause_word_ratio,0,0.0,1,0.10030090270812438
pause_ratio,0,0.0,1,0.10030090270812438
pause_rate,0,0.0,1,0.10030090270812438
n_words,0,0.0,0,0.0
ttr,0,0.0,0,0.0
mattr_10,0,0.0,0,0.0
mattr_20,0,0.0,0,0.0
avg_word_length,0,0.0,0,0.0
brunets_index,0,0.0,0,0.0
honores_statistic,0,0.0,0,0.0
guirauds_statistic,0,0.0,0,0.0
aoa_content,0,0.0,0,0.0
aoa_nouns,0,0.0,0,0.0
aoa_verbs,0,0.0,0,0.0
freq_content,0,0.0,0,0.0
freq_nouns,0,0.0,0,0.0
freq_verbs,0,0.0,0,0.0
concr_content,0,0.0,0,0.0
concr_nouns,0,0.0,0,0.0
concr_verbs,0,0.0,0,0.0
DET,0,0.0,0,0.0
NOUN,0,0.0,0,0.0
VERB,0,0.0,0,0.0
noun_verb_ratio,0,0.0,0,0.0
determiner_noun_ratio,0,0.0,0,0.0
content_density,0,0.0,0,0.0
information_words_ratio,0,0.0,0,0.0
phonation_rate,0,0.0,0,0.0
total_speech_duration,0,0.0,0,0.0
speech_rate_phonemes,0,0.0,0,0.0
speech_rate_words,0,0.0,0,0.0
eGeMAPS_F0semitoneFrom27.5Hz_sma3nz_percentile20.0,0,0.0,0,0.0
eGeMAPS_F0semitoneFrom27.5Hz_sma3nz_percentile50.0,0,0.0,0,0.0
eGeMAPS_loudness_sma3_amean,0,0.0,0,0.0
eGeMAPS_loudness_sma3_percentile20.0,0,0.0,0,0.0
eGeMAPS_mfcc3_sma3_amean,0,0.0,0,0.0
eGeMAPS_jitterLocal_sma3nz_amean,0,0.0,0,0.0
eGeMAPS_shimmerLocaldB_sma3nz_amean,0,0.0,0,0.0
eGeMAPS_logRelF0-H1-A3_sma3nz_amean,0,0.0,0,0.0
eGeMAPS_F3amplitudeLogRelF0_sma3nz_stddevNorm,0,0.0,0,0.0
eGeMAPS_slopeV0-500_sma3nz_amean,0,0.0,0,0.0
eGeMAPS_mfcc3V_sma3nz_amean,0,0.0,0,0.0
eGeMAPS_slopeUV0-500_sma3nz_amean,0,0.0,0,0.0
