,missing_count,missing_percent,zero_count,zero_percent
mattr_50,5,0.5035246727089627,0,0.0
mattr_40,3,0.3021148036253776,0,0.0
mattr_30,1,0.10070493454179255,0,0.0
er_ratio,0,0.0,992,99.8992950654582
ah_ratio,0,0.0,990,99.69788519637463
OTHER,0,0.0,966,97.2809667673716
empty_word_ratio,0,0.0,739,74.42094662638469
adjacent_repetitions,0,0.0,512,51.560926485397786
NUM,0,0.0,453,45.61933534743202
uh_ratio,0,0.0,398,40.080563947633436
PROPN,0,0.0,283,28.49949647532729
article_pause_contentword,0,0.0,252,25.377643504531722
um_ratio,0,0.0,219,22.054380664652566
INTJ,0,0.0,101,10.171198388721049
PART,0,0.0,87,8.761329305135952
filler_word_ratio,0,0.0,85,8.559919436052366
SCONJ,0,0.0,76,7.653575025176234
nid_ratio,0,0.0,47,4.733131923464249
CCONJ,0,0.0,12,1.2084592145015105
light_verb_ratio,0,0.0,5,0.5035246727089627
AUX,0,0.0,4,0.4028197381671702
aux_verb_ratio,0,0.0,4,0.4028197381671702
long_pause_count,0,0.0,4,0.4028197381671702
ADJ,0,0.0,2,0.2014098690835851
ADV,0,0.0,2,0.2014098690835851
n_pauses,0,0.0,2,0.2014098690835851
total_pause_duration,0,0.0,2,0.2014098690835851
avg_pause_duration,0,0.0,2,0.2014098690835851
pause_word_ratio,0,0.0,2,0.2014098690835851
pause_ratio,0,0.0,2,0.2014098690835851
pause_rate,0,0.0,2,0.2014098690835851
ADP,0,0.0,1,0.10070493454179255
n_words,0,0.0,0,0.0
ttr,0,0.0,0,0.0
mattr_10,0,0.0,0,0.0
mattr_20,0,0.0,0,0.0
avg_word_length,0,0.0,0,0.0
brunets_index,0,0.0,0,0.0
honores_statistic,0,0.0,0,0.0
guirauds_statistic,0,0.0,0,0.0
aoa_content,0,0.0,0,0.0
aoa_nouns,0,0.0,0,0.0
aoa_verbs,0,0.0,0,0.0
freq_content,0,0.0,0,0.0
freq_nouns,0,0.0,0,0.0
freq_verbs,0,0.0,0,0.0
concr_content,0,0.0,0,0.0
concr_nouns,0,0.0,0,0.0
concr_verbs,0,0.0,0,0.0
DET,0,0.0,0,0.0
NOUN,0,0.0,0,0.0
PRON,0,0.0,0,0.0
VERB,0,0.0,0,0.0
noun_verb_ratio,0,0.0,0,0.0
pronoun_noun_ratio,0,0.0,0,0.0
determiner_noun_ratio,0,0.0,0,0.0
content_density,0,0.0,0,0.0
information_words_ratio,0,0.0,0,0.0
phonation_rate,0,0.0,0,0.0
total_speech_duration,0,0.0,0,0.0
speech_rate_phonemes,0,0.0,0,0.0
speech_rate_words,0,0.0,0,0.0
eGeMAPS_F0semitoneFrom27.5Hz_sma3nz_percentile20.0,0,0.0,0,0.0
eGeMAPS_F0semitoneFrom27.5Hz_sma3nz_percentile50.0,0,0.0,0,0.0
eGeMAPS_loudness_sma3_amean,0,0.0,0,0.0
eGeMAPS_loudness_sma3_percentile20.0,0,0.0,0,0.0
eGeMAPS_mfcc3_sma3_amean,0,0.0,0,0.0
eGeMAPS_jitterLocal_sma3nz_amean,0,0.0,0,0.0
eGeMAPS_shimmerLocaldB_sma3nz_amean,0,0.0,0,0.0
eGeMAPS_logRelF0-H1-A3_sma3nz_amean,0,0.0,0,0.0
eGeMAPS_F3amplitudeLogRelF0_sma3nz_stddevNorm,0,0.0,0,0.0
eGeMAPS_slopeV0-500_sma3nz_amean,0,0.0,0,0.0
eGeMAPS_mfcc3V_sma3nz_amean,0,0.0,0,0.0
eGeMAPS_slopeUV0-500_sma3nz_amean,0,0.0,0,0.0
