,missing_count,missing_percent,zero_count,zero_percent
INTJ,0,0.0,173,17.282717282717282
filler_word_ratio,0,0.0,91,9.090909090909092
nid_ratio,0,0.0,84,8.391608391608392
article_pause_contentword,0,0.0,38,3.796203796203796
ADJ,0,0.0,36,3.5964035964035967
ADV,0,0.0,34,3.3966033966033966
light_verb_ratio,0,0.0,22,2.197802197802198
AUX,0,0.0,15,1.4985014985014986
AUX/VERB,0,0.0,15,1.4985014985014986
CCONJ,0,0.0,6,0.5994005994005994
PRON,0,0.0,2,0.1998001998001998
PRON/NOUN,0,0.0,2,0.1998001998001998
n_pauses,0,0.0,1,0.0999000999000999
avg_pause_duration,0,0.0,1,0.0999000999000999
pause_rate,0,0.0,1,0.0999000999000999
n_words,0,0.0,0,0.0
mattr_10,0,0.0,0,0.0
mattr_30,0,0.0,0,0.0
average_word_length,0,0.0,0,0.0
brunets_index,0,0.0,0,0.0
honores_statistic,0,0.0,0,0.0
guirauds_statistic,0,0.0,0,0.0
aoa_content,0,0.0,0,0.0
aoa_nouns,0,0.0,0,0.0
aoa_verbs,0,0.0,0,0.0
freq_content,0,0.0,0,0.0
freq_nouns,0,0.0,0,0.0
freq_verbs,0,0.0,0,0.0
concr_content,0,0.0,0,0.0
concr_nouns,0,0.0,0,0.0
concr_verbs,0,0.0,0,0.0
ADP,0,0.0,0,0.0
DET,0,0.0,0,0.0
NOUN,0,0.0,0,0.0
VERB,0,0.0,0,0.0
NOUN/VERB,0,0.0,0,0.0
DET/NOUN,0,0.0,0,0.0
OPEN/CLOSED,0,0.0,0,0.0
information_words,0,0.0,0,0.0
phonation_rate,0,0.0,0,0.0
total_speech_duration,0,0.0,0,0.0
speech_rate_phonemes,0,0.0,0,0.0
total_pause_duration,0,0.0,0,0.0
eGeMAPS_jitterLocal_sma3nz_amean,0,0.0,0,0.0
eGeMAPS_shimmerLocaldB_sma3nz_amean,0,0.0,0,0.0
