,missing_count,missing_percent,zero_count,zero_percent
mattr_50,4,0.3996003996003996,0,0.0
mattr_40,2,0.1998001998001998,0,0.0
article_pause_contentword,1,0.0999000999000999,39,3.896103896103896
er_ratio,0,0.0,1000,99.9000999000999
ah_ratio,0,0.0,999,99.80019980019979
OTHER,0,0.0,992,99.1008991008991
empty_word_ratio,0,0.0,937,93.6063936063936
PROPN,0,0.0,827,82.61738261738262
NUM,0,0.0,645,64.43556443556444
adjacent_repetitions,0,0.0,540,53.94605394605395
uh_ratio,0,0.0,445,44.455544455544455
PART,0,0.0,414,41.35864135864136
um_ratio,0,0.0,362,36.163836163836166
SCONJ,0,0.0,222,22.17782217782218
INTJ,0,0.0,173,17.282717282717282
filler_word_ratio,0,0.0,91,9.090909090909092
nid_ratio,0,0.0,84,8.391608391608392
ADJ,0,0.0,36,3.5964035964035967
ADV,0,0.0,34,3.3966033966033966
light_verb_ratio,0,0.0,22,2.197802197802198
AUX,0,0.0,15,1.4985014985014986
aux_verb_ratio,0,0.0,15,1.4985014985014986
CCONJ,0,0.0,6,0.5994005994005994
long_pause_count,0,0.0,3,0.2997002997002997
PRON,0,0.0,2,0.1998001998001998
pronoun_noun_ratio,0,0.0,2,0.1998001998001998
n_pauses,0,0.0,1,0.0999000999000999
avg_pause_duration,0,0.0,1,0.0999000999000999
pause_rate,0,0.0,1,0.0999000999000999
n_words,0,0.0,0,0.0
ttr,0,0.0,0,0.0
mattr_10,0,0.0,0,0.0
mattr_20,0,0.0,0,0.0
mattr_30,0,0.0,0,0.0
avg_word_length,0,0.0,0,0.0
brunets_index,0,0.0,0,0.0
honores_statistic,0,0.0,0,0.0
guirauds_statistic,0,0.0,0,0.0
aoa_content,0,0.0,0,0.0
aoa_nouns,0,0.0,0,0.0
aoa_verbs,0,0.0,0,0.0
freq_content,0,0.0,0,0.0
freq_nouns,0,0.0,0,0.0
freq_verbs,0,0.0,0,0.0
concr_content,0,0.0,0,0.0
concr_nouns,0,0.0,0,0.0
concr_verbs,0,0.0,0,0.0
ADP,0,0.0,0,0.0
DET,0,0.0,0,0.0
NOUN,0,0.0,0,0.0
VERB,0,0.0,0,0.0
noun_verb_ratio,0,0.0,0,0.0
determiner_noun_ratio,0,0.0,0,0.0
content_density,0,0.0,0,0.0
information_words_ratio,0,0.0,0,0.0
phonation_rate,0,0.0,0,0.0
total_speech_duration,0,0.0,0,0.0
speech_rate_phonemes,0,0.0,0,0.0
speech_rate_words,0,0.0,0,0.0
total_pause_duration,0,0.0,0,0.0
pause_word_ratio,0,0.0,0,0.0
pause_ratio,0,0.0,0,0.0
eGeMAPS_F0semitoneFrom27.5Hz_sma3nz_percentile20.0,0,0.0,0,0.0
eGeMAPS_F0semitoneFrom27.5Hz_sma3nz_percentile50.0,0,0.0,0,0.0
eGeMAPS_loudness_sma3_amean,0,0.0,0,0.0
eGeMAPS_loudness_sma3_percentile20.0,0,0.0,0,0.0
eGeMAPS_mfcc3_sma3_amean,0,0.0,0,0.0
eGeMAPS_jitterLocal_sma3nz_amean,0,0.0,0,0.0
eGeMAPS_shimmerLocaldB_sma3nz_amean,0,0.0,0,0.0
eGeMAPS_logRelF0-H1-A3_sma3nz_amean,0,0.0,0,0.0
eGeMAPS_F3amplitudeLogRelF0_sma3nz_stddevNorm,0,0.0,0,0.0
eGeMAPS_slopeV0-500_sma3nz_amean,0,0.0,0,0.0
eGeMAPS_mfcc3V_sma3nz_amean,0,0.0,0,0.0
eGeMAPS_slopeUV0-500_sma3nz_amean,0,0.0,0,0.0
