feature,n_outliers,percent_outliers
eGeMAPS_mfcc2_sma3_stddevNorm,226,22.55
eGeMAPS_mfcc2V_sma3nz_stddevNorm,225,22.46
eGeMAPS_logRelF0-H1-H2_sma3nz_stddevNorm,219,21.86
eGeMAPS_mfcc3V_sma3nz_stddevNorm,198,19.76
eGeMAPS_mfcc3_sma3_stddevNorm,177,17.66
eGeMAPS_HNRdBACF_sma3nz_stddevNorm,166,16.57
eGeMAPS_slopeV0-500_sma3nz_stddevNorm,132,13.17
PROPN,131,13.07
eGeMAPS_mfcc4_sma3_stddevNorm,129,12.87
eGeMAPS_mfcc4V_sma3nz_stddevNorm,123,12.28
total_speech_duration,105,10.48
eGeMAPS_F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,94,9.38
eGeMAPS_slopeV500-1500_sma3nz_stddevNorm,92,9.18
eGeMAPS_logRelF0-H1-A3_sma3nz_stddevNorm,76,7.58
brunets_index,75,7.49
eGeMAPS_alphaRatioV_sma3nz_stddevNorm,75,7.49
n_words,69,6.89
eGeMAPS_equivalentSoundLevel_dBp,67,6.69
empty_word_ratio,63,6.29
eGeMAPS_mfcc1V_sma3nz_stddevNorm,58,5.79
adjacent_repetitions,57,5.69
eGeMAPS_mfcc1_sma3_stddevNorm,57,5.69
pause_word_ratio,56,5.59
eGeMAPS_StddevUnvoicedSegmentLength,56,5.59
freq_nouns,56,5.59
uh_ratio,55,5.49
avg_pause_duration,52,5.19
eGeMAPS_MeanUnvoicedSegmentLength,50,4.99
eGeMAPS_spectralFluxV_sma3nz_amean,50,4.99
eGeMAPS_hammarbergIndexV_sma3nz_stddevNorm,48,4.79
img_verbs,47,4.69
eGeMAPS_spectralFlux_sma3_stddevNorm,46,4.59
eGeMAPS_loudness_sma3_stddevFallingSlope,44,4.39
img_nouns,44,4.39
eGeMAPS_spectralFluxUV_sma3nz_amean,44,4.39
eGeMAPS_StddevVoicedSegmentLengthSec,42,4.19
ttr,40,3.99
eGeMAPS_spectralFlux_sma3_amean,40,3.99
eGeMAPS_loudness_sma3_meanFallingSlope,39,3.89
fam_nouns,39,3.89
total_pause_duration,39,3.89
honores_statistic,38,3.79
um_ratio,38,3.79
OPEN/CLOSED,36,3.59
eGeMAPS_loudness_sma3_stddevNorm,36,3.59
eGeMAPS_loudness_sma3_stddevRisingSlope,36,3.59
short_pause_count,35,3.49
eGeMAPS_loudness_sma3_percentile80.0,34,3.39
eGeMAPS_spectralFluxV_sma3nz_stddevNorm,34,3.39
eGeMAPS_loudness_sma3_pctlrange0-2,33,3.29
