feature,n_outliers,percent_outliers
total_speech_duration,69,6.95
n_words,67,6.75
avg_pause_duration,62,6.24
pause_word_ratio,43,4.33
eGeMAPS_jitterLocal_sma3nz_amean,38,3.83
aux_verb_ratio,36,3.63
brunets_index,36,3.63
nid_ratio,32,3.22
content_density,30,3.02
eGeMAPS_shimmerLocaldB_sma3nz_amean,29,2.92
pronoun_noun_ratio,29,2.92
eGeMAPS_logRelF0-H1-A3_sma3nz_amean,28,2.82
total_pause_duration,28,2.82
honores_statistic,27,2.72
long_pause_count,26,2.62
eGeMAPS_loudness_sma3_percentile20.0,25,2.52
aoa_content,25,2.52
aoa_verbs,25,2.52
AUX,24,2.42
aoa_nouns,24,2.42
ttr,23,2.32
n_pauses,23,2.32
avg_word_length,23,2.32
noun_verb_ratio,22,2.22
ADP,21,2.11
freq_nouns,20,2.01
pause_ratio,20,2.01
phonation_rate,20,2.01
guirauds_statistic,20,2.01
eGeMAPS_F3amplitudeLogRelF0_sma3nz_stddevNorm,18,1.81
mattr_50,16,1.61
eGeMAPS_slopeUV0-500_sma3nz_amean,15,1.51
mattr_10,15,1.51
PRON,14,1.41
concr_nouns,14,1.41
determiner_noun_ratio,14,1.41
mattr_20,13,1.31
eGeMAPS_loudness_sma3_amean,13,1.31
PART,13,1.31
NOUN,13,1.31
eGeMAPS_mfcc3V_sma3nz_amean,12,1.21
DET,12,1.21
VERB,12,1.21
information_words_ratio,12,1.21
light_verb_ratio,12,1.21
concr_content,12,1.21
mattr_40,12,1.21
speech_rate_phonemes,12,1.21
ADJ,12,1.21
ADV,12,1.21
mattr_30,11,1.11
freq_content,11,1.11
INTJ,11,1.11
filler_word_ratio,11,1.11
eGeMAPS_mfcc3_sma3_amean,11,1.11
CCONJ,11,1.11
concr_verbs,10,1.01
speech_rate_words,10,1.01
freq_verbs,8,0.81
eGeMAPS_slopeV0-500_sma3nz_amean,7,0.7
SCONJ,6,0.6
eGeMAPS_F0semitoneFrom27.5Hz_sma3nz_percentile50.0,1,0.1
eGeMAPS_F0semitoneFrom27.5Hz_sma3nz_percentile20.0,0,0.0
pause_rate,0,0.0
