feature,n_outliers,percent_outliers
eGeMAPS_mfcc2V_sma3nz_stddevNorm,252,25.15
eGeMAPS_logRelF0-H1-H2_sma3nz_stddevNorm,238,23.75
eGeMAPS_mfcc2_sma3_stddevNorm,228,22.75
eGeMAPS_mfcc3V_sma3nz_stddevNorm,195,19.46
eGeMAPS_mfcc3_sma3_stddevNorm,182,18.16
PROPN,173,17.27
eGeMAPS_HNRdBACF_sma3nz_stddevNorm,165,16.47
eGeMAPS_slopeV0-500_sma3nz_stddevNorm,147,14.67
eGeMAPS_mfcc4V_sma3nz_stddevNorm,135,13.47
eGeMAPS_mfcc4_sma3_stddevNorm,135,13.47
eGeMAPS_F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,96,9.58
eGeMAPS_slopeV500-1500_sma3nz_stddevNorm,92,9.18
total_speech_duration,87,8.68
eGeMAPS_alphaRatioV_sma3nz_stddevNorm,79,7.88
eGeMAPS_logRelF0-H1-A3_sma3nz_stddevNorm,78,7.78
n_words,71,7.09
uh_ratio,65,6.49
eGeMAPS_equivalentSoundLevel_dBp,63,6.29
empty_word_ratio,63,6.29
adjacent_repetitions,58,5.79
avg_pause_duration,57,5.69
eGeMAPS_spectralFluxV_sma3nz_amean,57,5.69
pause_word_ratio,56,5.59
eGeMAPS_mfcc1_sma3_stddevNorm,55,5.49
short_pause_count,54,5.39
NUM,52,5.19
img_verbs,50,4.99
eGeMAPS_mfcc1V_sma3nz_stddevNorm,50,4.99
freq_nouns,48,4.79
brunets_index,48,4.79
total_pause_duration,47,4.69
eGeMAPS_StddevUnvoicedSegmentLength,47,4.69
fam_verbs,45,4.49
eGeMAPS_hammarbergIndexV_sma3nz_stddevNorm,45,4.49
eGeMAPS_MeanUnvoicedSegmentLength,41,4.09
eGeMAPS_spectralFluxUV_sma3nz_amean,38,3.79
eGeMAPS_StddevVoicedSegmentLengthSec,37,3.69
um_ratio,36,3.59
phonation_rate,36,3.59
pause_ratio,36,3.59
eGeMAPS_spectralFlux_sma3_stddevNorm,35,3.49
eGeMAPS_loudness_sma3_percentile20.0,34,3.39
guirauds_statistic,34,3.39
eGeMAPS_spectralFlux_sma3_amean,33,3.29
INFORMATION_WORDS,33,3.29
n_pauses,32,3.19
long_pause_count,30,2.99
OPEN/CLOSED,30,2.99
eGeMAPS_loudness_sma3_stddevFallingSlope,30,2.99
eGeMAPS_loudness_sma3_stddevNorm,29,2.89
eGeMAPS_loudness_sma3_meanFallingSlope,29,2.89
eGeMAPS_loudness_sma3_pctlrange0-2,28,2.79
eGeMAPS_MeanVoicedSegmentLengthSec,28,2.79
eGeMAPS_alphaRatioUV_sma3nz_amean,28,2.79
eGeMAPS_spectralFluxV_sma3nz_stddevNorm,28,2.79
nid_ratio,28,2.79
eGeMAPS_jitterLocal_sma3nz_amean,28,2.79
honores_statistic,27,2.69
DET/NOUN,27,2.69
fam_nouns,27,2.69
eGeMAPS_loudness_sma3_percentile80.0,27,2.69
NOUN/VERB,27,2.69
PRON/NOUN,27,2.69
eGeMAPS_mfcc1V_sma3nz_amean,27,2.69
eGeMAPS_logRelF0-H1-A3_sma3nz_amean,26,2.59
eGeMAPS_F0semitoneFrom27.5Hz_sma3nz_percentile80.0,25,2.5
AUX/VERB,25,2.5
eGeMAPS_F3amplitudeLogRelF0_sma3nz_amean,25,2.5
eGeMAPS_shimmerLocaldB_sma3nz_amean,25,2.5
eGeMAPS_F3amplitudeLogRelF0_sma3nz_stddevNorm,25,2.5
eGeMAPS_loudness_sma3_stddevRisingSlope,24,2.4
eGeMAPS_loudness_sma3_meanRisingSlope,24,2.4
eGeMAPS_alphaRatioV_sma3nz_amean,24,2.4
eGeMAPS_F2amplitudeLogRelF0_sma3nz_stddevNorm,24,2.4
eGeMAPS_loudness_sma3_amean,24,2.4
NOUN,24,2.4
eGeMAPS_hammarbergIndexV_sma3nz_amean,23,2.3
eGeMAPS_loudnessPeaksPerSec,23,2.3
eGeMAPS_mfcc2_sma3_amean,23,2.3
ADJ,22,2.2
eGeMAPS_F2amplitudeLogRelF0_sma3nz_amean,22,2.2
mattr_30,22,2.2
eGeMAPS_F1bandwidth_sma3nz_amean,22,2.2
INTJ,22,2.2
mattr_10,22,2.2
eGeMAPS_slopeUV500-1500_sma3nz_amean,22,2.2
SCONJ,21,2.1
speech_rate_phonemes,21,2.1
eGeMAPS_mfcc1_sma3_amean,21,2.1
VERB,21,2.1
eGeMAPS_F1amplitudeLogRelF0_sma3nz_stddevNorm,20,2.0
mattr_20,20,2.0
PRON,20,2.0
mattr_40,20,2.0
ttr,20,2.0
eGeMAPS_VoicedSegmentsPerSec,19,1.9
fam_content,19,1.9
eGeMAPS_F3bandwidth_sma3nz_amean,19,1.9
eGeMAPS_F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,19,1.9
img_nouns,19,1.9
speech_rate_words,18,1.8
eGeMAPS_F1amplitudeLogRelF0_sma3nz_amean,17,1.7
AUX,17,1.7
eGeMAPS_F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,17,1.7
eGeMAPS_F1bandwidth_sma3nz_stddevNorm,17,1.7
aoa_verbs,17,1.7
PART,16,1.6
eGeMAPS_hammarbergIndexUV_sma3nz_amean,16,1.6
mattr_50,16,1.6
eGeMAPS_F2frequency_sma3nz_amean,15,1.5
img_content,15,1.5
filler_word_ratio,15,1.5
eGeMAPS_F3bandwidth_sma3nz_stddevNorm,15,1.5
eGeMAPS_mfcc3_sma3_amean,15,1.5
eGeMAPS_logRelF0-H1-H2_sma3nz_amean,15,1.5
eGeMAPS_F1frequency_sma3nz_amean,14,1.4
average_word_length,13,1.3
eGeMAPS_mfcc2V_sma3nz_amean,13,1.3
aoa_nouns,13,1.3
concr_nouns,12,1.2
aoa_content,12,1.2
eGeMAPS_slopeUV0-500_sma3nz_amean,12,1.2
concr_content,11,1.1
DET,11,1.1
ADV,10,1.0
eGeMAPS_F3frequency_sma3nz_amean,10,1.0
eGeMAPS_shimmerLocaldB_sma3nz_stddevNorm,10,1.0
eGeMAPS_F2bandwidth_sma3nz_amean,10,1.0
