Feature,Mean_SHAP_Value
speech_rate_phonemes,0.23269835400107808
aoa_verbs,0.19130049930825865
aoa_content,0.14263705704180002
total_pause_duration,0.125621222199111
DET,0.1211701076678071
n_words,0.10134886228436517
pause_word_ratio,0.08455962880503734
eGeMAPS_shimmerLocaldB_sma3nz_amean,0.08119364662665414
filler_word_ratio,0.07588554893550728
guirauds_statistic,0.07296474925851801
phonation_rate,0.0720972879699745
freq_content,0.06984582433158325
pause_rate,0.061883997435353166
VERB,0.055281317740359916
brunets_index,0.053167456803003596
nid_ratio,0.05143769224783553
DET/NOUN,0.04878536154149966
NOUN/VERB,0.04695198910186705
avg_pause_duration,0.04596424075154952
NOUN,0.044939948880943194
ADP,0.0444614187982552
concr_verbs,0.04238723194627645
honores_statistic,0.04061619557405296
article_pause_contentword,0.03909210903441057
CCONJ,0.036252933809477556
concr_content,0.03613877829772856
eGeMAPS_jitterLocal_sma3nz_amean,0.035936107837241
SCONJ,0.03531904165201584
Age,0.03444555170060596
mattr_30,0.03388999931143103
PRON/NOUN,0.033733194727249186
freq_verbs,0.032987771526608325
n_pauses,0.032218406784387935
ADV,0.03200518757308516
OPEN/CLOSED,0.03173880207659582
freq_nouns,0.031218335079103005
PART,0.031095805355420007
img_nouns,0.030255402741252567
ttr,0.029794415549919344
PRON,0.029533555986699305
INFORMATION_WORDS,0.028885521766726447
concr_nouns,0.02813820148793326
AUX,0.02749437439090105
img_content,0.027244831995818224
fam_nouns,0.026877595858732308
ADJ,0.02640054573698947
light_verb_ratio,0.025965120636182094
AUX/VERB,0.024745104028546964
average_word_length,0.02420396650617808
Education,0.02401457162431454
mattr_10,0.02371944729635205
fam_content,0.022865811654157905
aoa_nouns,0.021634649852653325
short_pause_count,0.014245902867717793
Country,0.013945717601466692
Gender,0.010899936192315106
