Feature,Mean_SHAP_Value
speech_rate,0.38525229944796113
DET,0.2221135984484865
hesitation_ratio,0.18545986954366378
filler_word_ratio,0.1448084116626948
eGeMAPS_shimmerLocaldB_sma3nz_amean,0.14253292050274757
aoa_average,0.13420012851480112
VERB,0.1098037874824936
DET/NOUN,0.10483824623760195
n_words,0.10428746804656908
pause_ratio,0.10097288309455356
guirauds_statistic,0.09149876754374403
NUM,0.08911643191160852
CCONJ,0.08653976397288142
INTJ,0.08586681611851027
ADP,0.08546533136207775
honores_statistic,0.07617405305327735
articulation_rate,0.07462406536903714
PART,0.0680732641214464
NOUN/VERB,0.06636539709220854
Education,0.06568691143629149
eGeMAPS_jitterLocal_sma3nz_amean,0.06464032117142775
mattr,0.060984312852085984
Age,0.058015395189457315
concreteness_score,0.05753608106323881
avg_pause_duration,0.054668154492057384
SCONJ,0.052671820489821906
ttr,0.0508231450943445
average_word_length,0.04823183324210437
PRON,0.04803195906275137
brunets_index,0.04795239595287866
ADV,0.04786974307286317
n_pauses,0.04771097878804695
AUX,0.04703294374640808
NOUN,0.044791646461790006
AUX/VERB,0.04333096956301841
OPEN/CLOSED,0.04190316044154673
POS_ENTROPY,0.03775357440920436
PRON/NOUN,0.03639913968887839
ADJ,0.03522399787934834
LEXICAL_DENSITY,0.031178264688180305
PROPN,0.018456017724383187
Country,0.016780914517750236
Gender,0.016569326925052277
OTHER,2.6911089587002388e-05
