Method,Feature,Importance
Gini,guirauds_statistic,0.059461638281585016
Gini,speech_rate_phonemes,0.052173188761838366
Gini,aoa_content,0.04491687260328501
Gini,aoa_verbs,0.041605552540402935
Gini,aoa_nouns,0.041581500026161074
Gini,mattr_10,0.035793027796284356
Gini,ADP,0.03511756008876496
Gini,freq_nouns,0.0345572014352009
Gini,fam_nouns,0.031971923299997686
Gini,mattr_30,0.030119996605099668
Gini,pause_rate,0.028957143690254317
Gini,fam_content,0.02461465141879582
Gini,AUX,0.020681692769155012
Gini,DET/NOUN,0.020640001793509107
Gini,nid_ratio,0.018527579150942185
Gini,freq_content,0.018144454178380544
Gini,ADV,0.017863326265165035
Gini,n_words,0.016880371593047287
Gini,concr_verbs,0.016764968005710878
Gini,DET,0.016291406351108734
Gini,ADJ,0.015976334202574015
Gini,img_content,0.015707705491084353
Gini,AUX/VERB,0.015033671820027045
Gini,eGeMAPS_shimmerLocaldB_sma3nz_amean,0.01484183572522436
Gini,img_nouns,0.014594714094872525
Gini,VERB,0.014333905194600233
Gini,CCONJ,0.014093153924854007
Gini,total_pause_duration,0.014066254867714867
Gini,INFORMATION_WORDS,0.013913642940816009
Gini,filler_word_ratio,0.01352683021841336
Gini,SCONJ,0.013467065389371277
Gini,honores_statistic,0.013444320751156123
Gini,concr_nouns,0.013125608026930774
Gini,pause_word_ratio,0.012679400973880765
Gini,eGeMAPS_jitterLocal_sma3nz_amean,0.012466145219776141
Gini,OPEN/CLOSED,0.011846215516653233
Gini,freq_verbs,0.01182688420287613
Gini,avg_pause_duration,0.01157930853688788
Gini,light_verb_ratio,0.011274632134861268
Gini,concr_content,0.011187353620806861
Gini,PART,0.011067892653566207
Gini,phonation_rate,0.01105990578713634
Gini,NOUN/VERB,0.010240534524073135
Gini,average_word_length,0.010027099350031763
Gini,PRON,0.009490907888109978
Gini,Education,0.009013078204863596
Gini,article_pause_contentword,0.008987021979046427
Gini,ttr,0.008650007467619694
Gini,n_pauses,0.008441301510504574
Gini,NOUN,0.008353688552605647
Gini,PRON/NOUN,0.008069649003764789
Gini,brunets_index,0.00799332383424578
Gini,short_pause_count,0.007129835941975147
Gini,Gender,0.004224408730256658
Gini,Country,0.0016023050641302352
Permutation,guirauds_statistic,0.02697896830493322
Permutation,pause_rate,0.01816215523413686
Permutation,aoa_nouns,0.014369326053738007
Permutation,speech_rate_phonemes,0.012962472341607679
Permutation,ADP,0.011745314181498153
Permutation,aoa_verbs,0.010725966905445989
Permutation,freq_content,0.010217706738870633
Permutation,n_words,0.009881849558588422
Permutation,mattr_30,0.009133875420021604
Permutation,aoa_content,0.008755264833318996
Permutation,fam_content,0.0076735241113285975
Permutation,fam_nouns,0.006132926808259369
Permutation,freq_nouns,0.00602640426806524
Permutation,concr_content,0.004885939770464016
Permutation,ADV,0.004086885782516876
Permutation,freq_verbs,0.0031761096920349917
Permutation,ADJ,0.0027591730871781815
Permutation,CCONJ,0.0021587796714932607
Permutation,SCONJ,0.002117434550235864
Permutation,img_content,0.0018255665547068432
Permutation,img_nouns,0.0017177857683379227
Permutation,pause_word_ratio,0.0016253182815950608
Permutation,phonation_rate,0.0014290275044094147
Permutation,ttr,0.0014233450427887661
Permutation,article_pause_contentword,0.0013761640197235692
Permutation,eGeMAPS_shimmerLocaldB_sma3nz_amean,0.001341875637885359
Permutation,concr_verbs,0.0013233878854395863
Permutation,AUX,0.0013111519428764206
Permutation,honores_statistic,0.0013073018050294726
Permutation,DET/NOUN,0.0012808859181073881
Permutation,PRON,0.0011061843901005353
Permutation,brunets_index,0.0010477532993948889
Permutation,INFORMATION_WORDS,0.0009898843331937958
