Feature,Mean_SHAP_Value
guirauds_statistic,0.10313069793232711
n_words,0.10268780721778341
aoa_content,0.09123501744370725
speech_rate_phonemes,0.06100189961725153
pause_rate,0.060813725160650554
ADP,0.058004655497256405
fam_nouns,0.05618534168320955
freq_nouns,0.053290530591584534
aoa_nouns,0.052185620576878575
freq_content,0.05167906785866665
aoa_verbs,0.04914554896390679
mattr_10,0.04607894487531287
pause_word_ratio,0.04565588640130362
mattr_30,0.045162010834112094
phonation_rate,0.04200753361274177
concr_content,0.036946211990109265
ADJ,0.034211687210758845
DET/NOUN,0.033823316020286646
SCONJ,0.03245451784443654
fam_content,0.03156952493724355
brunets_index,0.030301596081098833
article_pause_contentword,0.02926082933638732
ADV,0.029240913237090327
concr_verbs,0.02703133057231974
INFORMATION_WORDS,0.026587236470887066
concr_nouns,0.024395017135140213
total_pause_duration,0.020753558659821644
OPEN/CLOSED,0.02002462696201077
filler_word_ratio,0.019999294047119198
freq_verbs,0.01921637557644089
img_content,0.01894893814159675
Education,0.018947132168641467
AUX/VERB,0.018839277373662932
img_nouns,0.018607043728936495
ttr,0.017988502963895453
AUX,0.017938550394874152
DET,0.01737709347493947
eGeMAPS_shimmerLocaldB_sma3nz_amean,0.016427117270324903
VERB,0.016209734125852367
PRON/NOUN,0.01582864514018941
CCONJ,0.015103886870883234
PART,0.014846899030074107
PRON,0.0141285312272154
average_word_length,0.014056728643342705
avg_pause_duration,0.013981453176860325
Gender,0.013780665278347076
honores_statistic,0.013546177791278279
light_verb_ratio,0.012879600356916186
Age,0.012580625605649006
NOUN,0.012241314435924947
n_pauses,0.011694199147728934
NOUN/VERB,0.011012952695654644
nid_ratio,0.010953392401036903
eGeMAPS_jitterLocal_sma3nz_amean,0.010234022205465399
short_pause_count,0.007427159039087023
Country,0.0048294531985896665
