Feature,Mean_SHAP_Value
guirauds_statistic,0.24034140533000523
ADP,0.10425270424388088
n_words,0.09910784070205911
SCONJ,0.07585871045502818
hesitation_ratio,0.07235443588932874
DET/NOUN,0.07075438112383063
pause_ratio,0.06788402447233195
aoa_average,0.0659402932959831
NUM,0.06359266027995325
concreteness_score,0.05720924059576752
mattr,0.05585090483867444
eGeMAPS_shimmerLocaldB_sma3nz_amean,0.0547935799033328
ADV,0.05381837176564531
ADJ,0.05093510829317302
CCONJ,0.050104335037880594
VERB,0.04701550146740412
Education,0.04534885526404601
n_pauses,0.04311437126305952
OPEN/CLOSED,0.04055122043944578
speech_rate,0.03947212102096017
PART,0.038141962935782946
DET,0.03798856851659063
ttr,0.03719363810510033
average_word_length,0.03707953754579051
articulation_rate,0.035447665470420366
LEXICAL_DENSITY,0.034933526498154205
AUX/VERB,0.03432818022499106
filler_word_ratio,0.030648248334664906
NOUN,0.028309762296096264
AUX,0.02825580040382505
honores_statistic,0.026846338417829903
PRON,0.0266473837257391
Gender,0.02651320439112774
eGeMAPS_jitterLocal_sma3nz_amean,0.026331577176409198
INTJ,0.0263260960457988
avg_pause_duration,0.025847931066706742
NOUN/VERB,0.024798744033230104
brunets_index,0.023346069886114845
POS_ENTROPY,0.023053578010227192
PRON/NOUN,0.02249625620276056
PROPN,0.01901273421942991
Country,0.005164205245652559
OTHER,0.0006539466608063275
