Method,Feature,Importance
Gini,speech_rate_phonemes,0.06659167976103089
Gini,aoa_content,0.04813377509619343
Gini,guirauds_statistic,0.046035870805439125
Gini,n_words,0.032833673115989975
Gini,pause_rate,0.025004487873658488
Gini,ADP,0.023249058182206135
Gini,nid_ratio,0.023099814547296687
Gini,PART,0.02150767427138021
Gini,CCONJ,0.02137201851100067
Gini,average_word_length,0.02134072637545689
Gini,eGeMAPS_shimmerLocaldB_sma3nz_amean,0.019790966332827876
Gini,aoa_verbs,0.019758385424620127
Gini,mattr_10,0.01961348748852431
Gini,phonation_rate,0.019255066291840546
Gini,concr_nouns,0.01907530020535942
Gini,pause_word_ratio,0.018946351663645288
Gini,fam_nouns,0.018651133215698223
Gini,total_pause_duration,0.01812289943341521
Gini,mattr_30,0.01786068470951414
Gini,avg_pause_duration,0.017560005669732544
Gini,DET,0.017380703550887056
Gini,ADJ,0.016721537630327125
Gini,OPEN/CLOSED,0.016688049581958693
Gini,ADV,0.01659902894967693
Gini,freq_content,0.01650185443014863
Gini,SCONJ,0.0164626643409246
Gini,NOUN,0.016403714480051297
Gini,img_content,0.01635947557177441
Gini,freq_nouns,0.016190780174834572
Gini,INFORMATION_WORDS,0.01618949214485893
Gini,aoa_nouns,0.01611734609293047
Gini,Country,0.016116630555121043
Gini,filler_word_ratio,0.01587189812843555
Gini,DET/NOUN,0.015859135269314605
Gini,VERB,0.015818325194244028
Gini,concr_verbs,0.01575976929331701
Gini,img_nouns,0.01524882021743364
Gini,fam_content,0.014799234460076399
Gini,honores_statistic,0.014732780093492562
Gini,eGeMAPS_jitterLocal_sma3nz_amean,0.014599133279199223
Gini,AUX/VERB,0.013785809282103226
Gini,PRON,0.013752732640792112
Gini,PRON/NOUN,0.013734618388869116
Gini,freq_verbs,0.01345782433955664
Gini,AUX,0.013261908389629424
Gini,NOUN/VERB,0.012874769811275177
Gini,short_pause_count,0.012211338575094988
Gini,concr_content,0.011428493659221705
Gini,ttr,0.011077032368635326
Gini,light_verb_ratio,0.01003334396879442
Gini,brunets_index,0.009920011683796024
Gini,n_pauses,0.009622628588951984
Gini,article_pause_contentword,0.007903811224298795
Gini,Education,0.006741378728976452
Gini,Gender,0.0019708659361677306
Permutation,speech_rate_phonemes,0.023767747081158926
Permutation,aoa_content,0.020352678376609007
Permutation,Country,0.01789337352258082
Permutation,guirauds_statistic,0.017093843124360755
Permutation,n_words,0.008700396872824834
Permutation,phonation_rate,0.005322859987106474
