Feature,Mean_SHAP_Value
speech_rate_phonemes,0.5878286783639569
aoa_content,0.38560426702148837
n_words,0.34888051200625714
guirauds_statistic,0.31401136544498964
Country,0.3016402170611241
phonation_rate,0.1836883739980723
pause_word_ratio,0.18310069119300454
DET,0.1597651685777578
pause_rate,0.13330650015975887
Age,0.12737287307585077
average_word_length,0.12088350152309507
total_pause_duration,0.11984890957501432
CCONJ,0.11557662116953012
mattr_30,0.10897433965949874
ADP,0.09625748947346208
concr_nouns,0.08979503870491837
freq_content,0.0877198634049113
mattr_10,0.08503779028399852
aoa_verbs,0.0814169967422237
PRON/NOUN,0.07991041625061102
NOUN,0.07780822328592206
avg_pause_duration,0.07460396031238636
fam_nouns,0.0719964730394824
NOUN/VERB,0.07130776715601592
filler_word_ratio,0.07065600130440974
PART,0.06357363035944497
ttr,0.060172983630484844
img_content,0.059688690871024755
SCONJ,0.05924298168063246
nid_ratio,0.0584427067793291
PRON,0.055091687926005356
img_nouns,0.05388967074914252
ADV,0.05131237465343787
DET/NOUN,0.0511350872093722
VERB,0.04899105292482447
aoa_nouns,0.04814480143841128
freq_nouns,0.04587477541144262
INFORMATION_WORDS,0.04437110744971423
OPEN/CLOSED,0.04377390069797826
Education,0.04222744001458206
brunets_index,0.03999228463991946
eGeMAPS_jitterLocal_sma3nz_amean,0.03939994257973299
fam_content,0.039242811661994115
eGeMAPS_shimmerLocaldB_sma3nz_amean,0.03875671565272629
concr_content,0.03817383194336472
ADJ,0.03809811851248732
concr_verbs,0.03605138290544485
AUX/VERB,0.03431570330646863
AUX,0.033714210750095334
n_pauses,0.0333329831197703
honores_statistic,0.03258766153097948
freq_verbs,0.03000301773177869
short_pause_count,0.029644241929014204
light_verb_ratio,0.023535206990120325
article_pause_contentword,0.023409769648797426
Gender,0.022079970444935575
