Feature,Mean_SHAP_Value
speech_rate,0.4079849176979067
n_words,0.40720657356733925
hesitation_ratio,0.40710752969325686
Country,0.33832098193934645
guirauds_statistic,0.2911442858516545
pause_ratio,0.2874590314432166
aoa_average,0.27079732066017814
average_word_length,0.24117212983614353
DET,0.1949173938095768
CCONJ,0.1803976172708133
ADP,0.16649980919521362
n_pauses,0.14298737234414288
avg_pause_duration,0.1328303642867781
mattr,0.13245009556772072
PRON/NOUN,0.10524252782002777
concreteness_score,0.09990127123655393
POS_ENTROPY,0.08970902078809007
NOUN/VERB,0.08790974266752807
NOUN,0.0876783213203519
articulation_rate,0.07855178654057272
PRON,0.07791115736423951
OPEN/CLOSED,0.07750234092139598
ADV,0.0771441620610756
VERB,0.07276235381428182
ttr,0.06966249499387153
SCONJ,0.06884469660678282
filler_word_ratio,0.06616502868416416
DET/NOUN,0.0646319749409841
Education,0.06289489943268822
PART,0.06238448339974317
brunets_index,0.05747960845420072
AUX,0.054317571171218874
eGeMAPS_shimmerLocaldB_sma3nz_amean,0.05369022884173569
NUM,0.05176795888628586
AUX/VERB,0.04913147435798688
honores_statistic,0.04892101929424186
ADJ,0.046738235095100424
INTJ,0.04616879980673836
eGeMAPS_jitterLocal_sma3nz_amean,0.0457657953533359
LEXICAL_DENSITY,0.042442332347325175
Gender,0.027037845743678474
PROPN,0.01772049060838475
OTHER,1.4380986789101447e-05
