Feature,Mean_SHAP_Value
speech_rate_phonemes,0.22798925733559228
total_pause_duration,0.17054150886624145
pause_word_ratio,0.14242631875293466
phonation_rate,0.12654069146680053
ADV,0.09494517677496866
SCONJ,0.08989988862205937
avg_pause_duration,0.08228474074555067
pause_rate,0.07633626875142495
n_words,0.07416436797564985
img_nouns,0.07267498423380397
honores_statistic,0.06840985174227486
AUX/VERB,0.061686476213110186
aoa_content,0.05755983772594277
average_word_length,0.05484238581222215
AUX,0.05419879165696652
INFORMATION_WORDS,0.05346860845205643
NOUN,0.05309349738692639
nid_ratio,0.05259839262094198
aoa_verbs,0.05259779419117488
fam_content,0.05194283612273095
freq_content,0.05098470030710521
concr_content,0.050755751090150104
short_pause_count,0.04867320702671493
n_pauses,0.04737545386524046
brunets_index,0.04736265433086278
freq_verbs,0.046693680210901214
concr_verbs,0.04461903798720134
fam_nouns,0.04284491084339386
guirauds_statistic,0.042447713460408494
eGeMAPS_shimmerLocaldB_sma3nz_amean,0.040932871142531184
NOUN/VERB,0.0397436584270056
CCONJ,0.039659470064627375
ADJ,0.03872713230373516
PART,0.037001410824163423
Education,0.03680160644226396
mattr_30,0.0362853643376216
filler_word_ratio,0.03563376121254515
freq_nouns,0.035551775025422463
aoa_nouns,0.03521856034862481
eGeMAPS_jitterLocal_sma3nz_amean,0.034724774793927334
light_verb_ratio,0.03464863069205028
PRON,0.034536225140999126
OPEN/CLOSED,0.03411621111014317
concr_nouns,0.03310577139547711
DET/NOUN,0.03307492584870993
Age,0.031622620025314505
ADP,0.02848444745159565
VERB,0.026835488674849455
DET,0.025903557936041665
img_content,0.0257703249842796
PRON/NOUN,0.02256010930425172
mattr_10,0.019733944686496516
Country,0.014530969144762413
Gender,0.004936270611059165
