Feature,Mean_SHAP_Value
pause_rate,0.09166254411538596
PRON,0.08209147838079404
PRON/NOUN,0.07259878084907823
pause_word_ratio,0.06541369867494531
guirauds_statistic,0.06387257179181995
honores_statistic,0.06231366129052584
phonation_rate,0.06218448350547842
aoa_content,0.0604323798812853
speech_rate_phonemes,0.05676437798848394
aoa_nouns,0.05579975764179026
concr_content,0.05157226354953338
DET,0.042325994973486866
n_pauses,0.04082140908325675
concr_nouns,0.03997751380755924
NOUN/VERB,0.03767615319017958
total_pause_duration,0.036353542445338775
filler_word_ratio,0.036006353573415514
mattr_10,0.03273824276531535
mattr_30,0.032124298580904084
freq_nouns,0.024528505104959582
Education,0.024128339337673128
n_words,0.021692122936089537
eGeMAPS_shimmerLocaldB_sma3nz_amean,0.02050687728736952
NOUN,0.020351243682560152
average_word_length,0.020319251631954485
DET/NOUN,0.02016337616195956
CCONJ,0.019498006585348074
OPEN/CLOSED,0.019408409594467126
AUX,0.01907432488749861
nid_ratio,0.018877922612908188
ADV,0.018471586021966212
fam_content,0.01838137569329977
img_nouns,0.017828549507429063
VERB,0.017698483166120958
short_pause_count,0.017388395648497187
PART,0.017360098400763562
freq_content,0.017303438713644023
img_content,0.016901577730643925
INFORMATION_WORDS,0.016590197749837273
concr_verbs,0.01650057334289553
aoa_verbs,0.016361693103538227
ADP,0.015579894357753761
eGeMAPS_jitterLocal_sma3nz_amean,0.014853097456034702
fam_nouns,0.014563458232541893
SCONJ,0.0131414818181527
brunets_index,0.012829590146052327
light_verb_ratio,0.012702968030687413
Age,0.012605519479443448
freq_verbs,0.011377454341246604
avg_pause_duration,0.01069970186568419
AUX/VERB,0.009711022914922702
ADJ,0.008694991528819909
Gender,0.0070019918056783625
Country,0.0036774657358674876
