Feature,Mean_SHAP_Value
speech_rate_phonemes,0.8192843684163081
light_verb_ratio,0.1602198781869628
average_word_length,0.15797071710828822
aoa_verbs,0.1341519616625574
aoa_content,0.11430779879033355
honores_statistic,0.10290882627714602
n_words,0.09806603245802971
guirauds_statistic,0.0962156180322644
img_verbs,0.08578483735269479
AUX,0.08104829004913183
CCONJ,0.07336582545202852
img_nouns,0.07336567483444133
NOUN,0.07037916469122683
concr_content,0.06576900265279317
img_content,0.062083275697532456
freq_verbs,0.06097472557601439
DET/NOUN,0.06008246576676271
total_pause_duration,0.05861958092855684
fam_nouns,0.05810549337996191
freq_nouns,0.05523127453084005
ADP,0.053458517300265684
filler_word_ratio,0.0513794568428531
ADJ,0.04955594162816036
total_speech_duration,0.04842113322732705
fam_verbs,0.04815234405365051
freq_content,0.047096644550161694
mattr_10,0.04617120262511904
avg_pause_duration,0.04581535579668842
fam_content,0.04576560423244352
concr_nouns,0.045391017757411195
INFORMATION_WORDS,0.04513771046830216
DET,0.04470600790876966
aoa_nouns,0.04467358289027417
eGeMAPS_shimmerLocaldB_sma3nz_amean,0.044092485644428026
nid_ratio,0.04142379566185241
eGeMAPS_jitterLocal_sma3nz_amean,0.04082478853083468
INTJ,0.04049984278221922
concr_verbs,0.040336168614233385
ADV,0.03783781535739116
pause_rate,0.03694461896225983
AUX/VERB,0.03672132351015594
brunets_index,0.03588134094402958
phonation_rate,0.03500071526734991
PRON/NOUN,0.03493033099204495
Age,0.03447128756041797
VERB,0.03200730294935607
PRON,0.0302736057810773
mattr_30,0.029854341782044182
OPEN/CLOSED,0.028291819906920312
NOUN/VERB,0.027257088143688643
Education,0.026493631299102
n_pauses,0.01978751500433886
short_pause_count,0.01849538119900125
Gender,0.008622357480408738
Country,0.0075134734506690955
