Feature,Mean_SHAP_Value
guirauds_statistic,0.20337385634586777
aoa_content,0.1564796165029639
aoa_nouns,0.1536813091957952
total_speech_duration,0.13225751154245752
n_words,0.0857411196369819
pause_rate,0.07315581079840984
concr_verbs,0.058396174188575685
phonation_rate,0.05693919528498937
ADP,0.0462740639368108
VERB,0.0450445138605141
speech_rate_phonemes,0.043635333208750016
aoa_verbs,0.04072520118249216
concr_content,0.04051371100048049
honores_statistic,0.03665134747143099
mattr_30,0.03547691545878103
NOUN/VERB,0.03475815996345418
freq_content,0.034454504383501984
ADJ,0.03398005696836283
DET,0.03146344567696966
nid_ratio,0.03023154197099767
NOUN,0.02922340510549655
ADV,0.027916017143932822
avg_pause_duration,0.027752044276927897
mattr_10,0.025480542728391998
AUX/VERB,0.024834867768257534
freq_nouns,0.02360035607707408
article_pause_contentword,0.02264592105235129
CCONJ,0.02249844742167931
AUX,0.02178866498801342
DET/NOUN,0.020948041312183516
information_words,0.020175476934749394
brunets_index,0.01810339839575382
filler_word_ratio,0.017964099232804454
PRON,0.01783213063615395
total_pause_duration,0.01755379376651903
PRON/NOUN,0.016682240039243533
average_word_length,0.016428281019125725
concr_nouns,0.01584208242408276
light_verb_ratio,0.015114528574458582
Age,0.014183359128763772
Education_group_code,0.013468969372634646
eGeMAPS_jitterLocal_sma3nz_amean,0.013464930352356103
OPEN/CLOSED,0.013194775979286708
INTJ,0.012923895828718822
freq_verbs,0.012336901482495851
n_pauses,0.012047820747276788
eGeMAPS_shimmerLocaldB_sma3nz_amean,0.011628741192997288
Gender,0.007333293638599433
Country,0.0033283803382587454
