Feature,Mean_SHAP_Value
guirauds_statistic,0.3990504901451717
speech_rate_phonemes,0.38930004453902994
n_words,0.2418608952882557
total_pause_duration,0.22189441861942227
Country,0.19104190797937878
phonation_rate,0.18820055523274862
pause_rate,0.18168819788107554
aoa_content,0.17839934298211246
CCONJ,0.12771617479589337
aoa_nouns,0.12360299475532026
honores_statistic,0.10887798069104171
total_speech_duration,0.10046608647628857
n_pauses,0.09889258402254711
img_content,0.09720382632757492
NOUN,0.09368615506507953
Age,0.08555955956961027
filler_word_ratio,0.0797415730135083
NOUN/VERB,0.07615686510871411
ADP,0.0742731698005786
VERB,0.06796297842798515
fam_verbs,0.06480510781026132
DET,0.06211028087409937
mattr_30,0.060137559508579574
concr_content,0.05984679504113101
nid_ratio,0.059528685603832183
INTJ,0.059237399201141565
aoa_verbs,0.05671841849559479
DET/NOUN,0.055094327097368556
AUX,0.051654820884454423
concr_verbs,0.05007873728704616
fam_nouns,0.04897348033025922
freq_content,0.0460425925244232
img_verbs,0.0456198819199479
INFORMATION_WORDS,0.045328174714959035
ADV,0.0453015294529843
average_word_length,0.04445451818335018
Education,0.04248672713065845
brunets_index,0.04141505605971849
ADJ,0.040631670990975935
eGeMAPS_shimmerLocaldB_sma3nz_amean,0.038445566666230384
AUX/VERB,0.03721026601854381
light_verb_ratio,0.03639860408773328
fam_content,0.03522931016767952
mattr_10,0.033953944078159874
img_nouns,0.03384047867385754
eGeMAPS_jitterLocal_sma3nz_amean,0.03140155772561128
avg_pause_duration,0.03122511359962492
concr_nouns,0.028814556671642965
OPEN/CLOSED,0.02750051978000244
PRON/NOUN,0.02750050371554649
freq_nouns,0.026635161312533923
Gender,0.026189461352889975
freq_verbs,0.025112670821024717
short_pause_count,0.024455968915693013
PRON,0.020537562363409756
