Score,PictureNamingScore,PictureNamingScore,PictureNamingScore,SemanticFluencyScore,SemanticFluencyScore,SemanticFluencyScore,PhonemicFluencyScore,PhonemicFluencyScore,PhonemicFluencyScore
Task,cookieTheft,picnicScene,journaling,cookieTheft,picnicScene,journaling,cookieTheft,picnicScene,journaling
speech_rate_phonemes,0.053,0.041,0.050,0.322,0.432,0.407,0.204,0.336,0.266
guirauds_statistic,0.104,0.172,0.082,0.233,0.342,0.142,0.071,0.107,0.047
n_words,0.096,0.089,0.029,0.290,0.247,0.131,0.098,0.116,0.067
aoa_content,0.084,0.140,0.103,0.237,0.225,0.033,0.128,0.091,0.096
pause_word_ratio,0.054,,0.067,0.223,,0.243,0.089,,0.079
phonation_rate,0.048,0.051,0.065,0.215,0.208,0.244,0.079,0.070,0.072
total_pause_duration,0.017,0.011,0.032,0.136,0.215,0.213,0.103,0.109,0.178
pause_rate,0.057,0.061,0.064,0.134,0.181,0.132,0.059,0.075,0.043
total_speech_duration,,0.118,,,0.099,,,0.040,
Country,0.005,0.003,0.005,0.189,0.167,0.175,0.014,0.015,0.025
aoa_verbs,0.041,0.036,0.019,0.078,0.051,0.039,0.181,0.090,0.057
aoa_nouns,0.055,0.146,0.058,0.038,0.126,0.029,0.020,0.036,0.028
NOUN/VERB,0.010,0.032,0.029,0.067,0.083,0.172,0.039,0.026,0.055
freq_content,0.042,0.032,0.021,0.067,0.070,0.142,0.058,0.027,0.054
DET,0.017,0.025,0.039,0.102,0.055,0.062,0.126,0.039,0.025
eGeMAPS_F3amplitudeLogRelF0_sma3nz_stddevNorm,0.042,0.023,0.032,0.061,0.045,0.075,0.069,0.059,0.065
ADP,0.076,0.043,0.011,0.090,0.075,0.056,0.039,0.044,0.026
honores_statistic,0.011,0.033,0.057,0.031,0.091,0.061,0.036,0.054,0.069
NOUN,0.011,0.022,0.012,0.066,0.074,0.115,0.026,0.055,0.048
concr_content,0.036,0.030,0.065,0.032,0.068,0.086,0.036,0.035,0.040
n_pauses,0.008,0.007,0.029,0.050,0.094,0.108,0.027,0.044,0.041
mattr_30,0.036,0.033,0.030,0.093,0.082,0.045,0.032,0.021,0.031
VERB,0.022,0.045,0.018,0.051,0.088,0.066,0.050,0.038,0.025
PRON/NOUN,0.012,0.015,0.072,0.063,0.022,0.136,0.026,0.029,0.027
filler_word_ratio,0.021,0.013,0.038,0.055,0.068,0.049,0.075,0.043,0.036
SCONJ,0.032,,0.026,0.036,,0.044,0.031,,0.085
CCONJ,0.015,0.020,0.022,0.080,0.104,0.023,0.033,0.049,0.027
Age,0.010,0.012,0.012,0.090,0.071,0.089,0.029,0.022,0.028
mattr_10,0.038,0.020,0.037,0.060,0.044,0.087,0.019,0.022,0.017
brunets_index,0.024,0.017,0.015,0.069,0.044,0.054,0.047,0.029,0.042
