Feature,Mean_SHAP_Value
guirauds_statistic,0.172256489954226
aoa_nouns,0.14561621315151874
aoa_content,0.13981001858141295
total_speech_duration,0.11765158610611849
n_words,0.089278443516438
pause_rate,0.06134209688658452
phonation_rate,0.050840816966870046
concr_verbs,0.04678085535736747
VERB,0.04493460475924432
ADP,0.04262525164684307
speech_rate_phonemes,0.040786991844907625
aoa_verbs,0.035794995478241276
eGeMAPS_loudness_sma3_amean,0.03495407412413155
mattr_30,0.033335486884531966
honores_statistic,0.032918099604213796
NOUN/VERB,0.032300908191752575
freq_content,0.03195716199760471
ADJ,0.030595835687709853
concr_content,0.029725395715742037
eGeMAPS_loudness_sma3_percentile20.0,0.028126325119074067
DET,0.024927062300072165
avg_pause_duration,0.024063284852629173
nid_ratio,0.023864516425218623
eGeMAPS_F3amplitudeLogRelF0_sma3nz_stddevNorm,0.022869859592471745
NOUN,0.022221471215248114
eGeMAPS_mfcc3V_sma3nz_amean,0.02122198670398275
ADV,0.021152737573488067
AUX/VERB,0.020001419689610556
mattr_10,0.01991857326023485
article_pause_contentword,0.019641552260892942
CCONJ,0.019589675104479443
freq_nouns,0.0187823486037987
AUX,0.01820662924664815
eGeMAPS_slopeV0-500_sma3nz_amean,0.017945570560481933
brunets_index,0.017414157677822905
eGeMAPS_mfcc3_sma3_amean,0.01631213221770891
average_word_length,0.016106995054901003
eGeMAPS_slopeUV0-500_sma3nz_amean,0.016095317358175168
PRON/NOUN,0.014947086502417906
information_words,0.014747902039260114
DET/NOUN,0.013437386430634232
eGeMAPS_logRelF0-H1-A3_sma3nz_amean,0.013408138774970145
eGeMAPS_F0semitoneFrom27.5Hz_sma3nz_percentile50.0,0.01339620120504163
filler_word_ratio,0.013131541197656721
eGeMAPS_F0semitoneFrom27.5Hz_sma3nz_percentile20.0,0.012994616323222593
PRON,0.012907438378786681
Age,0.011610660193420585
Education_level,0.011526697730961271
concr_nouns,0.011224193928463777
total_pause_duration,0.011067278215397899
light_verb_ratio,0.011033818036015663
freq_verbs,0.010942683780983845
INTJ,0.010160480760806046
OPEN/CLOSED,0.009695149392921137
eGeMAPS_jitterLocal_sma3nz_amean,0.009609374644799813
eGeMAPS_shimmerLocaldB_sma3nz_amean,0.00777534268833605
n_pauses,0.007435499541398953
Gender,0.005276859383453544
Socioeconomic,0.00490301698478718
Country,0.002998335919555373
