Feature,Mean_SHAP_Value
speech_rate_phonemes,0.4319781526069102
guirauds_statistic,0.3420389350327021
n_words,0.2465359701982249
aoa_content,0.22523541419600984
total_pause_duration,0.2154789423472855
phonation_rate,0.20834976882012693
pause_rate,0.18081113026738485
Country,0.16697503555537446
aoa_nouns,0.12571490627875537
CCONJ,0.10381270673982294
total_speech_duration,0.0990444854322313
n_pauses,0.09381182902131475
honores_statistic,0.091389774823338
VERB,0.08842808512578641
NOUN/VERB,0.08308295232128791
mattr_30,0.08170236027237551
ADP,0.07543108888314289
NOUN,0.07362606040026262
Age,0.07096118208895154
freq_content,0.06970418691395623
filler_word_ratio,0.06847996390750732
concr_content,0.06825277837111408
DET,0.05525872160042582
aoa_verbs,0.050992850132521916
AUX,0.05076942407478766
concr_verbs,0.0503081947547866
INTJ,0.049355204887633994
eGeMAPS_F3amplitudeLogRelF0_sma3nz_stddevNorm,0.04493294032553798
ADJ,0.04399162792138911
brunets_index,0.04383414363545588
mattr_10,0.04366870408575976
eGeMAPS_F0semitoneFrom27.5Hz_sma3nz_percentile50.0,0.04349464340378495
nid_ratio,0.04344471415091059
eGeMAPS_logRelF0-H1-A3_sma3nz_amean,0.042086466110628495
DET/NOUN,0.04096191365689513
ADV,0.03901664725299555
information_words,0.03872665006677165
AUX/VERB,0.037872827708245155
average_word_length,0.037792861511862647
eGeMAPS_mfcc3_sma3_amean,0.03697672690831508
Education_level,0.03588363129261483
eGeMAPS_shimmerLocaldB_sma3nz_amean,0.03539625719864316
concr_nouns,0.03467017743699847
eGeMAPS_loudness_sma3_percentile20.0,0.031848880126106906
Socioeconomic,0.030870571081344656
light_verb_ratio,0.030789476840143635
avg_pause_duration,0.029575419013309776
eGeMAPS_mfcc3V_sma3nz_amean,0.0292386092580596
eGeMAPS_jitterLocal_sma3nz_amean,0.027160664298877306
eGeMAPS_F0semitoneFrom27.5Hz_sma3nz_percentile20.0,0.026217264435124926
eGeMAPS_slopeV0-500_sma3nz_amean,0.025933024566175446
eGeMAPS_loudness_sma3_amean,0.02529120235115527
freq_nouns,0.023728521476054795
PRON/NOUN,0.022073423261491195
eGeMAPS_slopeUV0-500_sma3nz_amean,0.0220169977113955
freq_verbs,0.021875210442996625
OPEN/CLOSED,0.01947248785106555
Gender,0.01638498068289217
article_pause_contentword,0.014208988810658883
PRON,0.013413323068613876
