feature,R2_adj,AIC,BIC
speech_rate,0.031958396246834164,3537.301596920573,3546.118654502692
filler_word_ratio,0.04409124222055394,3530.6416136959733,3543.8672000691517
VERB,0.05596243193966621,3524.050435539909,3541.684550704147
eGeMAPS_StddevUnvoicedSegmentLength,0.06431013219387038,3519.6516663199272,3541.694310275225
eGeMAPS_loudness_sma3_pctlrange0-2,0.07451301300103419,3513.9873667818456,3540.4385395282025
eGeMAPS_loudness_sma3_meanRisingSlope,0.08331591221069867,3509.175343242379,3540.0350447797955
eGeMAPS_F2bandwidth_sma3nz_stddevNorm,0.09194158999441782,3504.4241320042693,3539.6923623327452
eGeMAPS_HNRdBACF_sma3nz_stddevNorm,0.10097890596595593,3499.3385901600595,3539.015349279595
eGeMAPS_F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,0.10587854377068451,3497.005511181501,3541.090799092096
eGeMAPS_loudness_sma3_meanFallingSlope,0.1121283007468119,3493.730183670785,3542.2240003724396
eGeMAPS_F1frequency_sma3nz_stddevNorm,0.11913412173276072,3489.902294746652,3542.804640239366
OPEN/CLOSED,0.12155365115488381,3489.211689535056,3546.5225638188294
eGeMAPS_slopeV500-1500_sma3nz_amean,0.12364710852105831,3488.7406527274043,3550.460055802237
eGeMAPS_mfcc2V_sma3nz_amean,0.12760849523685525,3486.966131527493,3553.0940633933856
eGeMAPS_shimmerLocaldB_sma3nz_stddevNorm,0.12954707318749836,3486.589585540487,3557.126046197439
eGeMAPS_mfcc3_sma3_amean,0.13099112734881024,3486.5538126608863,3561.4988021088975
eGeMAPS_slopeV0-500_sma3nz_amean,0.13468143321427306,3484.9409703829742,3564.2944886220453
eGeMAPS_slopeUV0-500_sma3nz_amean,0.13822797211945936,3483.416611039979,3567.1786580701096
eGeMAPS_mfcc2_sma3_amean,0.1421293144689516,3481.629220594008,3569.799796415198
aoa_average,0.14422633009280683,3481.108674127036,3573.6877787392855
eGeMAPS_mfcc3V_sma3nz_stddevNorm,0.14567714726403702,3481.042015663788,3578.0296490670967
eGeMAPS_mfcc1V_sma3nz_stddevNorm,0.14660041215559783,3481.347182644997,3582.7433448393654
eGeMAPS_F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,0.147466294270161,3481.6907170451113,3587.4954080305392
eGeMAPS_F3bandwidth_sma3nz_amean,0.1480984234441266,3482.198416755631,3592.411636532119
eGeMAPS_F2bandwidth_sma3nz_amean,0.14922869814032402,3482.3486822401537,3596.9704308077007
eGeMAPS_alphaRatioV_sma3nz_stddevNorm,0.14996253043375363,3482.7792382504913,3601.8095156090976
eGeMAPS_mfcc2V_sma3nz_stddevNorm,0.15046752229664606,3483.3710684258813,3606.8098745755474
eGeMAPS_F1bandwidth_sma3nz_stddevNorm,0.15083738373854216,3484.0574753408036,3611.904810281529
ttr,0.1514843573357546,3484.5437456906766,3616.7996094224613
concreteness_score,0.15181396698425975,3485.2550023230533,3621.919394845898
OTHER,0.1520806058811549,3486.009418281161,3627.0823395950647
eGeMAPS_F3frequency_sma3nz_amean,0.15238884005997044,3486.732151386269,3632.2136014912326
eGeMAPS_mfcc4V_sma3nz_amean,0.15487207546342097,3485.8928077925016,3635.7827866885245
eGeMAPS_hammarbergIndexV_sma3nz_stddevNorm,0.15588160019765018,3486.107036655242,3640.4055443423244
eGeMAPS_F2frequency_sma3nz_stddevNorm,0.15634108256487111,3486.714418435396,3645.421454913538
eGeMAPS_F1frequency_sma3nz_amean,0.15675927161169811,3487.3494838234883,3650.4650490926897
eGeMAPS_mfcc4_sma3_stddevNorm,0.15706003538294755,3488.0670953337617,3655.591189394023
AUX,0.15717085319863522,3488.919567968283,3660.8521908196035
AUX/VERB,0.16586224799737304,3483.557980843282,3659.899132485662
SYM,0.16586224799737326,3483.557980843282,3659.899132485662
