,Subject_ID,n_words,ttr,mattr,filler_word_ratio,concreteness_score,aoa_average,average_word_length,brunets_index,honores_statistic,guirauds_statistic,ADJ,ADP,ADV,AUX,CCONJ,DET,INTJ,NOUN,NUM,PART,PRON,PROPN,PUNCT,SCONJ,SYM,VERB,OTHER,NOUN/VERB,PRON/NOUN,DET/NOUN,AUX/VERB,OPEN/CLOSED,POS_ENTROPY,LEXICAL_DENSITY,speech_rate,pause_ratio,n_pauses,avg_pause_duration,articulation_rate,hesitation_ratio,eGeMAPS_F0semitoneFrom27.5Hz_sma3nz_amean,eGeMAPS_F0semitoneFrom27.5Hz_sma3nz_stddevNorm,eGeMAPS_F0semitoneFrom27.5Hz_sma3nz_percentile20.0,eGeMAPS_F0semitoneFrom27.5Hz_sma3nz_percentile50.0,eGeMAPS_F0semitoneFrom27.5Hz_sma3nz_percentile80.0,eGeMAPS_F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,eGeMAPS_F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,eGeMAPS_F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,eGeMAPS_F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,eGeMAPS_F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,eGeMAPS_loudness_sma3_amean,eGeMAPS_loudness_sma3_stddevNorm,eGeMAPS_loudness_sma3_percentile20.0,eGeMAPS_loudness_sma3_percentile50.0,eGeMAPS_loudness_sma3_percentile80.0,eGeMAPS_loudness_sma3_pctlrange0-2,eGeMAPS_loudness_sma3_meanRisingSlope,eGeMAPS_loudness_sma3_stddevRisingSlope,eGeMAPS_loudness_sma3_meanFallingSlope,eGeMAPS_loudness_sma3_stddevFallingSlope,eGeMAPS_spectralFlux_sma3_amean,eGeMAPS_spectralFlux_sma3_stddevNorm,eGeMAPS_mfcc1_sma3_amean,eGeMAPS_mfcc1_sma3_stddevNorm,eGeMAPS_mfcc2_sma3_amean,eGeMAPS_mfcc2_sma3_stddevNorm,eGeMAPS_mfcc3_sma3_amean,eGeMAPS_mfcc3_sma3_stddevNorm,eGeMAPS_mfcc4_sma3_amean,eGeMAPS_mfcc4_sma3_stddevNorm,eGeMAPS_jitterLocal_sma3nz_amean,eGeMAPS_jitterLocal_sma3nz_stddevNorm,eGeMAPS_shimmerLocaldB_sma3nz_amean,eGeMAPS_shimmerLocaldB_sma3nz_stddevNorm,eGeMAPS_HNRdBACF_sma3nz_amean,eGeMAPS_HNRdBACF_sma3nz_stddevNorm,eGeMAPS_logRelF0-H1-H2_sma3nz_amean,eGeMAPS_logRelF0-H1-H2_sma3nz_stddevNorm,eGeMAPS_logRelF0-H1-A3_sma3nz_amean,eGeMAPS_logRelF0-H1-A3_sma3nz_stddevNorm,eGeMAPS_F1frequency_sma3nz_amean,eGeMAPS_F1frequency_sma3nz_stddevNorm,eGeMAPS_F1bandwidth_sma3nz_amean,eGeMAPS_F1bandwidth_sma3nz_stddevNorm,eGeMAPS_F1amplitudeLogRelF0_sma3nz_amean,eGeMAPS_F1amplitudeLogRelF0_sma3nz_stddevNorm,eGeMAPS_F2frequency_sma3nz_amean,eGeMAPS_F2frequency_sma3nz_stddevNorm,eGeMAPS_F2bandwidth_sma3nz_amean,eGeMAPS_F2bandwidth_sma3nz_stddevNorm,eGeMAPS_F2amplitudeLogRelF0_sma3nz_amean,eGeMAPS_F2amplitudeLogRelF0_sma3nz_stddevNorm,eGeMAPS_F3frequency_sma3nz_amean,eGeMAPS_F3frequency_sma3nz_stddevNorm,eGeMAPS_F3bandwidth_sma3nz_amean,eGeMAPS_F3bandwidth_sma3nz_stddevNorm,eGeMAPS_F3amplitudeLogRelF0_sma3nz_amean,eGeMAPS_F3amplitudeLogRelF0_sma3nz_stddevNorm,eGeMAPS_alphaRatioV_sma3nz_amean,eGeMAPS_alphaRatioV_sma3nz_stddevNorm,eGeMAPS_hammarbergIndexV_sma3nz_amean,eGeMAPS_hammarbergIndexV_sma3nz_stddevNorm,eGeMAPS_slopeV0-500_sma3nz_amean,eGeMAPS_slopeV0-500_sma3nz_stddevNorm,eGeMAPS_slopeV500-1500_sma3nz_amean,eGeMAPS_slopeV500-1500_sma3nz_stddevNorm,eGeMAPS_spectralFluxV_sma3nz_amean,eGeMAPS_spectralFluxV_sma3nz_stddevNorm,eGeMAPS_mfcc1V_sma3nz_amean,eGeMAPS_mfcc1V_sma3nz_stddevNorm,eGeMAPS_mfcc2V_sma3nz_amean,eGeMAPS_mfcc2V_sma3nz_stddevNorm,eGeMAPS_mfcc3V_sma3nz_amean,eGeMAPS_mfcc3V_sma3nz_stddevNorm,eGeMAPS_mfcc4V_sma3nz_amean,eGeMAPS_mfcc4V_sma3nz_stddevNorm,eGeMAPS_alphaRatioUV_sma3nz_amean,eGeMAPS_hammarbergIndexUV_sma3nz_amean,eGeMAPS_slopeUV0-500_sma3nz_amean,eGeMAPS_slopeUV500-1500_sma3nz_amean,eGeMAPS_spectralFluxUV_sma3nz_amean,eGeMAPS_loudnessPeaksPerSec,eGeMAPS_VoicedSegmentsPerSec,eGeMAPS_MeanVoicedSegmentLengthSec,eGeMAPS_StddevVoicedSegmentLengthSec,eGeMAPS_MeanUnvoicedSegmentLength,eGeMAPS_StddevUnvoicedSegmentLength,eGeMAPS_equivalentSoundLevel_dBp
count,1002.0,1002.0,999.0,961.0,999.0,999.0,999.0,1002.0,1002.0,1002.0,1002.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,998.0,997.0,997.0,998.0,998.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
mean,721.7015968063872,147.91516966067863,0.5840007226466253,0.7313511065634613,0.031709023426583265,2.7632070363023944,4.378678703699678,3.9649413737976658,10.812802366480454,1731.5502024965217,6.674944205664144,0.03832988862966832,0.11658269117135114,0.03518355694001625,0.06350050150298579,0.04476365960526336,0.15769507938995633,0.027601935163753238,0.22123321441195556,0.009772858307162046,0.024884149784053594,0.10622421076525913,0.0015466342811817117,0.0,0.01783079095731713,0.0,0.13481231411590922,3.8514974166688585e-05,1.7269304443718037,0.5055707071032712,0.7174476377972487,0.48711732060624297,0.85588038464911,2.1831182871968617,0.4295589740975495,2.0315904315126985,0.15111318382976396,11.278278278278279,0.9863522216135328,2.3938209363909375,0.15296897519092703,30.687907996955698,0.2936369357378902,25.90016306627978,28.888639675365674,33.2859279682209,7.3857648933494655,440.37167983871325,688.4423008671513,187.8840921430497,327.92783876558445,0.7994793971051444,0.9489059171399793,0.12279418649154715,0.6031192417505447,1.3885813037584256,1.265787117986812,15.789807239392617,10.337917825182876,10.857401268498915,7.537170964706171,0.5784502513622781,1.2285433411598206,18.25840803354352,1.473124839134283,7.008407914360334,0.8770612678131661,10.121738491248008,4.686316163004101,-1.1529712099563312,-1.1137073306708007,0.04739752966533965,1.8463231707001115,1.4329276452432047,0.7626798412463328,3.7355663628038673,1.614839232660032,3.9264869768344037,2.491837665244743,20.28990753634914,0.9795194769108498,616.4549498534178,0.46219337821842077,1152.08035153073,0.2775806241684609,-87.4108962840862,-1.0941462462490146,1664.4003142546844,0.21223945261629018,861.9987978701357,0.4417700946062535,-88.20151878715875,-0.9986292502737498,2741.6722513529153,0.1305021294304081,788.3105295236643,0.5189877137526855,-90.60387512680528,-0.9434130671056541,-12.75682827197873,-1.1967163803251657,22.770109913847946,0.6736310741624555,0.059663561662683245,0.6717712768205293,-0.019197078844955563,-1.1358043006299674,0.8373114044430318,0.8624914363399521,26.704623282134712,0.7831512019709423,7.8511562655839295,3.9283450883668705,12.649560492914599,1.5784806385412589,-3.750607716672293,17.744801383745205,-2.013953459627173,10.31513992306945,0.04198472850779699,0.00016796804555445382,0.16966077001826899,2.540357251425047,2.059494867025911,0.3083895411513917,0.28925451812324104,0.21371404822912063,0.36297973203803746,-24.498303542266022
std,370.5872459631802,171.98840013105976,0.08344242257430791,0.0460536306511473,0.02654742869424589,0.12400959047366175,0.19698319546994497,0.2858384554763467,1.2414303398523165,467.10589974574873,0.9831608992381505,0.019512869631221928,0.02818136782066743,0.022743707883503814,0.023661570201341006,0.019393747882581806,0.0297290078357977,0.04012377399162632,0.03713022258895766,0.010432297690883299,0.0144952741298532,0.03428053556534708,0.004907502567305985,0.0,0.013676575377927581,0.0,0.02744210406176318,0.0005465256124848966,0.5357011879438923,0.21801952238456232,0.10182904386615234,0.19990184213625475,0.14451915462370388,0.13356068190864503,0.03861820812334934,0.4185047677180013,0.10948940580870685,30.956635236552703,0.47957398607382845,0.4141740125902475,0.11247037152747008,3.9217939795382377,0.08473510698062288,4.7636443002155975,4.471256187894092,5.626731877944688,5.003763887346106,155.8624233580497,239.29221240799993,61.172736662688095,170.4696335949013,0.2181656029500604,0.18152088822712523,0.0811320384361859,0.23829475730939154,0.3756379728191522,0.3572662088674947,4.20531648806012,3.038243105284377,3.084061061387439,2.3191972321274883,0.18009348642686598,0.2442140990860181,6.25009274405616,4.171362233802697,6.5273476392009755,25.172501897329834,6.883999832350212,69.38299631807014,7.528588384152685,44.29007118029216,0.013444799018186846,0.2540007587165969,0.23834295071614386,0.10116837080009193,2.0476068311022404,14.239587193368939,3.70968857481385,65.87824720584284,6.306128375626754,1.4401553481957174,75.19831613350162,0.0808762546409893,85.73861850818489,0.045182244537361915,21.020902587440215,0.23589512890020098,89.81212476318717,0.026879233127859444,76.89898073582263,0.06106424064077106,20.115456977002882,0.19675837148306005,98.75779206860861,0.018289898613738705,77.72040805568146,0.07945644198865985,19.748386668226765,0.18179250651794773,4.823965924234211,3.623667971402102,5.4701709427279805,0.33177818527352254,0.03131055142844933,4.495262600619218,0.007743849690695128,2.062475248443616,0.21055535896721134,0.14595436184147267,6.965391893950363,1.0895427216752098,8.116801370252295,43.7125584228811,8.66962155121398,13.855657761172635,9.714405896969593,513.3715140701568,4.243905351214666,4.675619758920108,0.03563498463288047,0.005775658228995962,0.10989462678835181,0.5391072880065799,0.5014835263527226,0.1680894069411481,0.15153475292572247,0.1217290365141414,0.23721928013221813,2.6175093052069185
min,41.0,0.0,0.1593259287629261,0.46,0.0,2.14,2.310598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.5470085470085471,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,18.452993392944336,0.0194738749414682,12.76933479309082,13.933429718017578,21.383392333984375,0.6324653625488281,0.0,0.0,-0.2505672574043274,0.0,0.0424983650445938,0.277189552783966,0.0010339657310396,0.0113931773230433,0.033527672290802,0.0223972257226705,0.767734706401825,0.7387816905975342,0.5698459148406982,0.4633051455020904,0.0096414452418684,0.6313625574111938,-12.571770668029783,-57.89287185668945,-25.58323097229004,-521.1580200195312,-17.166439056396484,-247.86387634277344,-38.29484939575195,-732.7604370117188,0.0,0.0,0.931132435798645,0.0,-4.009130954742432,-242.65570068359375,-17.70789337158203,-1642.789794921875,-9.344255447387695,-20.51068687438965,472.1492309570313,0.1312356740236282,694.5062866210938,0.1546044945716858,-199.0563507080078,-2.0636146068573,1443.9918212890625,0.0936329439282417,639.6436767578125,0.1803269982337951,-199.06349182128903,-1.7515747547149658,2502.07470703125,0.0775880217552185,434.1257934570313,0.2836494743824005,-199.07843017578125,-1.8756755590438845,-29.07225799560547,-70.02628326416016,-3.619826316833496,-3.7239198684692383,-0.055191271007061,-68.3988265991211,-0.043530885130167,-44.55191421508789,0.0485614463686943,0.3551677465438843,-12.598892211914062,-25.706939697265625,-26.78278160095215,-401.4095764160156,-19.40555763244629,-208.37005615234375,-45.81698989868164,-1694.0501708984375,-22.099679946899418,-4.643277168273926,-0.0674818158149719,-0.0237806737422943,0.0092753935605287,0.6038087010383606,0.204745277762413,0.0299999993294477,0.0,0.0549999997019767,0.0253569576889276,-54.58231735229492
25%,404.5,112.25,0.5347852389594676,0.7032142857142849,0.01230780883132615,2.6855131782945745,4.262446724382716,3.866220238095238,10.412357786715525,1463.1570748641507,6.2162295190864905,0.0256410256410256,0.0988876665444322,0.01886867088607595,0.0483870967741935,0.0321290322580645,0.13742266922325524,0.0067340830763649,0.19837990292535745,0.0,0.01465221124946325,0.0839694656488549,0.0,0.0,0.0077519379844961,0.0,0.11642023628324995,0.0,1.36,0.3548387096774194,0.65,0.3529411764705882,0.7613636363636364,2.1284191123247806,0.40737432697629944,1.8028734585752129,0.0706453191258018,5.0,0.704500000000009,2.147362808777014,0.07050668362934184,27.775671005249023,0.22929110378026962,21.996671676635742,25.15835189819336,29.259827613830566,4.475283622741699,332.0557098388672,521.0275573730469,144.0435333251953,187.67639923095703,0.6673399806022644,0.8421038389205933,0.06660965457558629,0.4492634981870651,1.193602979183197,1.0693483352661133,13.20072603225708,8.422399044036865,8.897526264190674,6.081458330154419,0.48475782573223114,1.0825199484825134,14.50545883178711,0.9117347300052643,3.292038321495056,1.0838309526443481,5.507391929626465,1.1397042870521545,-5.977569580078125,-3.630025267601013,0.03805589675903315,1.6781273484230042,1.264504373073578,0.6981000900268555,2.390847682952881,1.0012516975402832,1.621980905532837,1.757191777229309,16.59098243713379,0.7073563635349274,563.5072021484375,0.4086116999387741,1103.3953247070312,0.24852089583873743,-99.58878707885742,-1.2196168303489685,1604.9825439453125,0.1946189925074577,814.3045349121094,0.40173113346099854,-99.64986419677734,-1.1101011037826538,2674.569091796875,0.11750602349638935,738.614013671875,0.4645421802997589,-101.90228271484375,-1.0454262495040894,-15.914061546325684,-1.3974637389183044,19.471413612365723,0.5279584527015686,0.03933752514421935,0.42082794010639185,-0.024202066473662798,-1.20058274269104,0.7467736601829529,0.763878583908081,22.85453987121582,0.591476321220398,2.9207218885421753,0.8463128507137299,7.053860187530518,0.9582259953022002,-10.09455919265747,-2.897672176361084,-4.559797286987305,7.229814052581787,0.01799092348664995,-0.0033991520758718,0.09653076156973836,2.1968761682510376,1.7178282141685486,0.24457141011953348,0.22617597132921213,0.14809589833021158,0.22705075144767756,-25.24888038635254
50%,720.5,136.5,0.5806451612903226,0.7337579617834399,0.0273972602739726,2.759223300970875,4.372502564102565,3.9714271136282466,10.910387695185268,1663.8110631333855,6.764749451967486,0.036231884057971,0.1172413793103448,0.032520325203252,0.0615384615384615,0.0444444444444444,0.1572327044025157,0.0222222222222222,0.219298245614035,0.0077519379844961,0.023076923076923,0.1065573770491803,0.0,0.0,0.0157480314960629,0.0,0.1329479768786127,0.0,1.6470588235294117,0.4827586206896552,0.72,0.4705882352941176,0.8302542372881356,2.204397844074963,0.4268292682926829,2.0347097546379413,0.1261146496815307,9.0,0.8794736842105365,2.3936961046683742,0.1255946717412004,31.05789375305176,0.2764120101928711,26.39678382873535,29.820125579833984,33.353641510009766,5.727870941162109,417.4841613769531,687.7153930664062,180.435791015625,297.3578796386719,0.7902880311012268,0.9236978888511658,0.1062533557415008,0.6120547652244568,1.3814339637756348,1.264179825782776,15.622243881225586,10.004434585571287,10.708196640014648,7.256003379821777,0.5758800506591797,1.191317439079285,18.09209251403809,1.1764284372329712,7.094447135925293,1.731526255607605,10.290642738342283,1.6015602350234983,-0.8948403000831604,-1.379061222076416,0.0448012426495552,1.8437687158584597,1.3933042287826538,0.7573046684265137,3.9274826049804688,1.2677444219589231,3.886804819107056,2.741018772125244,20.249589920043945,0.8612192273139954,606.5466918945312,0.4683087766170501,1155.844482421875,0.2754697203636169,-85.69603729248047,-1.0795819759368896,1658.057861328125,0.211710900068283,858.8383178710938,0.4449792802333832,-86.63221740722656,-0.9795401096343994,2734.97119140625,0.1302975118160247,789.818603515625,0.5120573043823242,-89.05712127685547,-0.931325912475586,-12.71522045135498,-1.038622498512268,22.532201766967773,0.6261662244796753,0.0614633485674858,0.5945984125137329,-0.0188561156392097,-0.8841033577919006,0.8341078162193298,0.8379088640213013,26.98049545288086,0.733601987361908,7.936470985412598,1.4816734790802002,12.672911643981934,1.3924293518066406,-3.464989185333252,-1.3354086875915527,-1.8108575344085691,10.1190824508667,0.038832601159811,3.1132651201914996e-05,0.1439849585294723,2.5335047245025635,2.0510613918304443,0.2899999916553497,0.2687628865242004,0.1933770477771759,0.3120469152927398,-24.24003219604492
75%,1036.75,164.75,0.6231637215243773,0.761643835616438,0.04470948827292105,2.8373973099226806,4.492005118897236,4.090794883508451,11.379010874805472,1909.5688358740242,7.24395566228194,0.05,0.1337394460079988,0.0488263341280029,0.07847811333559546,0.0568181818181818,0.17598283261802575,0.0392156862745098,0.2432432432432432,0.01487009397457155,0.033585246179008446,0.12854903716972677,0.0,0.0,0.0253164556962025,0.0,0.1515151515151515,0.0,2.0,0.625,0.782608695652174,0.6,0.9198850574712645,2.263443911760365,0.4496384163154883,2.3010248374617808,0.2024487420539013,14.0,1.1301190476190697,2.6502161254598655,0.20450766088555683,33.718732833862305,0.35096071660518646,29.833924293518066,32.4207878112793,36.26077842712402,8.152310371398926,529.8866271972656,848.8989868164062,220.13158416748047,447.25205993652344,0.9141445755958558,1.0230638980865479,0.16456179320812225,0.7520843148231506,1.5860408544540405,1.4584662318229675,18.092408180236816,11.765285015106201,12.34224796295166,8.602327346801758,0.6607732176780701,1.3200607895851135,22.248953819274902,1.5231971740722656,11.263960361480713,2.9602962732315063,14.484246730804443,2.598837375640869,4.1058409214019775,2.847842574119568,0.054546173661947195,2.0046316385269165,1.5565775632858276,0.8233952820301056,5.19083571434021,1.8402263522148132,6.336734056472778,4.910143613815308,24.280065536499023,1.0928265452384949,653.0525207519531,0.5173320472240448,1206.4727783203125,0.3027526587247848,-73.93349075317383,-0.948591947555542,1713.5698852539062,0.2298348397016525,911.2564086914062,0.4825516790151596,-75.34439849853516,-0.8729302883148193,2801.734375,0.1426838338375091,837.1660461425781,0.5665654838085175,-78.2563591003418,-0.8295676708221436,-9.928080558776855,-0.7851338088512421,26.017356872558594,0.7558347880840302,0.0827904343605041,0.9906961619853972,-0.0140725271776318,-0.6785385012626648,0.915662944316864,0.9283295273780824,31.075161933898926,0.9234665930271149,13.655630111694336,2.9962440729141235,18.178354263305664,2.165242075920105,3.1458191871643066,2.05213463306427,0.680722713470459,12.975148677825928,0.06397301331162444,0.00371407112106675,0.21344692260026932,2.8722827434539795,2.347494959831238,0.3461526036262512,0.3254911601543426,0.2450715377926826,0.4321068674325943,-23.30295181274414
max,1370.0,5222.0,1.0,0.8501265822784817,0.2,3.281311475409838,5.106319224999998,4.770491803278689,16.82449977743232,6584.537853451207,11.5134344454969,0.14,0.2333333333333333,0.2,0.2,0.1428571428571428,0.3043478260869565,1.0,0.4117647058823529,0.0909090909090909,0.0833333333333333,0.2083333333333333,0.08,0.0,0.0779220779220779,0.0,0.3333333333333333,0.009090909090909,6.0,1.875,1.1666666666666667,2.0,1.8125,2.400292251393705,0.5901639344262295,3.292568203198494,0.8148148148148127,964.0,4.830000000000126,3.914988814317704,0.9351851851851832,45.153228759765625,0.6298555135726929,36.84007263183594,49.37848663330078,59.438018798828125,39.23387145996094,1154.2440185546875,1464.76220703125,476.7888793945313,1039.122314453125,2.075065851211548,2.587249279022217,0.5796079039573669,1.8556365966796875,3.77908992767334,3.5404083728790283,40.84735107421875,28.44521713256836,30.265390396118164,23.35089874267578,2.4380340576171875,3.2704317569732666,36.4368782043457,63.54800796508789,27.79410171508789,199.4366912841797,37.2747802734375,2149.9951171875,21.80788803100586,801.908447265625,0.1036600843071937,2.919360399246216,3.0092036724090576,1.1348077058792114,8.838798522949219,193.5940399169922,17.26068878173828,619.411376953125,44.64976119995117,20.66441345214844,1069.874755859375,0.6815105676651001,1473.80810546875,0.5574823617935181,-26.75222969055176,-0.077179729938507,2250.544921875,0.2989200055599212,1141.8067626953125,0.6616153120994568,-35.315765380859375,-0.0763036683201789,3242.627197265625,0.1867828220129013,1035.949951171875,0.8662993311882019,-38.50749588012695,-0.0752775222063064,10.700479507446287,61.478389739990234,44.05373001098633,4.612053394317627,0.1439277082681656,39.49808120727539,0.0113730244338512,29.49720573425293,2.835876941680908,1.886670708656311,52.51139831542969,7.670275688171387,32.175331115722656,855.8190307617188,46.76055145263672,181.12388610839844,24.82897567749023,15238.9697265625,12.814614295959473,32.22651290893555,0.1480064541101455,0.0402680486440658,1.034698247909546,4.7647857666015625,4.045201778411865,4.391176223754883,3.830493450164795,2.25,3.5524556636810303,-12.999345779418944
var,137334.9068705746,29580.009779641514,0.006962637885069369,0.002120936896152294,0.0007047659702760702,0.015378378529445298,0.03880237929755055,0.08170362262910343,1.5411492887058382,218187.92157728545,0.9666053537907687,0.00038075208124506297,0.0007941894922437496,0.0005172762482901535,0.0005598699043929886,0.0003761174569331463,0.0008838139069009211,0.0016099172393311083,0.0013786534295055417,0.000108832835111209,0.00021011297209959145,0.0011751551186470264,2.4083581448114835e-05,0.0,0.000187048714068135,0.0,0.0007530690753366391,2.9869024510199137e-07,0.2869757627644975,0.04753251214079267,0.010369154174694778,0.03996074648946812,0.020885786053150033,0.01783845575190226,0.001491365998658325,0.17514624060269826,0.01198792998434369,958.3132651689765,0.22999120811874063,0.1715401127051065,0.012649584471527153,15.380468017942366,0.0071800383550176036,22.692307018976546,19.992131897781203,31.660111626278958,25.037653040309017,24293.095015043924,57260.762919115354,3742.103710802584,29059.895977979897,0.047596230310563405,0.03294983286276449,0.006582407660810746,0.056784391361141814,0.1411038866236821,0.12763914399855236,17.6846867647503,9.230921166808054,9.511432630366215,5.378675801507803,0.03243366385338376,0.05964052619239547,39.06365930930347,17.400262885595428,42.60626720298255,633.6548517710742,47.38945369179775,4814.000178073335,56.67964305799873,1961.6104051553464,0.00018076262063943798,0.06451638542860687,0.05680736215607818,0.010235039250344894,4.192693734776559,202.76584343755667,13.761789322104416,4339.943454914141,39.76725508988493,2.074047426936728,5654.786749314049,0.006540968564754144,7351.110703692065,0.002041435221433971,441.8783455906507,0.05564651183884243,8066.217754478297,0.0007224931735418166,5913.453238208421,0.003728841485033996,404.6316093936539,0.038713856748665856,9753.101494266533,0.000334520391300841,6040.461828341636,0.006313326173497269,389.99877599779654,0.03304851542607807,23.27064723817283,13.130969566965424,29.922770142665527,0.11007676422339185,0.0009803506307535705,20.207385848525856,5.996720803207904e-05,4.253804150442556,0.044333559189811224,0.021302675740551533,48.51668423630942,1.1871033423554238,65.88246448412954,1910.7877638737934,75.16233784127391,191.9792519947435,94.3696819310776,263550.31145868514,18.010732630068475,21.861420130004134,0.0012698521297856275,3.3358227978168775e-05,0.012076828996951132,0.2906366679818095,0.2514857272031618,0.028254048725826885,0.022962781344259754,0.014817958330661168,0.056272986866447786,6.851354962844806
cv,0.5134909602570806,1.1627502474939235,0.14288068377065746,0.06297061731067621,0.837220003186533,0.04487886316314759,0.04498690331024012,0.07209147085132493,0.1148111560515278,0.26976168468709877,0.14729125352147088,0.5090771282888222,0.2417285751213871,0.6464300332760303,0.3726202099400497,0.43324759533962387,0.18852210196287933,1.4536580045415335,0.16783294808444965,1.067476613596043,0.5825103230628417,0.3227186657202127,3.1730206856377126,,0.7670201176530083,,0.2035578444130033,14.189951423038575,0.3102042642712003,0.431234482776369,0.14193237039401796,0.41037720007054246,0.1688543834112441,0.06117885718420591,0.08990199356091079,0.20599859165825446,0.7245523059857687,2.7448015089479143,0.48620966787027986,0.17301795898513617,0.735249558853951,0.12779606807760527,0.2885710095281071,0.18392333237536765,0.15477558784835702,0.16904236178473683,0.6774875669074926,0.3539338029528478,0.34758499311647634,0.32558763206047736,0.5198388591727938,0.27288458431827245,0.19129492708216286,0.6607156312059678,0.3951038879438576,0.27051924997292254,0.28224825785532837,0.2663310846232905,0.29389313754103386,0.2840514949314224,0.3077012904427198,0.3113378998500514,0.19878346241774827,0.34231312678376846,2.8316420462057366,0.9313595496954937,28.700961747055675,0.6801203013002776,14.805445024347886,-6.529727992460306,-39.76814191715489,0.2836603323657733,0.1375711266301672,0.16633285812256832,0.13264854442037918,0.5481382559525281,8.817959649093293,0.9447856561604236,26.437615950946153,0.3108012377251792,1.470267189313676,0.1219850958312241,0.17498358577255352,0.07442069330864544,0.16277160797052342,-0.24048377812214727,-0.21559743929013497,0.0539606511690698,0.12664578991566983,0.08921007886069911,0.13822628871064072,-0.22806247844262167,-0.1970284481744587,0.03602100580033782,0.14015019290158037,0.09859110736811283,0.15309888824559617,-0.21796404006548037,-0.19269661705627886,-0.37814775125807654,-3.0280090011114393,0.2402347183840875,0.4925220910956813,0.5247851545549385,6.691656454701581,-0.4033868774118198,-1.8158720188853623,0.25146601115181266,0.16922412871812512,0.2608309362899788,1.3912290741981594,1.0338351569733542,11.127474149948906,0.6853693894005327,8.777844607569744,-2.590088495202225,28.930812070988924,-2.107250955044565,0.4532773955361718,0.8487606303387836,34.38545831697222,0.6477315102160529,0.21221711540932303,0.24349831329121413,0.5450554720940787,0.523880331788487,0.5695883706420504,0.6535331292474462,-0.10684451275130238
