Score,ICC_Type,ICC,CI95_lower,CI95_upper,F,df1,df2,p_value,n,Subgroup
SemanticFluency,ICC2,0.9846650524616625,0.92,1.0,205.46927374301052,19,19,4.6564541099123835e-18,20,UK
PhonemicFluency,ICC2,0.9686402302255704,0.8,0.99,110.25059665871217,19,19,1.6046606380271212e-15,20,UK
PictureNaming,ICC2,0.7559055118110237,0.2,0.92,12.021148036253749,19,19,6.623671010343779e-07,20,UK
SemanticFluency,ICC2,0.9731798362558427,0.93,0.99,85.88098495212101,19,19,1.648072554404135e-14,20,US
PhonemicFluency,ICC2,0.9791676598178952,0.9,0.99,142.16838487971884,19,19,1.4840418020854183e-16,20,US
PictureNaming,ICC2,0.98297185875605,0.86,1.0,220.36000000001005,19,19,2.4089761889455325e-18,20,US
SemanticFluency,ICC2,0.9842620844708528,0.88,1.0,223.87272727272958,14,14,5.765039698332329e-14,15,Male
PhonemicFluency,ICC2,0.9769767135903172,0.85,0.99,145.1941747572814,14,14,1.1597588353341575e-12,15,Male
PictureNaming,ICC2,0.962444113263786,0.82,0.99,76.97647058823738,14,14,9.149137252713995e-11,15,Male
SemanticFluency,ICC2,0.9728973339225216,0.93,0.99,84.08176100628965,24,24,8.334286038592551e-18,25,Female
PhonemicFluency,ICC2,0.9681080304553947,0.85,0.99,96.5886524822717,24,24,1.6323775771791662e-18,25,Female
PictureNaming,ICC2,0.9182948490230912,0.52,0.97,44.38461538461606,24,24,1.412516990648612e-14,25,Female
SemanticFluency,ICC2,0.9782082324455205,0.54,1.0,246.9130434782609,7,7,7.702877645448228e-08,8,UK_Male
PhonemicFluency,ICC2,0.9821428571428571,0.76,1.0,225.58333333333334,7,7,1.0545843567933115e-07,8,UK_Male
PictureNaming,ICC2,0.5663716814159291,-0.05,0.89,4.368421052631579,7,7,0.03523193139367887,8,UK_Male
SemanticFluency,ICC2,0.9872988992379337,0.93,1.0,180.38461538461226,6,6,1.661882115962901e-06,7,US_Male
PhonemicFluency,ICC2,0.9698354661791593,0.83,0.99,82.6153846153857,6,6,1.6800326182985988e-05,7,US_Male
PictureNaming,ICC2,0.990016638935108,0.85,1.0,397.66666666665157,6,6,1.572297550885691e-07,7,US_Male
SemanticFluency,ICC2,0.989101717305152,0.96,1.0,214.92857142857318,11,11,3.4301180883021485e-11,12,UK_Female
PhonemicFluency,ICC2,0.9509191504551133,0.74,0.99,60.53072625698293,11,11,3.2706561398139054e-08,12,UK_Female
PictureNaming,ICC2,0.7749699157641396,0.04,0.94,16.518072289156514,11,11,2.7923769149672857e-05,12,UK_Female
SemanticFluency,ICC2,0.9653179190751442,0.89,0.99,64.61904761904657,12,12,5.4190951995998e-09,13,US_Female
PhonemicFluency,ICC2,0.9828367103694878,0.9,1.0,180.26086956522278,12,12,1.272116523035198e-11,13,US_Female
PictureNaming,ICC2,0.97215777262181,0.81,0.99,120.71428571428586,12,12,1.371674437937201e-10,13,US_Female
