feature,VIF
const,0.0
n_words,64.50203809778559
ttr,6.018613566212842
mattr,3.302301514573839
filler_word_ratio,9.756809354024515
concreteness_score,3.479664843129051
aoa_average,2.426262016946017
ADJ,1801439850948198.5
ADP,inf
ADV,inf
AUX,inf
CCONJ,2251799813685248.0
DET,inf
INTJ,inf
NOUN,250199979298360.88
NUM,inf
PART,inf
PRON,3002399751580330.5
PROPN,inf
PUNCT,
SCONJ,inf
SYM,
VERB,3002399751580330.5
OTHER,inf
NOUN/VERB,74.51246585450272
PRON/NOUN,36.677697449286754
DET/NOUN,51.515359619545336
AUX/VERB,37.32508920106534
ADP/VERB,77.75054828181891
CCONJ/SCONJ,3.576096258874728
OPEN/CLOSED,140.7254666815237
POS_ENTROPY,15.699548109733184
LEXICAL_DENSITY,333599972397814.5
speech_rate,142.65841070827702
speaking_time_ratio,838497.2985209835
pause_ratio,835958.9786461578
n_pauses,59.91755123905302
avg_pause_duration,2.55065056035079
articulation_rate,104.93690191377378
hesitation_ratio,421.7776585352023
eGeMAPS_F0semitoneFrom27.5Hz_sma3nz_amean,100.57193866054561
eGeMAPS_F0semitoneFrom27.5Hz_sma3nz_stddevNorm,15.634815506765527
eGeMAPS_F0semitoneFrom27.5Hz_sma3nz_percentile20.0,3002399751580330.5
eGeMAPS_F0semitoneFrom27.5Hz_sma3nz_percentile50.0,39.137173085332726
eGeMAPS_F0semitoneFrom27.5Hz_sma3nz_percentile80.0,4503599627370496.0
eGeMAPS_F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,4503599627370496.0
eGeMAPS_F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,8.863433069853807
eGeMAPS_F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,7.638073242361524
eGeMAPS_F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,8.585648784095664
eGeMAPS_F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,5.823550373605078
eGeMAPS_loudness_sma3_amean,344.62808522940446
eGeMAPS_loudness_sma3_stddevNorm,21.293435583170226
eGeMAPS_loudness_sma3_percentile20.0,7569075003984.027
eGeMAPS_loudness_sma3_percentile50.0,68.46753501419164
eGeMAPS_loudness_sma3_percentile80.0,130539119633927.42
eGeMAPS_loudness_sma3_pctlrange0-2,128674275067728.45
eGeMAPS_loudness_sma3_meanRisingSlope,24.526654985357
eGeMAPS_loudness_sma3_stddevRisingSlope,9.719681817212141
eGeMAPS_loudness_sma3_meanFallingSlope,31.28768756608942
eGeMAPS_loudness_sma3_stddevFallingSlope,12.173027906922373
eGeMAPS_spectralFlux_sma3_amean,90.868069308314
eGeMAPS_spectralFlux_sma3_stddevNorm,70.74039244787998
eGeMAPS_mfcc1_sma3_amean,44.54424985843487
eGeMAPS_mfcc1_sma3_stddevNorm,1.4788028520334735
eGeMAPS_mfcc2_sma3_amean,34.02635647893424
eGeMAPS_mfcc2_sma3_stddevNorm,1.3540071653857604
eGeMAPS_mfcc3_sma3_amean,25.636631746073544
eGeMAPS_mfcc3_sma3_stddevNorm,1.2691412726593954
eGeMAPS_mfcc4_sma3_amean,46.77285632856133
eGeMAPS_mfcc4_sma3_stddevNorm,1.1352316013538235
eGeMAPS_jitterLocal_sma3nz_amean,6.478741360099757
eGeMAPS_jitterLocal_sma3nz_stddevNorm,3.3393862590822145
eGeMAPS_shimmerLocaldB_sma3nz_amean,9.366206868430309
eGeMAPS_shimmerLocaldB_sma3nz_stddevNorm,4.448821003184451
eGeMAPS_HNRdBACF_sma3nz_amean,40.419652474579316
eGeMAPS_HNRdBACF_sma3nz_stddevNorm,1.4649679921012355
eGeMAPS_logRelF0-H1-H2_sma3nz_amean,4.061297522762311
eGeMAPS_logRelF0-H1-H2_sma3nz_stddevNorm,1.2004471083681407
eGeMAPS_logRelF0-H1-A3_sma3nz_amean,20.19270401438681
eGeMAPS_logRelF0-H1-A3_sma3nz_stddevNorm,1.8078978320425898
eGeMAPS_F1frequency_sma3nz_amean,42.46272272491373
eGeMAPS_F1frequency_sma3nz_stddevNorm,14.862986789252947
eGeMAPS_F1bandwidth_sma3nz_amean,16.604403089737453
eGeMAPS_F1bandwidth_sma3nz_stddevNorm,9.23371657088399
eGeMAPS_F1amplitudeLogRelF0_sma3nz_amean,308.61602596838554
eGeMAPS_F1amplitudeLogRelF0_sma3nz_stddevNorm,91.07655362793206
eGeMAPS_F2frequency_sma3nz_amean,51.87384893131632
eGeMAPS_F2frequency_sma3nz_stddevNorm,9.443840558877863
eGeMAPS_F2bandwidth_sma3nz_amean,11.409654440287628
eGeMAPS_F2bandwidth_sma3nz_stddevNorm,6.280105926708577
eGeMAPS_F2amplitudeLogRelF0_sma3nz_amean,3661.1363865977723
eGeMAPS_F2amplitudeLogRelF0_sma3nz_stddevNorm,566.9222887584391
eGeMAPS_F3frequency_sma3nz_amean,25.44944696049012
eGeMAPS_F3frequency_sma3nz_stddevNorm,3.9578593197455896
eGeMAPS_F3bandwidth_sma3nz_amean,5.196132857211195
eGeMAPS_F3bandwidth_sma3nz_stddevNorm,4.215336663602984
eGeMAPS_F3amplitudeLogRelF0_sma3nz_amean,3301.611139270541
eGeMAPS_F3amplitudeLogRelF0_sma3nz_stddevNorm,428.9392375010959
eGeMAPS_alphaRatioV_sma3nz_amean,67.92792921363822
eGeMAPS_alphaRatioV_sma3nz_stddevNorm,1.4937689750878587
eGeMAPS_hammarbergIndexV_sma3nz_amean,56.90862367019141
eGeMAPS_hammarbergIndexV_sma3nz_stddevNorm,5.647525045131133
eGeMAPS_slopeV0-500_sma3nz_amean,9.940664914320761
eGeMAPS_slopeV0-500_sma3nz_stddevNorm,1.1919960051269503
eGeMAPS_slopeV500-1500_sma3nz_amean,12.137995331113947
