,n_words,ttr,mattr,filler_word_ratio,concreteness_score,aoa_average,average_word_length,brunets_index,honores_statistic,guirauds_statistic,ADJ,ADP,ADV,AUX,CCONJ,DET,INTJ,NOUN,NUM,PART,PRON,SCONJ,VERB,NOUN/VERB,PRON/NOUN,DET/NOUN,AUX/VERB,OPEN/CLOSED,POS_ENTROPY,LEXICAL_DENSITY,speech_rate,pause_ratio,n_pauses,avg_pause_duration,articulation_rate,hesitation_ratio,eGeMAPS_jitterLocal_sma3nz_amean,eGeMAPS_shimmerLocaldB_sma3nz_amean,PhonemicFluencyScore
n_words,1.0,-0.40960671869008225,-0.016635749375715787,0.021644295435261005,-0.0667051442335845,0.1744104841234431,0.01750245161075444,0.484663780579749,-0.09087087273485969,0.38742913402477697,0.13042868380470926,0.05263240988456524,0.07558710008586107,-0.04526799924246665,0.030458263928772884,-0.03740595856498942,0.015722300084718463,-0.017127672270829494,0.046283751440133976,-0.06056767998638821,0.004321572407492745,0.019754547702517736,-0.14717192189315975,0.09380130367857956,0.007943805543070817,-0.03393721556060351,0.02659403056756166,-0.008547074552998822,0.11241385171817295,-0.009647933497595575,0.09317545479366972,-0.04937951702925122,0.9392084152775014,-0.04945045627731844,0.06902602645953397,-0.050779994510672326,0.042077320435836195,0.07802287845403563,0.04316933865717906
ttr,-0.40960671869008225,1.0,0.5215661657736247,-0.13916104896120554,-0.1125882514335101,0.09598658055440053,0.33926245611673683,-0.9503963571906262,0.6601344911908693,-0.06294743276657622,0.02660326994809185,-0.10717384892151925,0.09356691814508149,0.08635751363593104,-0.22606039803333108,-0.1286488015058436,-0.10811235000926722,-0.08959506433356253,-0.07755612471310643,0.259043205638321,-0.004090014507581457,0.043583302100033035,0.31707951672473617,-0.26377061110907213,0.030144803077216446,-0.05017567085215247,-0.076638820301121,0.1536421576255492,-0.020063117518183998,0.22448853241992245,-0.3036614950876576,0.21720377956154313,-0.2262844764691501,0.14864112647300512,-0.19239124661849175,0.220039987756133,0.0019360099954531178,-0.017403390811977722,-0.05341481031018046
mattr,-0.016635749375715787,0.5215661657736247,1.0,-0.02390849839118411,-0.2715760005052395,0.38010049578737937,0.42643672961168083,-0.2969825083818288,0.41968255150990624,0.6048888481288077,0.17756401934209115,-0.029396844050214817,0.31505493382082084,0.0022666388313648525,-0.2005261368028667,-0.42617675576264413,-0.07107689455322912,-0.32036282633980645,-0.046461142017983056,0.2461552275834023,0.24347902522973394,0.25926807120756534,0.16640003896584155,-0.3240764089522478,0.28409345324904206,-0.18296935150751223,-0.13065084682477626,0.028510248692486983,0.3883267412841056,0.10404446204786326,0.09882277176724753,-0.11778841805862583,-0.039612588807551294,-0.05086706776751992,0.04165734528987101,-0.12134916249861967,0.09665165454794032,0.07456843794910473,0.05127629429320937
filler_word_ratio,0.021644295435261005,-0.13916104896120554,-0.02390849839118411,1.0,-0.1323737718533128,0.026894135921329936,-0.2093799538121545,0.15886880279802526,-0.07191819187444275,0.07296689036744027,-0.023803802982785113,-0.1774550870950416,0.12721267946391818,-0.21128055413095928,0.03439058049548475,-0.20875262290967145,0.9180969232820205,-0.28527728485335335,-0.07810321267200404,-0.07727469899686581,0.08514078711778164,0.0648880701963828,-0.10999996786258771,-0.07553713298557777,0.16589069777353807,0.05222269920521244,-0.14902425251168117,0.3307468930695624,0.4048285553401857,-0.29769264111923716,0.05179371628015843,-0.16695098003289394,-0.03412045198415013,-0.0897437075517143,-0.06439212056896688,-0.1670054245175784,-0.017449193294338524,0.023188365868314798,-0.06318133067683039
concreteness_score,-0.0667051442335845,-0.1125882514335101,-0.2715760005052395,-0.1323737718533128,1.0,-0.5571264528669894,-0.15908132789038848,0.014066168843934614,-0.17859826489857153,-0.2918318099537341,-0.1320407615630028,0.19488863942993112,-0.38568576867111987,-0.24190751794424065,-0.12474044630926455,0.2755506424602845,-0.1084558342035757,0.6190665473603819,0.20501248148865162,-0.41129985415770964,-0.13673553452758141,-0.33958029721577143,-0.0041540052870555205,0.3259791721858292,-0.3340542250672839,-0.31460836014213395,-0.18332894955907186,0.22363919900087953,-0.540552231828728,0.2933948203051923,-0.1213403797312625,0.11280937449448909,-0.028588002243089182,0.06722628009246492,-0.07161995157494323,0.11375575485902154,-0.0352508327401036,-0.061273866343420885,-0.03252418313747942
aoa_average,0.1744104841234431,0.09598658055440053,0.38010049578737937,0.026894135921329936,-0.5571264528669894,1.0,0.42114365839561296,0.05880041350570418,0.19590653502747604,0.4874629304181276,0.2963916435205654,-0.020060507028705165,0.39331616554328647,0.12621839368337548,-0.04778582331297099,-0.3314964082354169,0.056677832512621144,-0.32523438785531505,-0.06020761582917843,0.1896850414519275,0.058404377448464044,0.22201008177717685,-0.1402118088491091,-0.1072705005560228,0.16706649851151287,-0.0434248562327509,0.138262278769218,0.0018120987137304416,0.4506734848977336,-0.018889403444881863,0.1372875095689144,-0.18357795228070317,0.1053299696295663,-0.14811806371922068,0.03309458759604917,-0.18756085298984607,0.046349712793916524,0.08811818890894367,0.10303634784968262
average_word_length,0.01750245161075444,0.33926245611673683,0.42643672961168083,-0.2093799538121545,-0.15908132789038848,0.42114365839561296,1.0,-0.22938641399433382,0.27682183220256634,0.28312417064144774,0.2072579268290114,-0.0409447470832413,0.2577033355734424,-0.006162490387266633,-0.16405630078822708,-0.16015832191597248,-0.23853089343038344,0.0058527201707013555,-0.06015794515791816,0.07127779758698322,-0.00962999180562559,0.11941171168733454,0.12434505700134026,-0.12556158040210677,-0.005019950518208898,-0.1803830465014257,-0.11529765371688354,0.17894736938908729,0.0589775204843357,0.37350789784042593,-0.047986256494173624,0.029368667899873174,0.036979821824609856,-0.020672552606535697,-0.034057730439020106,0.02874574366233337,0.009367693489153608,0.014390209370032086,0.018534287723214547
brunets_index,0.484663780579749,-0.9503963571906262,-0.2969825083818288,0.15886880279802526,0.014066168843934614,0.05880041350570418,-0.22938641399433382,1.0,-0.5197066871681869,0.3391528215840862,0.059774013155571286,0.12010577918463969,0.02037363642203975,-0.10691185841510979,0.2020078518324553,0.007561969878012334,0.11416808133573701,-0.0025578718078054417,0.07783747038482478,-0.22128411069620896,0.07154141470877483,0.01681564573966811,-0.3435791735055093,0.21708635037365404,0.045133869774415525,-0.004834585805393467,0.04855889586571409,-0.15371168876753027,0.1738494056267022,-0.2169680269564829,0.3977385290911682,-0.30663921764099283,0.2608097457374891,-0.20961311141512806,0.24095871312358771,-0.3112584788825742,0.025591577579802766,0.05510644039733703,0.09320703383698335
honores_statistic,-0.09087087273485969,0.6601344911908693,0.41968255150990624,-0.07191819187444275,-0.17859826489857153,0.19590653502747604,0.27682183220256634,-0.5197066871681869,1.0,0.2879469336094039,0.1259151325917456,-0.01423347111693656,0.10256521780202009,0.062264695924961026,-0.13906906908828687,-0.014399451821678323,-0.044580425537921964,-0.04028383215382873,-0.0787675682676351,0.13327125608459628,-0.09800640518905974,-0.020060137210066855,0.08242427258778842,-0.09427757267964229,-0.06963552473455406,0.028791194336381245,-0.002983869827916365,0.11679833804313916,0.02977459382214727,0.1555464216250719,-0.13506476664753497,0.06193956740072955,-0.023402936773792196,0.047439839672962066,-0.11597068860650006,0.06215982727446374,0.03627640896447039,0.03771114481705457,0.028080362655668285
guirauds_statistic,0.38742913402477697,-0.06294743276657622,0.6048888481288077,0.07296689036744027,-0.2918318099537341,0.4874629304181276,0.28312417064144774,0.3391528215840862,0.2879469336094039,1.0,0.25548607100843734,0.015071701514754334,0.3874403977120342,-0.08631045531307896,-0.01697591710829707,-0.3758031843618781,0.031518075867568274,-0.2880530476881622,0.012523036426972754,0.05028981180219594,0.25268905336786734,0.20042783353687166,-0.13549371045661987,-0.09769150933278044,0.2678379413228545,-0.16895700601154992,-0.06932131463728518,-0.017306754821503186,0.4948907535780373,-0.004893640112501293,0.3881204087594939,-0.3457503746853467,0.20054687199528437,-0.23716431685804945,0.20764080763881668,-0.3524757474790632,0.10094020304870943,0.12584678906014612,0.12372611660452873
