target,task,model,metric,estimate,ci_low,ci_high,n_subjects
PictureNamingScore,cookieTheft,acoustic,r2,0.01699733985231515,-0.2121139243879476,0.15262632319515101,959
PictureNamingScore,cookieTheft,acoustic,rmse,2.7047779488740056,2.433911616736123,3.035797016341089,959
PictureNamingScore,cookieTheft,acoustic,mae,1.8738089797384578,1.7581387169346607,1.994972623531229,959
PictureNamingScore,cookieTheft,baseline,r2,-0.0032369270012569873,-0.007590424781146548,-0.0006120757730238076,959
PictureNamingScore,cookieTheft,baseline,rmse,2.737031212931326,2.492569956434735,2.972640971528402,959
PictureNamingScore,cookieTheft,baseline,mae,1.9331283358267957,1.8147887171851345,2.05597791023875,959
PictureNamingScore,cookieTheft,demographics,r2,-0.0010807740568606185,-0.01814102953628119,0.013996566552028269,959
PictureNamingScore,cookieTheft,demographics,rmse,2.7339393674577877,2.4979291987545986,2.9682867419212755,959
PictureNamingScore,cookieTheft,demographics,mae,1.9280853868896601,1.809131546988909,2.0541504398720085,959
PictureNamingScore,cookieTheft,full,r2,0.15688883051535946,0.034725415035157164,0.2680417422612532,959
PictureNamingScore,cookieTheft,full,rmse,2.505921105354733,2.2998166502327027,2.7224399294199957,959
PictureNamingScore,cookieTheft,full,mae,1.8137302942435745,1.7075215583608205,1.9213325309058293,959
PictureNamingScore,cookieTheft,linguistic,r2,0.07860019981121344,-0.20687917803071973,0.2711949569087598,959
PictureNamingScore,cookieTheft,linguistic,rmse,2.6149079743102184,2.300339377589934,2.999869364118544,959
PictureNamingScore,cookieTheft,linguistic,mae,1.8072128353855943,1.6960537003494962,1.9272224605895847,959
PictureNamingScore,cookieTheft,linguistic+acoustic,r2,0.16047807717977525,0.04100615016558608,0.2690973558824749,959
PictureNamingScore,cookieTheft,linguistic+acoustic,rmse,2.5005773671542664,2.298249174308628,2.715428764199503,959
PictureNamingScore,cookieTheft,linguistic+acoustic,mae,1.8064698729628481,1.6999440466508118,1.913940218985766,959
