task,target,A,B,mean_diff,ci_low,ci_high,p_raw,p_adj,n_subjects
picnicScene,PictureNamingScore,baseline,acoustic,-0.13918640074890415,-0.21539856939717333,-0.05542515315483807,0.0,0.0,959
picnicScene,PictureNamingScore,baseline,linguistic,-0.2401216233652994,-0.33632465615770446,-0.14843631888151423,0.0,0.0,959
picnicScene,PictureNamingScore,demographics,linguistic,-0.23796547042090305,-0.32911644662426254,-0.1470179569644071,0.0,0.0,959
picnicScene,PictureNamingScore,demographics,acoustic,-0.1370302478045078,-0.213616136568505,-0.05847252138635907,0.001,0.012,959
picnicScene,PictureNamingScore,baseline,linguistic+acoustic,-0.21631084452599214,-0.3495374496055699,-0.05071987678098526,0.006,0.066,959
picnicScene,PictureNamingScore,demographics,linguistic+acoustic,-0.21415469158159578,-0.34738721401968675,-0.052621034506807926,0.006,0.066,959
picnicScene,PictureNamingScore,baseline,full,-0.20487993279635813,-0.34339949564075417,-0.0354775061642295,0.011,0.09899999999999999,959
picnicScene,PictureNamingScore,demographics,full,-0.20272377985196174,-0.3370985583422791,-0.032348521341742695,0.011,0.09899999999999999,959
picnicScene,PictureNamingScore,acoustic,linguistic,-0.10093522261639526,-0.18673862363105956,-0.020368856153823185,0.019,0.133,959
picnicScene,PictureNamingScore,acoustic,linguistic+acoustic,-0.077124443777088,-0.16128688129255372,0.027728117037145582,0.117,0.7020000000000001,959
picnicScene,PictureNamingScore,linguistic+acoustic,full,0.011430911729634034,-0.002579428688255775,0.02779848928997207,0.148,0.74,959
picnicScene,PictureNamingScore,acoustic,full,-0.06569353204745397,-0.15633879668749234,0.04850969795053069,0.207,0.828,959
picnicScene,PictureNamingScore,baseline,demographics,-0.0021561529443963677,-0.01674711849268602,0.014298799205492088,0.787,1.0,959
picnicScene,PictureNamingScore,linguistic,linguistic+acoustic,0.02381077883930726,-0.05655456126550266,0.15149903235846324,0.692,1.0,959
picnicScene,PictureNamingScore,linguistic,full,0.035241690568941296,-0.0465011625030714,0.1732173988881356,0.617,1.0,959
picnicScene,SemanticFluencyScore,baseline,demographics,-0.0893576381689053,-0.12420696352367702,-0.05507507527430351,0.0,0.0,970
picnicScene,SemanticFluencyScore,baseline,acoustic,-0.09498686373590329,-0.14067438378388641,-0.04477306337911806,0.0,0.0,970
picnicScene,SemanticFluencyScore,baseline,linguistic+acoustic,-0.14643296647214726,-0.20285034703903473,-0.08045696713734171,0.0,0.0,970
picnicScene,SemanticFluencyScore,baseline,full,-0.16703285721727645,-0.22435079961712995,-0.10338494330580936,0.0,0.0,970
picnicScene,SemanticFluencyScore,linguistic,full,-0.08845088283498825,-0.13517914058115463,-0.04108899038691502,0.0,0.0,970
picnicScene,SemanticFluencyScore,linguistic,linguistic+acoustic,-0.06785099208985905,-0.10732315740014316,-0.027279202834085234,0.002,0.02,970
picnicScene,SemanticFluencyScore,demographics,full,-0.07767521904837114,-0.13165623484198322,-0.01981000600370433,0.005,0.045,970
picnicScene,SemanticFluencyScore,baseline,linguistic,-0.0785819743822882,-0.13807958035732368,-0.014777538271178349,0.01,0.08,970
picnicScene,SemanticFluencyScore,acoustic,full,-0.07204599348137317,-0.12657245252016228,-0.016069194796349783,0.014,0.098,970
picnicScene,SemanticFluencyScore,demographics,linguistic+acoustic,-0.05707532830324196,-0.1217782549470741,0.013258026903834576,0.09,0.48,970
picnicScene,SemanticFluencyScore,acoustic,linguistic+acoustic,-0.051446102736243976,-0.10659766927504868,0.010372837801702351,0.08,0.48,970
picnicScene,SemanticFluencyScore,linguistic+acoustic,full,-0.020599890745129187,-0.049669651846635694,0.006439430066567019,0.147,0.588,970
picnicScene,SemanticFluencyScore,demographics,acoustic,-0.0056292255669979805,-0.05727367952964281,0.05480630301405099,0.804,1.0,970
picnicScene,SemanticFluencyScore,demographics,linguistic,0.01077566378661709,-0.05890050107352614,0.08226475021012597,0.814,1.0,970
picnicScene,SemanticFluencyScore,acoustic,linguistic,0.016404889353615074,-0.04495679056547111,0.0769224575112056,0.623,1.0,970
picnicScene,PhonemicFluencyScore,acoustic,linguistic,0.05729060319835546,0.01752925047678808,0.09989684732509575,0.008,0.12,970
picnicScene,PhonemicFluencyScore,baseline,acoustic,-0.03700327828275402,-0.06772750860226427,-0.0023686688050640076,0.029,0.406,970
picnicScene,PhonemicFluencyScore,baseline,demographics,-0.01623643139089277,-0.032924919039168846,0.0021719143918148827,0.061,0.7929999999999999,970
picnicScene,PhonemicFluencyScore,acoustic,linguistic+acoustic,0.04777073773090944,0.001897036745098851,0.10328776441036552,0.061,0.7929999999999999,970
picnicScene,PhonemicFluencyScore,acoustic,full,0.04785288637906123,0.0011759725619770285,0.10313220932092049,0.065,0.7929999999999999,970
picnicScene,PhonemicFluencyScore,baseline,linguistic,0.020287324915601434,-0.02153219156161833,0.06998694680985981,0.36,1.0,970
picnicScene,PhonemicFluencyScore,baseline,linguistic+acoustic,0.010767459448155416,-0.04916206158999446,0.08986539211592302,0.768,1.0,970
picnicScene,PhonemicFluencyScore,baseline,full,0.01084960809630721,-0.05035335115525865,0.090908537648934,0.737,1.0,970
picnicScene,PhonemicFluencyScore,demographics,acoustic,-0.020766846891861257,-0.055220582858793464,0.014673959520664385,0.283,1.0,970
picnicScene,PhonemicFluencyScore,demographics,linguistic,0.03652375630649421,-0.00839591099710591,0.09033826232586445,0.125,1.0,970
picnicScene,PhonemicFluencyScore,demographics,linguistic+acoustic,0.02700389083904818,-0.03811231862645554,0.10352263156466295,0.416,1.0,970
picnicScene,PhonemicFluencyScore,demographics,full,0.02708603948719998,-0.03356161194546408,0.10382846488628975,0.42,1.0,970
picnicScene,PhonemicFluencyScore,linguistic,linguistic+acoustic,-0.00951986546744602,-0.044273054365213865,0.033127690680187775,0.621,1.0,970
picnicScene,PhonemicFluencyScore,linguistic,full,-0.009437716819294225,-0.04570136408578787,0.03251400995866121,0.63,1.0,970
picnicScene,PhonemicFluencyScore,linguistic+acoustic,full,8.214864815179546e-05,-0.010304401183594238,0.010827861366941903,0.998,1.0,970
cookieTheft,PictureNamingScore,demographics,linguistic+acoustic,-0.16155885123663583,-0.2678487518178094,-0.05049134353791625,0.005,0.075,959
cookieTheft,PictureNamingScore,baseline,linguistic+acoustic,-0.16371500418103221,-0.2721594478592657,-0.046682840842721104,0.006,0.084,959
