task,target,A,B,mean_diff,ci_low,ci_high,p_raw,p_adj,n_subjects
picnicScene,SemanticFluencyScore,baseline,demographics,-0.0893576381689053,-0.12420696352367702,-0.05507507527430351,0.0,0.0,970
picnicScene,SemanticFluencyScore,baseline,acoustic,-0.09498686373590329,-0.14067438378388641,-0.04477306337911806,0.0,0.0,970
picnicScene,SemanticFluencyScore,baseline,linguistic+acoustic,-0.14643296647214726,-0.20285034703903473,-0.08045696713734171,0.0,0.0,970
picnicScene,SemanticFluencyScore,baseline,full,-0.16703285721727645,-0.22435079961712995,-0.10338494330580936,0.0,0.0,970
picnicScene,SemanticFluencyScore,linguistic,full,-0.08845088283498825,-0.13517914058115463,-0.04108899038691502,0.0,0.0,970
picnicScene,SemanticFluencyScore,linguistic,linguistic+acoustic,-0.06785099208985905,-0.10732315740014316,-0.027279202834085234,0.002,0.02,970
picnicScene,SemanticFluencyScore,demographics,full,-0.07767521904837114,-0.13165623484198322,-0.01981000600370433,0.005,0.045,970
picnicScene,SemanticFluencyScore,baseline,linguistic,-0.0785819743822882,-0.13807958035732368,-0.014777538271178349,0.01,0.08,970
picnicScene,SemanticFluencyScore,acoustic,full,-0.07204599348137317,-0.12657245252016228,-0.016069194796349783,0.014,0.098,970
picnicScene,SemanticFluencyScore,demographics,linguistic+acoustic,-0.05707532830324196,-0.1217782549470741,0.013258026903834576,0.09,0.48,970
picnicScene,SemanticFluencyScore,acoustic,linguistic+acoustic,-0.051446102736243976,-0.10659766927504868,0.010372837801702351,0.08,0.48,970
picnicScene,SemanticFluencyScore,linguistic+acoustic,full,-0.020599890745129187,-0.049669651846635694,0.006439430066567019,0.147,0.588,970
picnicScene,SemanticFluencyScore,demographics,acoustic,-0.0056292255669979805,-0.05727367952964281,0.05480630301405099,0.804,1.0,970
picnicScene,SemanticFluencyScore,demographics,linguistic,0.01077566378661709,-0.05890050107352614,0.08226475021012597,0.814,1.0,970
picnicScene,SemanticFluencyScore,acoustic,linguistic,0.016404889353615074,-0.04495679056547111,0.0769224575112056,0.623,1.0,970
