task,target,A,B,mean_diff,ci_low,ci_high,p_boot,n_subjects,n_boot,p_raw,p_adj,adjust
picnicScene,SemanticFluencyScore,baseline,demographics,-0.08453026200094632,-0.11834092977054415,-0.0474521933474915,0.0,970,1000,0.0,0.0,holm
picnicScene,SemanticFluencyScore,baseline,acoustic,-0.10646352758789918,-0.1499806114974507,-0.06483747279172512,0.0,970,1000,0.0,0.0,holm
picnicScene,SemanticFluencyScore,baseline,linguistic,-0.08826072925548528,-0.14349103237466376,-0.033795658091664675,0.0,970,1000,0.0,0.0,holm
picnicScene,SemanticFluencyScore,baseline,full,-0.15528364065708253,-0.21366188094717883,-0.084222740451243,0.0,970,1000,0.0,0.0,holm
picnicScene,SemanticFluencyScore,baseline,linguistic+acoustic,-0.13298963026448077,-0.19199932120989768,-0.06398000980367745,0.001,970,1000,0.001,0.011,holm
picnicScene,SemanticFluencyScore,linguistic,full,-0.06702291140159723,-0.10763427060528669,-0.025337302914903794,0.001,970,1000,0.001,0.011,holm
picnicScene,SemanticFluencyScore,demographics,full,-0.0707533786561362,-0.12545355302961758,-0.01319968333112101,0.017,970,1000,0.017,0.15300000000000002,holm
picnicScene,SemanticFluencyScore,linguistic,linguistic+acoustic,-0.04472890100899549,-0.08551264446525612,-0.0028032260516106166,0.035,970,1000,0.035,0.28,holm
picnicScene,SemanticFluencyScore,acoustic,full,-0.048820113069183345,-0.1002760254929729,0.005390182999669065,0.086,970,1000,0.086,0.602,holm
picnicScene,SemanticFluencyScore,linguistic+acoustic,full,-0.022294010392601742,-0.0489761567798768,0.0029761691914065016,0.103,970,1000,0.103,0.618,holm
picnicScene,SemanticFluencyScore,demographics,linguistic+acoustic,-0.04845936826353446,-0.11152766847453914,0.022103173584536097,0.166,970,1000,0.166,0.8300000000000001,holm
picnicScene,SemanticFluencyScore,demographics,acoustic,-0.02193326558695286,-0.07134399929707111,0.03188715284041129,0.385,970,1000,0.385,1.0,holm
picnicScene,SemanticFluencyScore,demographics,linguistic,-0.003730467254538972,-0.0643429277145598,0.05471474969659868,0.877,970,1000,0.877,1.0,holm
picnicScene,SemanticFluencyScore,acoustic,linguistic,0.01820279833241389,-0.04169612526230679,0.07887666396800344,0.554,970,1000,0.554,1.0,holm
picnicScene,SemanticFluencyScore,acoustic,linguistic+acoustic,-0.026526102676581603,-0.07770932131234473,0.03087269550491462,0.35,970,1000,0.35,1.0,holm
