task,target,model_a,model_b,mean_diff,ci_low,ci_high,p_boot,n_subjects,n_boot
cookieTheft,PhonemicFluencyScore,baseline,acoustic,-0.04136513567427902,-0.07073042858649456,-0.009406702640699942,0.011,970,1000
cookieTheft,PhonemicFluencyScore,acoustic,linguistic,0.053268036920001954,0.006298292882746771,0.10082008056970479,0.03,970,1000
cookieTheft,PhonemicFluencyScore,baseline,demographics,-0.01766999617567953,-0.03525542612177835,-0.00010588002731123465,0.053,970,1000
cookieTheft,PhonemicFluencyScore,linguistic,linguistic+acoustic,-0.029695961779775147,-0.06172247661334854,0.0023545115089174144,0.061,970,1000
cookieTheft,PhonemicFluencyScore,linguistic,full,-0.028238305448653765,-0.06057113729072892,0.00483392274000207,0.095,970,1000
cookieTheft,PhonemicFluencyScore,demographics,acoustic,-0.02369513949859949,-0.05265812248696581,0.0071775378469652795,0.144,970,1000
cookieTheft,PhonemicFluencyScore,demographics,linguistic,0.029572897421402466,-0.016374331647672807,0.07296939803933203,0.204,970,1000
cookieTheft,PhonemicFluencyScore,acoustic,full,0.02502973147134819,-0.015903109105374475,0.06879303239563712,0.279,970,1000
cookieTheft,PhonemicFluencyScore,acoustic,linguistic+acoustic,0.023572075140226814,-0.017139266776051487,0.0660389197464827,0.288,970,1000
cookieTheft,PhonemicFluencyScore,baseline,linguistic+acoustic,-0.017793060534052205,-0.069392933945541,0.03206875795706757,0.48,970,1000
cookieTheft,PhonemicFluencyScore,baseline,full,-0.01633540420293083,-0.0682234740741673,0.03685631828831786,0.53,970,1000
cookieTheft,PhonemicFluencyScore,baseline,linguistic,0.011902901245722937,-0.030464289757735984,0.05420154206737965,0.586,970,1000
cookieTheft,PhonemicFluencyScore,linguistic+acoustic,full,0.0014576563311213782,-0.009742349135922397,0.012847021177512909,0.775,970,1000
cookieTheft,PhonemicFluencyScore,demographics,linguistic+acoustic,-0.0001230643583726756,-0.05159757280188191,0.04895720478749927,0.976,970,1000
cookieTheft,PhonemicFluencyScore,demographics,full,0.0013345919727487025,-0.04959804944105479,0.04949599635039061,0.985,970,1000
journaling,PhonemicFluencyScore,acoustic,linguistic,0.060907364190011436,0.0225443293941854,0.10068573858483472,0.004,970,1000
journaling,PhonemicFluencyScore,demographics,linguistic,0.04686059993200526,0.011928458249387685,0.08403053387410499,0.012,970,1000
journaling,PhonemicFluencyScore,acoustic,linguistic+acoustic,0.03877910297529752,0.0055922570668094735,0.07408548578538396,0.03,970,1000
journaling,PhonemicFluencyScore,baseline,acoustic,-0.031716760433685716,-0.05991808762958159,-0.002127504596263726,0.033,970,1000
journaling,PhonemicFluencyScore,acoustic,full,0.0357731202786103,0.0016326463253535882,0.07293511606086718,0.051,970,1000
journaling,PhonemicFluencyScore,baseline,demographics,-0.01766999617567953,-0.03525542612177835,-0.00010588002731123465,0.053,970,1000
journaling,PhonemicFluencyScore,baseline,linguistic,0.029190603756325727,-0.004592304036949847,0.06315659374164559,0.099,970,1000
journaling,PhonemicFluencyScore,linguistic,full,-0.025134243911401143,-0.05809062504915626,0.009786891212509013,0.141,970,1000
journaling,PhonemicFluencyScore,linguistic,linguistic+acoustic,-0.022128261214713917,-0.05221602918880571,0.012667864778267368,0.175,970,1000
journaling,PhonemicFluencyScore,demographics,linguistic+acoustic,0.02473233871729134,-0.02178019909562683,0.07205361107665009,0.296,970,1000
journaling,PhonemicFluencyScore,demographics,acoustic,-0.014046764258006186,-0.04409361082205553,0.015074637859726002,0.347,970,1000
journaling,PhonemicFluencyScore,demographics,full,0.021726356020604114,-0.022453322841021885,0.06584676673627786,0.349,970,1000
journaling,PhonemicFluencyScore,linguistic+acoustic,full,-0.003005982696687224,-0.012687633945834612,0.007140854136255242,0.553,970,1000
journaling,PhonemicFluencyScore,baseline,linguistic+acoustic,0.007062342541611808,-0.04133049764845358,0.05378416679094832,0.753,970,1000
journaling,PhonemicFluencyScore,baseline,full,0.004056359844924584,-0.04308181980891336,0.052215948892860714,0.864,970,1000
picnicScene,PhonemicFluencyScore,baseline,acoustic,-0.04652145113732757,-0.08001994558434895,-0.015182879824247056,0.006,970,1000
picnicScene,PhonemicFluencyScore,acoustic,linguistic,0.06217554568604085,0.014672548986289993,0.11036833762874655,0.015,970,1000
picnicScene,PhonemicFluencyScore,baseline,demographics,-0.01766999617567953,-0.03525542612177835,-0.00010588002731123465,0.053,970,1000
picnicScene,PhonemicFluencyScore,demographics,acoustic,-0.028851454961648045,-0.06318443048268882,0.0038904987286165708,0.102,970,1000
picnicScene,PhonemicFluencyScore,acoustic,full,0.04727157456441062,-0.004030342559802218,0.11157320165279497,0.106,970,1000
picnicScene,PhonemicFluencyScore,acoustic,linguistic+acoustic,0.04392977763144225,-0.004953915493931775,0.10616136952157375,0.118,970,1000
picnicScene,PhonemicFluencyScore,demographics,linguistic,0.0333240907243928,-0.012174954827057216,0.08213937240368153,0.148,970,1000
picnicScene,PhonemicFluencyScore,linguistic,linguistic+acoustic,-0.018245768054598595,-0.05785131190310222,0.026906350188295403,0.412,970,1000
picnicScene,PhonemicFluencyScore,baseline,linguistic,0.015654094548713273,-0.029156987261029298,0.062289660949407875,0.44,970,1000
picnicScene,PhonemicFluencyScore,linguistic+acoustic,full,0.0033417969329683685,-0.007690958032769923,0.01441997465414726,0.518,970,1000
picnicScene,PhonemicFluencyScore,linguistic,full,-0.014903971121630227,-0.05728176403236566,0.03387620272831684,0.519,970,1000
picnicScene,PhonemicFluencyScore,demographics,full,0.018420119602762575,-0.04057370847474422,0.09619911280109537,0.557,970,1000
picnicScene,PhonemicFluencyScore,demographics,linguistic+acoustic,0.015078322669794208,-0.04466540015199951,0.09326854792180585,0.629,970,1000
picnicScene,PhonemicFluencyScore,baseline,full,0.0007501234270830455,-0.0614815010683301,0.08136406261776817,0.954,970,1000
picnicScene,PhonemicFluencyScore,baseline,linguistic+acoustic,-0.002591673505885323,-0.062240178832627384,0.07767959818491696,0.962,970,1000
