task,target,model_a,model_b,mean_diff,ci_low,ci_high,p_boot,n_subjects,n_boot
cookieTheft,PictureNamingScore,baseline,acoustic,-0.12172774567829632,-0.1828479105480318,-0.06096864883904598,0.0,959,1000
cookieTheft,PictureNamingScore,baseline,full,-0.18773468348417868,-0.2837583161940875,-0.0748265762985026,0.0,959,1000
cookieTheft,PictureNamingScore,baseline,linguistic,-0.2060902551603421,-0.30152767683261966,-0.10135931677457172,0.0,959,1000
cookieTheft,PictureNamingScore,baseline,linguistic+acoustic,-0.1951420804941679,-0.2919970210906473,-0.0844705072128122,0.0,959,1000
cookieTheft,PictureNamingScore,demographics,acoustic,-0.11975365780752142,-0.175966717650444,-0.060646638948122354,0.0,959,1000
cookieTheft,PictureNamingScore,demographics,full,-0.18576059561340377,-0.2796298021739532,-0.07877848179842284,0.0,959,1000
cookieTheft,PictureNamingScore,demographics,linguistic,-0.20411616728956722,-0.2965797429806323,-0.11163644225745833,0.0,959,1000
cookieTheft,PictureNamingScore,demographics,linguistic+acoustic,-0.193167992623393,-0.28528567468055727,-0.08834690381409156,0.0,959,1000
cookieTheft,PictureNamingScore,acoustic,linguistic,-0.08436250948204581,-0.15595674354455336,-0.006290243837649026,0.033,959,1000
cookieTheft,PictureNamingScore,acoustic,linguistic+acoustic,-0.07341433481587158,-0.13852278376095167,-0.003143139638495563,0.036,959,1000
cookieTheft,PictureNamingScore,acoustic,full,-0.06600693780588238,-0.1344327946370386,0.007559413448120989,0.074,959,1000
cookieTheft,PictureNamingScore,linguistic+acoustic,full,0.007407397009989198,-0.0012227051379005566,0.016293450290064453,0.087,959,1000
cookieTheft,PictureNamingScore,linguistic,full,0.018355571676163442,-0.011488341331752158,0.048515693009795885,0.252,959,1000
cookieTheft,PictureNamingScore,linguistic,linguistic+acoustic,0.010948174666174246,-0.017163486783332692,0.04000499100624457,0.485,959,1000
cookieTheft,PictureNamingScore,baseline,demographics,-0.0019740878707748917,-0.01677765902980747,0.014542925851569593,0.789,959,1000
journaling,PictureNamingScore,demographics,linguistic,-0.0997339986593378,-0.1563296712593439,-0.03788271121222636,0.001,959,1000
journaling,PictureNamingScore,baseline,linguistic,-0.10170808653011269,-0.1600634152972596,-0.033873791637408016,0.002,959,1000
journaling,PictureNamingScore,demographics,full,-0.11367321518123628,-0.187741271933944,-0.03805597883328966,0.004,959,1000
journaling,PictureNamingScore,baseline,full,-0.11564730305201117,-0.1911184984557565,-0.030448666093736088,0.005,959,1000
journaling,PictureNamingScore,demographics,linguistic+acoustic,-0.11546042675152725,-0.18812676298341896,-0.038001160344280034,0.005,959,1000
journaling,PictureNamingScore,baseline,linguistic+acoustic,-0.11743451462230214,-0.19282400161024357,-0.035961790516875966,0.006,959,1000
journaling,PictureNamingScore,acoustic,linguistic+acoustic,-0.06673156614119927,-0.11581350019360749,-0.011848728564553669,0.012,959,1000
journaling,PictureNamingScore,acoustic,full,-0.0649443545709083,-0.11501094977985606,-0.005441806304940969,0.02,959,1000
journaling,PictureNamingScore,baseline,acoustic,-0.05070294848110288,-0.10604454153757618,0.004579415865313707,0.069,959,1000
journaling,PictureNamingScore,demographics,acoustic,-0.04872886061032799,-0.10200736585621319,0.008006887419130002,0.071,959,1000
journaling,PictureNamingScore,acoustic,linguistic,-0.05100513804900981,-0.10753822413796509,0.008468644989493585,0.08,959,1000
journaling,PictureNamingScore,linguistic,linguistic+acoustic,-0.01572642809218945,-0.053992362920336524,0.023646334787288264,0.41,959,1000
journaling,PictureNamingScore,linguistic,full,-0.013939216521898482,-0.051915528830207405,0.027043670976271413,0.494,959,1000
journaling,PictureNamingScore,linguistic+acoustic,full,0.0017872115702909704,-0.009294538727076257,0.012515676713235531,0.714,959,1000
journaling,PictureNamingScore,baseline,demographics,-0.0019740878707748917,-0.01677765902980747,0.014542925851569593,0.789,959,1000
picnicScene,PictureNamingScore,acoustic,linguistic+acoustic,-0.12910104639736425,-0.1891089732204632,-0.06749894468248334,0.0,959,1000
picnicScene,PictureNamingScore,baseline,acoustic,-0.15364985674018877,-0.2286701112319997,-0.08064863728389311,0.0,959,1000
picnicScene,PictureNamingScore,baseline,full,-0.27053028402087076,-0.366054862758137,-0.16315943970892346,0.0,959,1000
picnicScene,PictureNamingScore,baseline,linguistic,-0.23846368584384622,-0.3258737538627293,-0.13373775926801226,0.0,959,1000
picnicScene,PictureNamingScore,baseline,linguistic+acoustic,-0.2827509031375531,-0.37880754144218903,-0.17573630751148261,0.0,959,1000
picnicScene,PictureNamingScore,demographics,acoustic,-0.1516757688694139,-0.22132893947008608,-0.08294004091293038,0.0,959,1000
picnicScene,PictureNamingScore,demographics,full,-0.26855619615009585,-0.3575586886778208,-0.16732908505297497,0.0,959,1000
picnicScene,PictureNamingScore,demographics,linguistic,-0.23648959797307134,-0.3193320241110027,-0.13880685653818794,0.0,959,1000
picnicScene,PictureNamingScore,demographics,linguistic+acoustic,-0.28077681526677817,-0.3696446538285732,-0.18422929204356756,0.0,959,1000
picnicScene,PictureNamingScore,acoustic,full,-0.11688042728068196,-0.17790209693495407,-0.05256013805502697,0.001,959,1000
picnicScene,PictureNamingScore,linguistic,linguistic+acoustic,-0.04428721729370679,-0.08248424838802729,-0.010381320761403027,0.01,959,1000
picnicScene,PictureNamingScore,linguistic+acoustic,full,0.012220619116682282,0.0019442804461974733,0.02261821835368037,0.015,959,1000
picnicScene,PictureNamingScore,acoustic,linguistic,-0.08481382910365745,-0.15593323080348856,-0.011986624678493093,0.025,959,1000
picnicScene,PictureNamingScore,linguistic,full,-0.0320665981770245,-0.06913798970836005,0.0010894465920897787,0.072,959,1000
picnicScene,PictureNamingScore,baseline,demographics,-0.0019740878707748917,-0.01677765902980747,0.014542925851569593,0.789,959,1000
