target,task,model,metric,estimate,ci_low,ci_high,n_subjects,n_boot
PhonemicFluencyScore,cookieTheft,acoustic,r2,0.04038102988675063,0.007563999176051388,0.07105328529006094,970,1000
PhonemicFluencyScore,cookieTheft,acoustic,rmse,4.549949097518924,4.335860281019192,4.780637577624829,970,1000
PhonemicFluencyScore,cookieTheft,acoustic,mae,3.642195973227589,3.471355524088004,3.815652393387656,970,1000
PhonemicFluencyScore,cookieTheft,baseline,r2,-0.0007135943344644957,-0.00612061797229924,0.0001604462964726577,970,1000
PhonemicFluencyScore,cookieTheft,baseline,rmse,4.646351115377041,4.417777828394849,4.8751620732249075,970,1000
PhonemicFluencyScore,cookieTheft,baseline,mae,3.707656340127119,3.5387686403703627,3.882899824131107,970,1000
PhonemicFluencyScore,cookieTheft,demographics,r2,-0.006393679979848299,-0.03994774008003579,0.030708156901572935,970,1000
PhonemicFluencyScore,cookieTheft,demographics,rmse,4.65951888301592,4.433207947888693,4.8574531925415485,970,1000
PhonemicFluencyScore,cookieTheft,demographics,mae,3.715416503848254,3.5384995088230085,3.8818272891470755,970,1000
PhonemicFluencyScore,cookieTheft,full,r2,0.054591907694804265,0.02486876016901151,0.07842130947358332,970,1000
PhonemicFluencyScore,cookieTheft,full,rmse,4.516133623535133,4.297341038105094,4.740113903742371,970,1000
PhonemicFluencyScore,cookieTheft,full,mae,3.5965163734790173,3.4345257664067352,3.754674404054634,970,1000
PhonemicFluencyScore,cookieTheft,linguistic,r2,0.018546686638019172,-0.008513499876126717,0.04467126015450699,970,1000
PhonemicFluencyScore,cookieTheft,linguistic,rmse,4.601420769554161,4.386339015614561,4.849217233218867,970,1000
PhonemicFluencyScore,cookieTheft,linguistic,mae,3.6547795521772124,3.490442131493018,3.825742307626983,970,1000
PhonemicFluencyScore,cookieTheft,linguistic+acoustic,r2,0.04972519632141381,0.01876817571279451,0.0766620610008733,970,1000
PhonemicFluencyScore,cookieTheft,linguistic+acoustic,rmse,4.527742634741918,4.30587893700079,4.755620736646789,970,1000
PhonemicFluencyScore,cookieTheft,linguistic+acoustic,mae,3.6086946501071155,3.432457711500876,3.779732365025027,970,1000
PhonemicFluencyScore,journaling,acoustic,r2,0.010740379668472744,-0.019674689104026515,0.036373434975806196,970,1000
PhonemicFluencyScore,journaling,acoustic,rmse,4.619683971501281,4.396044069105886,4.830942044402897,970,1000
PhonemicFluencyScore,journaling,acoustic,mae,3.7094287484575297,3.537924723285683,3.877920329637381,970,1000
PhonemicFluencyScore,journaling,baseline,r2,-0.0007135943344644957,-0.006185444537117368,7.06280418456273e-05,970,1000
PhonemicFluencyScore,journaling,baseline,rmse,4.646351115377041,4.430387180825281,4.879880795052338,970,1000
PhonemicFluencyScore,journaling,baseline,mae,3.707656340127119,3.5307947199012655,3.8788322338098795,970,1000
PhonemicFluencyScore,journaling,demographics,r2,-0.006393679979848299,-0.04320563230859296,0.027548121524684034,970,1000
PhonemicFluencyScore,journaling,demographics,rmse,4.65951888301592,4.433180244122161,4.877366785188123,970,1000
PhonemicFluencyScore,journaling,demographics,mae,3.715416503848254,3.5350827485274863,3.8905271976667066,970,1000
PhonemicFluencyScore,journaling,full,r2,0.03781727796795431,0.011043368480548535,0.06284766540382943,970,1000
PhonemicFluencyScore,journaling,full,rmse,4.556022945767835,4.340004778288979,4.774209822028552,970,1000
PhonemicFluencyScore,journaling,full,mae,3.626447186909026,3.4599736666491285,3.797470250804356,970,1000
PhonemicFluencyScore,journaling,linguistic,r2,0.010708295508918164,-0.01260778969996572,0.030691733114411385,970,1000
PhonemicFluencyScore,journaling,linguistic,rmse,4.6197588848368865,4.409730276381856,4.86543199973834,970,1000
PhonemicFluencyScore,journaling,linguistic,mae,3.6841633758323677,3.517167243683852,3.872879965426167,970,1000
PhonemicFluencyScore,journaling,linguistic+acoustic,r2,0.03201335953207751,0.0050405719973879975,0.05523195077116308,970,1000
PhonemicFluencyScore,journaling,linguistic+acoustic,rmse,4.569743327997424,4.363129541475966,4.796567766489011,970,1000
PhonemicFluencyScore,journaling,linguistic+acoustic,mae,3.640934993158345,3.4728550446860447,3.8110042219961624,970,1000
PhonemicFluencyScore,picnicScene,acoustic,r2,0.04396795778971152,0.010386405488006258,0.0728512435169767,970,1000
PhonemicFluencyScore,picnicScene,acoustic,rmse,4.541437584477311,4.3255882005379345,4.770630170752731,970,1000
PhonemicFluencyScore,picnicScene,acoustic,mae,3.6219824917795487,3.4480126864278198,3.797448858928558,970,1000
PhonemicFluencyScore,picnicScene,baseline,r2,-0.0007135943344644957,-0.006128805479426377,9.173503773901805e-05,970,1000
PhonemicFluencyScore,picnicScene,baseline,rmse,4.646351115377041,4.425351902005157,4.862583719536674,970,1000
PhonemicFluencyScore,picnicScene,baseline,mae,3.707656340127119,3.5410862251817576,3.867748861166005,970,1000
PhonemicFluencyScore,picnicScene,demographics,r2,-0.006393679979848299,-0.042368033426480274,0.023649881635004838,970,1000
PhonemicFluencyScore,picnicScene,demographics,rmse,4.65951888301592,4.4243171566672395,4.867604533420625,970,1000
PhonemicFluencyScore,picnicScene,demographics,mae,3.715416503848254,3.524616710382414,3.8878498046123355,970,1000
PhonemicFluencyScore,picnicScene,full,r2,0.0551159660525673,0.025152409673212004,0.08139893586815695,970,1000
PhonemicFluencyScore,picnicScene,full,rmse,4.514881759044047,4.287544985190528,4.735009239629224,970,1000
PhonemicFluencyScore,picnicScene,full,mae,3.597166339343704,3.4164353226879847,3.767319797013613,970,1000
PhonemicFluencyScore,picnicScene,linguistic,r2,0.020409130657629837,-0.007851666505026042,0.04588809629835091,970,1000
PhonemicFluencyScore,picnicScene,linguistic,rmse,4.597052778750146,4.367937624442621,4.807387368477237,970,1000
PhonemicFluencyScore,picnicScene,linguistic,mae,3.6592914750527212,3.4849202799921217,3.8252205226536957,970,1000
PhonemicFluencyScore,picnicScene,linguistic+acoustic,r2,0.048281899091822345,0.018565079344790607,0.07467409027596716,970,1000
PhonemicFluencyScore,picnicScene,linguistic+acoustic,rmse,4.531179745212925,4.301029655867345,4.748133645461524,970,1000
PhonemicFluencyScore,picnicScene,linguistic+acoustic,mae,3.6212824785150497,3.4420693248549274,3.785114282263244,970,1000
