target,task,model,metric,estimate,ci_low,ci_high,n_subjects,n_boot
SemanticFluencyScore,cookieTheft,acoustic,r2,0.09862036467323354,0.05956919315308348,0.13183446945500019,970,1000
SemanticFluencyScore,cookieTheft,acoustic,rmse,5.390378549709237,5.094110061118336,5.651512273932503,970,1000
SemanticFluencyScore,cookieTheft,acoustic,mae,4.270117485678434,4.057670531668775,4.481413267372335,970,1000
SemanticFluencyScore,cookieTheft,baseline,r2,-0.002472695525000068,-0.00800621179771272,-0.0006989217204113054,970,1000
SemanticFluencyScore,cookieTheft,baseline,rmse,5.684623037061868,5.396070389357335,5.963443366626584,970,1000
SemanticFluencyScore,cookieTheft,baseline,mae,4.518796859807085,4.31014392266788,4.7250849859861015,970,1000
SemanticFluencyScore,cookieTheft,demographics,r2,0.03613122329188245,-0.008060887876976338,0.07598072110480235,970,1000
SemanticFluencyScore,cookieTheft,demographics,rmse,5.574094798860759,5.301437448519936,5.886846291824753,970,1000
SemanticFluencyScore,cookieTheft,demographics,mae,4.36753000038334,4.166394684446862,4.597580246705692,970,1000
SemanticFluencyScore,cookieTheft,full,r2,0.1642014568442225,0.1291179755466048,0.19839089296619417,970,1000
SemanticFluencyScore,cookieTheft,full,rmse,5.190583709295122,4.9148442327982735,5.487997790679317,970,1000
SemanticFluencyScore,cookieTheft,full,mae,4.073959793313483,3.876464794915321,4.288200152527568,970,1000
SemanticFluencyScore,cookieTheft,linguistic,r2,0.13328363480231786,0.09442062773907133,0.17160283822898087,970,1000
SemanticFluencyScore,cookieTheft,linguistic,rmse,5.285716827804492,4.989165986815469,5.588159410509107,970,1000
SemanticFluencyScore,cookieTheft,linguistic,mae,4.131882008406088,3.921167620990837,4.347046394682889,970,1000
SemanticFluencyScore,cookieTheft,linguistic+acoustic,r2,0.15813210421405433,0.12373270637739309,0.1922866032013964,970,1000
SemanticFluencyScore,cookieTheft,linguistic+acoustic,rmse,5.209395956177162,4.915455720941939,5.493390176590644,970,1000
SemanticFluencyScore,cookieTheft,linguistic+acoustic,mae,4.083799743003197,3.873156168525226,4.283604301039365,970,1000
SemanticFluencyScore,journaling,acoustic,r2,0.10081963115282333,0.05640831106839063,0.13790604981742058,970,1000
SemanticFluencyScore,journaling,acoustic,rmse,5.383798570322798,5.112032818666804,5.683719435897637,970,1000
SemanticFluencyScore,journaling,acoustic,mae,4.250261678167769,4.047355828729164,4.4688131624366765,970,1000
SemanticFluencyScore,journaling,baseline,r2,-0.002472695525000068,-0.008045799630062597,-0.0007822001888705857,970,1000
SemanticFluencyScore,journaling,baseline,rmse,5.684623037061868,5.393712037329754,5.981907703321642,970,1000
SemanticFluencyScore,journaling,baseline,mae,4.518796859807085,4.299520961927598,4.7465634091548,970,1000
SemanticFluencyScore,journaling,demographics,r2,0.03613122329188245,-0.005241668090892833,0.07745210288919652,970,1000
SemanticFluencyScore,journaling,demographics,rmse,5.574094798860759,5.2881677471665,5.867311968680941,970,1000
