target,task,model,r2_oof,r2_ci_low,r2_ci_high,n_subjects,n_boot
PictureNamingScore,cookieTheft,acoustic,0.11399624497215688,0.036421796869513884,0.174291706859095,959,1000
PictureNamingScore,cookieTheft,baseline,-0.0036655382345298637,-0.010388871073500143,-0.0015880589662458646,959,1000
PictureNamingScore,cookieTheft,demographics,0.02335702854513333,-0.041528831314226355,0.08621837459146774,959,1000
PictureNamingScore,cookieTheft,full,0.21936380860839522,0.14289562060394345,0.28869430946445823,959,1000
PictureNamingScore,cookieTheft,linguistic,0.20873316831573907,0.13432126270538036,0.28113687845071034,959,1000
PictureNamingScore,cookieTheft,linguistic+acoustic,0.2212896757780447,0.14905900515027426,0.2897210094300478,959,1000
PictureNamingScore,journaling,acoustic,0.027226892635612288,-0.03308348124123786,0.07974293739089931,959,1000
PictureNamingScore,journaling,baseline,-0.0036655382345298637,-0.00953614472655812,-0.0018297293727262195,959,1000
PictureNamingScore,journaling,demographics,0.02335702854513333,-0.041122647346560806,0.08431001957475437,959,1000
PictureNamingScore,journaling,full,0.11813036700765234,0.05904281343724708,0.16873915471928844,959,1000
PictureNamingScore,journaling,linguistic,0.09376677292528679,0.03679424407892434,0.14531185913999717,959,1000
PictureNamingScore,journaling,linguistic+acoustic,0.1136333874509845,0.05997231632493399,0.167279973653992,959,1000
PictureNamingScore,picnicScene,acoustic,0.16102236341505693,0.08539415473334541,0.23634461687443822,959,1000
PictureNamingScore,picnicScene,baseline,-0.0036655382345298637,-0.009168092827506124,-0.0015009701381330843,959,1000
PictureNamingScore,picnicScene,demographics,0.02335702854513333,-0.038436738141242995,0.08362317603392783,959,1000
PictureNamingScore,picnicScene,full,0.2611477964247253,0.17478906605846334,0.33354229895685306,959,1000
PictureNamingScore,picnicScene,linguistic,0.25591368605641873,0.1801891033785649,0.3329131019646687,959,1000
PictureNamingScore,picnicScene,linguistic+acoustic,0.26201817238296865,0.185785840415603,0.34439871857012827,959,1000
