task,target,A,B,mean_diff,ci_low,ci_high,p_boot,n_subjects,n_boot,p_raw,p_adj,adjust
picnicScene,SemanticFluencyScore,baseline,acoustic,-0.10855463513806612,-0.14609340902181298,-0.06822634607178794,0.0,970,1000,0.0,0.0,holm
picnicScene,SemanticFluencyScore,baseline,linguistic,-0.14637070506134858,-0.18101453375777513,-0.10908176833351678,0.0,970,1000,0.0,0.0,holm
picnicScene,SemanticFluencyScore,baseline,linguistic+acoustic,-0.1807145218600817,-0.21608739868493573,-0.1429148731570923,0.0,970,1000,0.0,0.0,holm
picnicScene,SemanticFluencyScore,baseline,full,-0.18891828085581944,-0.22392680645183616,-0.15223903927627885,0.0,970,1000,0.0,0.0,holm
picnicScene,SemanticFluencyScore,demographics,linguistic,-0.106668107895501,-0.15794219043622018,-0.053545075984849214,0.0,970,1000,0.0,0.0,holm
picnicScene,SemanticFluencyScore,demographics,linguistic+acoustic,-0.14101192469423415,-0.19265905696640984,-0.08869018151956505,0.0,970,1000,0.0,0.0,holm
picnicScene,SemanticFluencyScore,demographics,full,-0.14921568368997185,-0.19821867660854006,-0.09871280039548085,0.0,970,1000,0.0,0.0,holm
picnicScene,SemanticFluencyScore,acoustic,linguistic+acoustic,-0.07215988672201562,-0.0984624493243626,-0.04958623830727263,0.0,970,1000,0.0,0.0,holm
picnicScene,SemanticFluencyScore,acoustic,full,-0.08036364571775333,-0.10703016124712131,-0.05756206767336813,0.0,970,1000,0.0,0.0,holm
picnicScene,SemanticFluencyScore,linguistic,full,-0.04254757579447086,-0.06720772441121148,-0.017048048745691925,0.001,970,1000,0.001,0.006,holm
picnicScene,SemanticFluencyScore,linguistic,linguistic+acoustic,-0.034343816798733134,-0.058983565445764836,-0.0077249257726396325,0.006,970,1000,0.006,0.03,holm
picnicScene,SemanticFluencyScore,demographics,acoustic,-0.06885203797221853,-0.1260959649907314,-0.013686130635694488,0.011,970,1000,0.011,0.044,holm
picnicScene,SemanticFluencyScore,linguistic+acoustic,full,-0.008203758995737722,-0.014841637866125027,-0.0017167251925198984,0.016,970,1000,0.016,0.048,holm
picnicScene,SemanticFluencyScore,baseline,demographics,-0.03970259716584758,-0.07954131455039391,0.004526642834280814,0.072,970,1000,0.072,0.138,holm
picnicScene,SemanticFluencyScore,acoustic,linguistic,-0.03781606992328247,-0.08355955103391713,0.0008095450609134532,0.069,970,1000,0.069,0.138,holm
