task,target,model_a,model_b,mean_diff,ci_low,ci_high,p_boot,n_subjects,n_boot
cookieTheft,PhonemicFluencyScore,baseline,full,-0.05540172795989416,-0.08253078195538453,-0.028985165251229447,0.0,970,1000
cookieTheft,PhonemicFluencyScore,linguistic,full,-0.03610340081363372,-0.055427837112154175,-0.015623363390168015,0.0,970,1000
cookieTheft,PhonemicFluencyScore,linguistic,linguistic+acoustic,-0.031200767111880443,-0.050461135063066875,-0.011538287458734727,0.0,970,1000
cookieTheft,PhonemicFluencyScore,baseline,linguistic+acoustic,-0.050499094258140885,-0.07913451400043645,-0.02327567580394532,0.002,970,1000
cookieTheft,PhonemicFluencyScore,baseline,acoustic,-0.04098106011727759,-0.0720216073389029,-0.009540742817811698,0.006,970,1000
cookieTheft,PhonemicFluencyScore,demographics,full,-0.06141622337060617,-0.10252113454208055,-0.019006717060558478,0.008,970,1000
cookieTheft,PhonemicFluencyScore,demographics,linguistic+acoustic,-0.0565135896688529,-0.0984366692036013,-0.014718828348572032,0.01,970,1000
cookieTheft,PhonemicFluencyScore,demographics,acoustic,-0.04699555552798961,-0.09077987010338333,-0.0009276518333801832,0.046,970,1000
cookieTheft,PhonemicFluencyScore,linguistic+acoustic,full,-0.004902633701753276,-0.010288341120347998,0.0008866091864057627,0.09,970,1000
cookieTheft,PhonemicFluencyScore,baseline,linguistic,-0.019298327146260442,-0.04896102367530633,0.008212644048836804,0.19,970,1000
cookieTheft,PhonemicFluencyScore,acoustic,full,-0.014420667842616563,-0.035785517226137195,0.006428796919876056,0.194,970,1000
cookieTheft,PhonemicFluencyScore,acoustic,linguistic,0.021682732971017155,-0.013225647207066073,0.056399612310114026,0.224,970,1000
cookieTheft,PhonemicFluencyScore,demographics,linguistic,-0.02531282255697245,-0.07040504432029555,0.018491046394301516,0.268,970,1000
cookieTheft,PhonemicFluencyScore,acoustic,linguistic+acoustic,-0.009518034140863288,-0.031167806994383287,0.012038069610721822,0.378,970,1000
cookieTheft,PhonemicFluencyScore,baseline,demographics,0.006014495410712011,-0.028175196891371598,0.04174782676698194,0.74,970,1000
journaling,PhonemicFluencyScore,baseline,full,-0.03815231761740225,-0.06285706519298337,-0.014492540947741663,0.0,970,1000
journaling,PhonemicFluencyScore,linguistic,full,-0.02701356009685511,-0.04411230847555232,-0.009735901922222623,0.0,970,1000
journaling,PhonemicFluencyScore,acoustic,full,-0.027472609011282515,-0.047243223214047024,-0.008083197298145776,0.006,970,1000
journaling,PhonemicFluencyScore,baseline,linguistic+acoustic,-0.03226868720806127,-0.05705453350245949,-0.007332906365635049,0.014,970,1000
journaling,PhonemicFluencyScore,demographics,full,-0.04416681302811426,-0.0830346101332159,-0.007031375030431806,0.024,970,1000
journaling,PhonemicFluencyScore,linguistic,linguistic+acoustic,-0.02112992968751412,-0.03788992255329284,-0.0035563214205455904,0.024,970,1000
journaling,PhonemicFluencyScore,acoustic,linguistic+acoustic,-0.021588978601941526,-0.041172463858905405,-0.001998097271814045,0.03,970,1000
journaling,PhonemicFluencyScore,linguistic+acoustic,full,-0.005883630409340986,-0.01190785615077844,-0.0001266944009924916,0.038,970,1000
journaling,PhonemicFluencyScore,demographics,linguistic+acoustic,-0.038283182618773275,-0.07767775466849834,8.892611110181466e-05,0.052,970,1000
journaling,PhonemicFluencyScore,demographics,linguistic,-0.017153252931259154,-0.054268305837160254,0.01835784325984346,0.332,970,1000
journaling,PhonemicFluencyScore,baseline,linguistic,-0.011138757520547144,-0.032636887708824336,0.010446066651608722,0.336,970,1000
journaling,PhonemicFluencyScore,demographics,acoustic,-0.016694204016831745,-0.0562274470822311,0.023821255515221327,0.41,970,1000
journaling,PhonemicFluencyScore,baseline,acoustic,-0.010679708606119734,-0.037623071554620455,0.018411969103829508,0.43,970,1000
journaling,PhonemicFluencyScore,baseline,demographics,0.006014495410712011,-0.028175196891371598,0.04174782676698194,0.74,970,1000
journaling,PhonemicFluencyScore,acoustic,linguistic,-0.00045904891442741057,-0.03075329732555371,0.02840485983219012,0.988,970,1000
picnicScene,PhonemicFluencyScore,baseline,acoustic,-0.04474484857076121,-0.07564032862612442,-0.015441425471674352,0.0,970,1000
picnicScene,PhonemicFluencyScore,baseline,full,-0.055816504592853165,-0.08350624613402088,-0.02937014259115447,0.0,970,1000
picnicScene,PhonemicFluencyScore,baseline,linguistic+acoustic,-0.04893386325129673,-0.0782739401277716,-0.021944457966912474,0.0,970,1000
picnicScene,PhonemicFluencyScore,demographics,full,-0.06183100000356518,-0.1014998122645302,-0.022479049831697198,0.0,970,1000
picnicScene,PhonemicFluencyScore,linguistic,full,-0.034763311646550145,-0.05139426185626831,-0.016815101522261545,0.002,970,1000
picnicScene,PhonemicFluencyScore,linguistic,linguistic+acoustic,-0.027880670304993714,-0.045136784240720124,-0.010156467865692692,0.002,970,1000
picnicScene,PhonemicFluencyScore,demographics,linguistic+acoustic,-0.05494835866200874,-0.09592708756737138,-0.014710466327204698,0.008,970,1000
picnicScene,PhonemicFluencyScore,linguistic+acoustic,full,-0.0068826413415564325,-0.013301837037467993,-0.0008486472216374691,0.024,970,1000
picnicScene,PhonemicFluencyScore,demographics,acoustic,-0.05075934398147322,-0.09312647548743173,-0.005921775001594255,0.032,970,1000
picnicScene,PhonemicFluencyScore,baseline,linguistic,-0.02105319294630302,-0.05019561589889378,0.005220819938750342,0.11,970,1000
picnicScene,PhonemicFluencyScore,acoustic,linguistic,0.023691655624458192,-0.009420226253593126,0.05508410845643049,0.162,970,1000
picnicScene,PhonemicFluencyScore,demographics,linguistic,-0.02706768835701503,-0.07061790676567062,0.01181909523403815,0.182,970,1000
picnicScene,PhonemicFluencyScore,acoustic,full,-0.011071656022091949,-0.032344829344466704,0.0082476009815666,0.31,970,1000
picnicScene,PhonemicFluencyScore,acoustic,linguistic+acoustic,-0.004189014680535516,-0.02458179713372747,0.015908542129395256,0.654,970,1000
