task,target,model_a,model_b,mean_diff,ci_low,ci_high,p_boot,n_subjects,n_boot
cookieTheft,PictureNamingScore,acoustic,full,-0.10626220699460652,-0.1463827793901796,-0.07068689025837302,0.0,959,1000
cookieTheft,PictureNamingScore,acoustic,linguistic,-0.09564080307166768,-0.14986108334460735,-0.04501823991273119,0.0,959,1000
cookieTheft,PictureNamingScore,acoustic,linguistic+acoustic,-0.10808464344589362,-0.1482571913597287,-0.07209474886338915,0.0,959,1000
cookieTheft,PictureNamingScore,baseline,acoustic,-0.11651156807363719,-0.17999082701556107,-0.04114857813168462,0.0,959,1000
cookieTheft,PictureNamingScore,baseline,full,-0.2227737750682437,-0.29251984393364167,-0.15154795883942235,0.0,959,1000
cookieTheft,PictureNamingScore,baseline,linguistic,-0.21215237114530486,-0.2779534578131753,-0.1429454542482217,0.0,959,1000
cookieTheft,PictureNamingScore,baseline,linguistic+acoustic,-0.22459621151953083,-0.2929347951445206,-0.15531060934617716,0.0,959,1000
cookieTheft,PictureNamingScore,demographics,full,-0.19736153617409763,-0.25911051683646097,-0.1372108322343516,0.0,959,1000
cookieTheft,PictureNamingScore,demographics,linguistic,-0.1867401322511588,-0.24691014177327314,-0.12692079318967509,0.0,959,1000
cookieTheft,PictureNamingScore,demographics,linguistic+acoustic,-0.19918397262538473,-0.26163942000403,-0.13858191560402824,0.0,959,1000
cookieTheft,PictureNamingScore,demographics,acoustic,-0.09109932917949112,-0.15255313627057074,-0.028856424999049186,0.006,959,1000
cookieTheft,PictureNamingScore,linguistic,linguistic+acoustic,-0.012443840374225927,-0.030693904485287304,0.005999446983304737,0.21,959,1000
cookieTheft,PictureNamingScore,linguistic,full,-0.010621403922938826,-0.029560460971109048,0.008448136526546747,0.31,959,1000
cookieTheft,PictureNamingScore,baseline,demographics,-0.025412238894146046,-0.08233493022081674,0.03645776924839502,0.388,959,1000
cookieTheft,PictureNamingScore,linguistic+acoustic,full,0.001822436451287103,-0.0033219288750513274,0.006702460590920943,0.456,959,1000
journaling,PictureNamingScore,acoustic,full,-0.09104319275763652,-0.12804652841483855,-0.05026619838562082,0.0,959,1000
journaling,PictureNamingScore,acoustic,linguistic+acoustic,-0.08637261095463689,-0.12380461417346789,-0.04494343308345814,0.0,959,1000
journaling,PictureNamingScore,demographics,full,-0.0949724326831912,-0.15169208719073482,-0.0394624364249112,0.0,959,1000
journaling,PictureNamingScore,demographics,linguistic+acoustic,-0.09030185088019153,-0.1475005625892291,-0.03414829768152141,0.0,959,1000
journaling,PictureNamingScore,baseline,full,-0.12038467157733723,-0.17093985476604456,-0.0656477830027137,0.002,959,1000
journaling,PictureNamingScore,baseline,linguistic+acoustic,-0.1157140897743376,-0.16677892877456407,-0.060202389578015894,0.002,959,1000
