task,target,model_a,model_b,mean_diff,ci_low,ci_high,p_boot,n_subjects,n_boot
cookieTheft,SemanticFluencyScore,acoustic,full,-0.0655650305187927,-0.09341363633622687,-0.03967627641683599,0.0,970,1000
cookieTheft,SemanticFluencyScore,acoustic,linguistic+acoustic,-0.0594482777961746,-0.08680697642598967,-0.033368574280163744,0.0,970,1000
cookieTheft,SemanticFluencyScore,baseline,acoustic,-0.10074018694045056,-0.13588433829548546,-0.06312885864579942,0.0,970,1000
cookieTheft,SemanticFluencyScore,baseline,full,-0.16630521745924323,-0.20043013508652924,-0.1337480170520927,0.0,970,1000
cookieTheft,SemanticFluencyScore,baseline,linguistic,-0.13555412169573833,-0.1736879059740797,-0.10118395996290079,0.0,970,1000
cookieTheft,SemanticFluencyScore,baseline,linguistic+acoustic,-0.16018846473662515,-0.194439274433091,-0.12779370612628865,0.0,970,1000
cookieTheft,SemanticFluencyScore,demographics,full,-0.1277702791145604,-0.17808171688125593,-0.07754795837326617,0.0,970,1000
cookieTheft,SemanticFluencyScore,demographics,linguistic,-0.0970191833510555,-0.15207167824656379,-0.04302429906849569,0.0,970,1000
cookieTheft,SemanticFluencyScore,demographics,linguistic+acoustic,-0.12165352639194231,-0.17551879003062026,-0.07028903447622017,0.0,970,1000
cookieTheft,SemanticFluencyScore,linguistic,full,-0.03075109576350491,-0.05323748437187596,-0.008730135105028519,0.006,970,1000
cookieTheft,SemanticFluencyScore,demographics,acoustic,-0.06220524859576771,-0.11612051632074173,-0.007659233721211623,0.022,970,1000
cookieTheft,SemanticFluencyScore,linguistic,linguistic+acoustic,-0.024634343040886814,-0.0460116159589672,-0.0032025705242524067,0.028,970,1000
cookieTheft,SemanticFluencyScore,linguistic+acoustic,full,-0.006116752722618098,-0.013075867800984584,0.0006001099217724288,0.076,970,1000
cookieTheft,SemanticFluencyScore,acoustic,linguistic,-0.03481393475528779,-0.07747109913877152,0.006438608360160701,0.092,970,1000
cookieTheft,SemanticFluencyScore,baseline,demographics,-0.03853493834468284,-0.07895873759131557,0.008719285901934725,0.1,970,1000
journaling,SemanticFluencyScore,acoustic,full,-0.06436622167689579,-0.09032175098538116,-0.039595632400706876,0.0,970,1000
journaling,SemanticFluencyScore,acoustic,linguistic+acoustic,-0.055701178407821336,-0.08216570187226388,-0.031140279967169986,0.0,970,1000
journaling,SemanticFluencyScore,baseline,acoustic,-0.1028926332496005,-0.14015359644843053,-0.06554513048068317,0.0,970,1000
journaling,SemanticFluencyScore,baseline,full,-0.16725885492649628,-0.20436720668398786,-0.13027309914342233,0.0,970,1000
journaling,SemanticFluencyScore,baseline,linguistic,-0.08541873675534574,-0.12141027487305744,-0.04833942441145938,0.0,970,1000
journaling,SemanticFluencyScore,baseline,linguistic+acoustic,-0.15859381165742184,-0.19662533754565112,-0.12062181573139977,0.0,970,1000
journaling,SemanticFluencyScore,demographics,full,-0.12872391658181345,-0.1755321498631414,-0.08120007228088164,0.0,970,1000
journaling,SemanticFluencyScore,demographics,linguistic+acoustic,-0.120058873312739,-0.1711702234985288,-0.06932822824928,0.0,970,1000
journaling,SemanticFluencyScore,linguistic,full,-0.08184011817115057,-0.10977049064567057,-0.055748343682987964,0.0,970,1000
journaling,SemanticFluencyScore,linguistic,linguistic+acoustic,-0.07317507490207611,-0.10116002785411242,-0.04846876284893813,0.0,970,1000
journaling,SemanticFluencyScore,demographics,acoustic,-0.06435769490491768,-0.11625600143243192,-0.014573912542740573,0.012,970,1000
journaling,SemanticFluencyScore,linguistic+acoustic,full,-0.008665043269074447,-0.015104200928825598,-0.0019327636099004675,0.014,970,1000
journaling,SemanticFluencyScore,demographics,linguistic,-0.04688379841066289,-0.09756134168898878,0.003327872550873753,0.058,970,1000
journaling,SemanticFluencyScore,baseline,demographics,-0.03853493834468284,-0.07895873759131557,0.008719285901934725,0.1,970,1000
